**** Fuel:    201 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  106.99  106.99  106.99  106.99  106.99  106.99  106.99  106.99  106.99   68.55   68.55   68.55
2022   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55
2023   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55
2024   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55
2025   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55   68.55
**** Fuel:     73 Oleo        
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  920.02  920.02  920.02  920.02  920.02  920.02  920.02  920.02  920.02  738.34  738.34  738.34
2022  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
2023  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
2024  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
2025  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
**** Fuel:     70 Oleo        
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  920.02  920.02  920.02  920.02  920.02  920.02  920.02  920.02  920.02  738.34  738.34  738.34
2022  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
2023  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
2024  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
2025  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34  738.34
**** Fuel:    436 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  209.82  209.82  209.82  209.82  209.82  209.82  209.82  209.82  209.82  144.61  144.61  144.61
2022  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
2023  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
2024  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
2025  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
**** Fuel:    437 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  209.81  209.81  209.81  209.81  209.81  209.81  209.81  209.81  209.81  161.33  161.33  161.33
2022  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33
2023  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33
2024  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33
2025  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33
**** Fuel:    421 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  209.82  209.82  209.82  209.82  209.82  209.82  209.82  209.82  209.82  144.61  144.61  144.61
2022  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
2023  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
2024  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
2025  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61  144.61
**** Fuel:    422 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  209.81  209.81  209.81  209.81  209.81  209.81  209.81  209.81  209.81  161.33  161.33  161.33
2022  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33  161.33
