**** Fuel:     48 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021 1083.21 1083.21 1083.21 1083.21 1083.21 1083.21 1083.21 1083.21  706.35  706.35  706.35  706.35
2022  706.35  706.35  706.35  706.35       0       0       0       0       0       0       0       0
2023       0       0       0       0       0       0       0       0       0       0       0       0
2024       0       0       0       0       0       0       0       0       0       0       0       0
2025       0       0       0       0       0       0       0       0       0       0       0       0
**** Fuel:     28 Carvao      
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  475.68  475.68  475.68  475.68  475.68  475.68  475.68  475.68  475.68  475.68  475.68  475.68
2022  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64
2023  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64
2024  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64
2025  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64
**** Fuel:    107 Carvao      
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   53.92   53.92   53.92
2022   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92
2023   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92
2024   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92
2025   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92   53.92
**** Fuel:    149 Biomassa    
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   76.11   76.11   76.11
2022   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11
2023   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11
2024   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11
2025   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11   76.11
