$version=1
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 201 APARECIDA       1    0     166       0     166   15.42   15.42       0    0  201     100       1                                    0    0    0    0    0                    0                              
 203 C. ROCHA        1    0   85.38       0   85.38       1       1       0    0  203     100       1                                    0    0    0    0    0                    0                              
  73 GERAMAR I       1    0 159.235       0 159.235    0.48    0.48       0    0   73     100       1                                    0    0    0    0    0                    0                              
  70 GERAMAR II      1    0 159.235       0 159.235    0.83    0.83       0    0   70     100       1                                    0    0    0    0    0                    0                              
 204 JARAQUI         1    0 65.6676       0 65.6676       4       4       0    0  204     100       1                                    0    0    0    0    0                    0                              
 205 MANAUARA        1    0    66.8       0    66.8     2.5     2.5       0    0  205     100       1                                    0    0    0    0    0                    0                              
 436 MARAN IV L22    1    0    1.12       0    1.12    2.23    2.23       0    0  436     100       1                                    0    0    0    0    0                    0                              
 437 MARAN IV L7     1    0  336.48       0  336.48    2.23    2.23       0    0  437     100       1                                    0    0    0    0    0                    0                              
 421 MARAN V L22     1    0     1.1       0     1.1    1.84    1.84       0    0  421     100       1                                    0    0    0    0    0                    0                              
 422 MARAN V L7      1    0   336.5       0   336.5    1.84    1.84       0    0  422     100       1                                    0    0    0    0    0                    0                              
 212 MARANHAO III    1    0   518.8       0   518.8    3.05    3.05       0    0  212     100       1                                    0    0    0    0    0                    0                              
  36 MARANHAO IV     1    0   337.6       0   337.6    2.23    2.23       0    0   36     100       1                                    0    0    0    0    0                    0                              
  21 MARANHAO V      1    0   337.6       0   337.6    1.84    1.84       0    0   21     100       1                                    0    0    0    0    0                    0                              
 140 MAUA 3          1    0  590.75       0  590.75    7.04    7.04       0    0  140     100       1                                    0    0    0    0    0                    0                              
 446 N.VEN 2 L22     1    0   26.96       0   26.96    2.51    2.51       0    0  446     100       1                                    0    0    0    0    0                    0                              
 447 N.VEN 2 L7      1    0  151.25       0  151.25    2.51    2.51       0    0  447     100       1                                    0    0    0    0    0                    0                              
  46 N.VENECIA 2     1    0  270.47       0  270.47    2.51    2.51       0    0   46     100       1                                    0    0    0    0    0                    0                              
 240 NT BARCARENA    1    1  604.52       0  604.52     1.1     1.1       0    0  240     100       1                                    0    0    0    0    0                    0                              
 228 O. CANOAS 1     1    1   4.986       0   4.986       2       2       0    0  228     100       1                                    0    0    0    0    0                    0                              
 116 PARNAIBA IV     1    0   56.28       0   56.28    5.33    5.33       0    0  116     100       1                                    0    0    0    0    0                    0                              
 239 PARNAIBA V      1    1 366.463       0 366.463       3       3       0    0  239     100       1                                    0    0    0    0    0                    0                              
 207 PONTA NEGRA     1    0      66       0      66     2.5     2.5       0    0  207     100       1                                    0    0    0    0    0                    0                              
 176 PORTO ITAQUI    1    0  360.14       0  360.14    7.32    7.32       0    0  176     100       1                                    0    0    0    0    0                    0                              
 209 TAMBAQUI        1    0 66.0584       0 66.0584       4       4       0    0  209     100       1                                    0    0    0    0    0                    0                              
 987 PCH Norte       1    0  144.13       0  144.13       0       0       0    1  987     100       1                                    0    0    0    0    0                    0                              
 986 PCT Norte       1    0 223.497       0 223.497       0       0       0    1  986     100       1                                    0    0    0    0    0                    0                              
