NUM:  57 MAUA                  Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 20.34 20.27 20.27 20.27 20.31 20.32 20.73  20.5 20.68  20.3 20.36 20.29
2022 20.36 20.29 20.29 20.29 20.33 20.34 20.76 20.52 20.71 20.31 20.38  20.3
2023 20.38  20.3  20.3 20.31 20.35 20.35 20.79 20.54 20.73 20.33 20.39 20.32
2024  20.4 20.32 20.32 20.32 20.36 20.37 20.81 20.57 20.76 20.35 20.41 20.34
2025 20.41 20.33 20.34 20.34 20.38 20.39 20.84 20.59 20.79 20.36 20.43 20.35
NUM:  71 STA CLARA PR          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  6.87  6.87  6.87  6.87  6.87  6.87  6.87  6.87  6.87  6.88  6.88  6.88
2022  6.88  6.88  6.88  6.88  6.88  6.88  6.88  6.88  6.88  6.88  6.88  6.88
2023  6.88  6.88  6.88  6.88  6.88  6.88  6.89  6.89  6.89  6.89  6.89  6.89
2024  6.89  6.89  6.89  6.89  6.89  6.89  6.89  6.89  6.89  6.89  6.89  6.89
2025  6.89  6.89  6.89   6.9   6.9   6.9   6.9   6.9   6.9   6.9   6.9   6.9
NUM:  72 FUNDAO                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.45  0.45  0.45  0.45  0.45  0.45  0.45  0.45  0.45  0.45  0.45  0.45
2022  0.45  0.45  0.45  0.45  0.45  0.46  0.46  0.46  0.46  0.46  0.46  0.46
2023  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46
2024  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46
2025  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46  0.46
NUM:  74 G.B. MUNHOZ           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  5.91  6.03   5.9  6.36  5.97  6.36   6.4  6.27  6.12  6.08  5.97  5.98
2022  5.99  6.13  5.98  6.45  6.06  6.46   6.5  6.37  6.21  6.17  6.06  6.07
2023  6.08  6.22  6.07  6.55  6.15  6.56   6.6  6.46   6.3  6.26  6.15  6.15
2024  6.17  6.31  6.16  6.65  6.23  6.65   6.7  6.56  6.39  6.35  6.23  6.24
2025  6.26   6.4  6.24  6.75  6.32  6.75   6.8  6.66  6.49  6.44  6.32  6.33
NUM:  83 BAIXO IGUACU          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.87  0.88  0.83  0.89  0.82  0.86  0.86  0.83  0.79  0.77  0.74  0.73
2022  0.92  0.93  0.89  0.95  0.87  0.92  0.92  0.88  0.84  0.82  0.79  0.78
2023  0.97  0.98  0.94  1.01  0.92  0.98  0.98  0.94  0.89  0.87  0.84  0.82
2024  1.02  1.03  0.99  1.07  0.97  1.04  1.04  0.99  0.94  0.92  0.89  0.87
2025  1.07  1.09  1.04  1.13  1.02   1.1   1.1  1.05     1  0.98  0.93  0.92
NUM:  86 BARRA GRANDE          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.61  0.48  0.47  0.34  0.32  0.33  0.33  0.36  0.39  0.47   0.8  0.76
2022  0.62  0.48  0.48  0.34  0.33  0.33  0.33  0.37  0.39  0.47  0.81  0.78
2023  0.63  0.49  0.49  0.34  0.33  0.33  0.34  0.37   0.4  0.48  0.83  0.79
2024  0.64   0.5  0.49  0.35  0.33  0.33  0.34  0.37   0.4  0.49  0.84   0.8
2025  0.65   0.5   0.5  0.35  0.33  0.34  0.34  0.38  0.41  0.49  0.86  0.82
NUM:  89 GARIBALDI             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 14.58  14.2 14.06 13.83 13.76 13.78 13.79 13.91 14.02 14.39 15.18 15.02
2022 14.61 14.22 14.08 13.83 13.77 13.78  13.8 13.93 14.04 14.42 15.23 15.06
2023 14.64 14.25  14.1 13.85 13.78  13.8 13.81 13.94 14.06 14.44 15.27  15.1
2024 14.67 14.27 14.11 13.85 13.79  13.8 13.82 13.95 14.06 14.47 15.32 15.14
2025  14.7 14.29 14.13 13.87 13.81 13.81 13.82 13.97 14.08  14.5 15.36 15.19
NUM:  90 CAMPOS NOVOS          Penal: 0          0
