$unit pu
!Scn.,Year,Month,Block,EOL Nordeste,UFV Nordeste
1,2021, 1,1, 0., 0.
1,2021, 1,2, 0., 0.
1,2021, 1,3, 0., 0.
1,2021, 2,1, 0., 0.
1,2021, 2,2, 0., 0.
1,2021, 2,3, 0., 0.
1,2021, 3,1, 0., 0.
1,2021, 3,2, 0., 0.
1,2021, 3,3, 0., 0.
1,2021, 4,1, 0., 0.
1,2021, 4,2, 0., 0.
1,2021, 4,3, 0., 0.
1,2021, 5,1, 0., 0.
1,2021, 5,2, 0., 0.
1,2021, 5,3, 0., 0.
1,2021, 6,1, 0., 0.
1,2021, 6,2, 0., 0.
1,2021, 6,3, 0., 0.
1,2021, 7,1, 0., 0.
1,2021, 7,2, 0., 0.
1,2021, 7,3, 0., 0.
1,2021, 8,1,.592151,.342518
1,2021, 8,2,.679635,.250241
1,2021, 8,3,.648042,.163258
1,2021, 9,1,.578573,0.45812
1,2021, 9,2, 0.7047,.179454
1,2021, 9,3,.657604,.225804
1,2021,10,1,.514017,.435825
1,2021,10,2,.624961,.170452
1,2021,10,3,.574242,.210724
1,2021,11,1,.453067,.547802
1,2021,11,2,.575732,.131414
1,2021,11,3,.543085,.198555
1,2021,12,1,.392151,0.58935
1,2021,12,2,.500839,.132864
1,2021,12,3, 0.4842,.193668
1,2022, 1,1,.337966,.784756
1,2022, 1,2,.426408,.171074
1,2022, 1,3,0.40985,.228505
1,2022, 2,1,.276526,.719355
1,2022, 2,2,.346347,.155737
1,2022, 2,3,.327594,.220566
1,2022, 3,1,.227546,.684851
1,2022, 3,2,.312661,.158631
1,2022, 3,3,.298775,.236966
1,2022, 4,1,.297374,.574414
1,2022, 4,2,.396631,.222059
1,2022, 4,3,.374969,.251381
1,2022, 5,1,.398923,.465252
1,2022, 5,2,.487335,.340259
1,2022, 5,3,0.46731,.241783
1,2022, 6,1,0.54029,.480762
1,2022, 6,2,.624585,.350344
1,2022, 6,3,.611331,.241768
1,2022, 7,1,.594394,.518235
1,2022, 7,2,.680665,.395597
1,2022, 7,3,.669485,.225177
1,2022, 8,1,.692644,.549524
1,2022, 8,2,.794185,.400954
1,2022, 8,3,.757375,.261889
1,2022, 9,1,.684258,.663806
1,2022, 9,2,.832546,.259572
1,2022, 9,3,0.77689,.326453
1,2022,10,1,.605351,.592923
1,2022,10,2,.735237,.231352
1,2022,10,3,.675619,.286035
1,2022,11,1,.532716,.675399
1,2022,11,2,.676105,.161701
1,2022,11,3,.637697,.244589
1,2022,12,1,.456274,.687508
1,2022,12,2,.582232,.154877
1,2022,12,3,0.56285,.225812
1,2023, 1,1,.384032,.898938
1,2023, 1,2,.484134,.195836
1,2023, 1,3,.465097,0.26172
1,2023, 2,1,.313971,0.82658
1,2023, 2,2, 0.3928,.178847
1,2023, 2,3,.371391,.253291
1,2023, 3,1,0.26013,.769128
1,2023, 3,2,.356918,.178186
1,2023, 3,3,.341004,.266035
1,2023, 4,1,0.33994,.625006
1,2023, 4,2,.453007,.241707
1,2023, 4,3,.428114,.273542
1,2023, 5,1,.453468,.507098
1,2023, 5,2,.553606,.370798
1,2023, 5,3,.530704,0.26351
1,2023, 6,1,.613013,.523801
1,2023, 6,2,.708068,.381729
1,2023, 6,3,.693105,0.26326
1,2023, 7,1,.670094,.552444
1,2023, 7,2,.766883,.421623
1,2023, 7,3,.754357,.239915
1,2023, 8,1,.769843,.577816
1,2023, 8,2,0.88216,.421597
1,2023, 8,3,.841265,.275373
1,2023, 9,1,.746829,.698244
1,2023, 9,2,.908274,.272989
1,2023, 9,3,.847545,.343325
1,2023,10,1,.653054,.624498
1,2023,10,2,.792902,.243597
1,2023,10,3,.728606,.301184
1,2023,11,1,0.57103,.712896
1,2023,11,2,.724327,.170629
1,2023,11,3,.683176,.258111
1,2023,12,1,.485123,.726174
1,2023,12,2,.618798,0.16355
1,2023,12,3,.598121,.238441
1,2024, 1,1,.403397,.953488
1,2024, 1,2,.508427,.207628
1,2024, 1,3,.488387,0.27759
1,2024, 2,1,.328113,.877274
1,2024, 2,2,.410351,.189814
1,2024, 2,3,.387919,.268777
1,2024, 3,1,.266749,0.81104
1,2024, 3,2,.365901,.187927
1,2024, 3,3,.349572,.280464
1,2024, 4,1, 0.3471,.649946
1,2024, 4,2,.462536,.251405
1,2024, 4,3,.437073,.284478
1,2024, 5,1,.463101,.527333
1,2024, 5,2,.565285,0.38554
1,2024, 5,3,.541896,.274045
1,2024, 6,1,.625877,.544498
1,2024, 6,2,.722912,.396806
1,2024, 6,3,.707605,.273626
1,2024, 7,1,.683127,.574039
1,2024, 7,2,.781647,.438081
1,2024, 7,3,.768999,.249244
1,2024, 8,1,.782707,.600403
1,2024, 8,2,.896879,.438056
1,2024, 8,3,.855248,.286181
1,2024, 9,1,.759327,.725557
1,2024, 9,2,.923387,.283622
1,2024, 9,3,.861653,.356666
1,2024,10,1,.664031,.654067
1,2024,10,2,.806104,.255061
1,2024,10,3,0.74074,.315353
1,2024,11,1,.577993,.747107
1,2024,11,2,.733073,.178721
1,2024,11,3,.691425,.270459
1,2024,12,1,.491034,.761738
1,2024,12,2,0.62633,.171493
1,2024,12,3,.605439,.250086
1,2025, 1,1,.432654,     1.
1,2025, 1,2,.545045,.217702
1,2025, 1,3,.523461,.291162
1,2025, 2,1,.354231,.920619
1,2025, 2,2,.442799,.199147
1,2025, 2,3,.418495,.281998
1,2025, 3,1,.287922,.920163
1,2025, 3,2,.394696,.213225
1,2025, 3,3,.377046,.318072
1,2025, 4,1,.374622,.736333
1,2025, 4,2,.498955,  0.285
1,2025, 4,3,0.47142,.322282
1,2025, 5,1,0.49968,.598915
1,2025, 5,2,.609673,.437757
1,2025, 5,3,.584389,.311223
1,2025, 6,1,.675207,.618404
1,2025, 6,2,.779561,.450701
1,2025, 6,3,.763053,.310523
1,2025, 7,1,.740024,.648882
1,2025, 7,2,.846486,0.49501
1,2025, 7,3,.832788,.281523
1,2025, 8,1,.847934,.678758
1,2025, 8,2,.971208,.495061
1,2025, 8,3,0.92615,.323486
1,2025, 9,1,.822663,.820944
1,2025, 9,2,     1.,.320767
1,2025, 9,3,.933144,.403378
1,2025,10,1,.719435,0.73637
1,2025,10,2,.873089,.286976
1,2025,10,3,.802288,.354833
1,2025,11,1,.626199,.845479
1,2025,11,2,0.79386,.202086
1,2025,11,3,.748754,.305958
1,2025,12,1,.532353,.862904
1,2025,12,2,.678766,.194199
1,2025,12,3,.656105,.283199
