$unit pu
!Scn.,Year,Month,Block,EOL Sudeste,UFV Sudeste
1,2021, 1,1, 0., 0.
1,2021, 1,2, 0., 0.
1,2021, 1,3, 0., 0.
1,2021, 2,1, 0., 0.
1,2021, 2,2, 0., 0.
1,2021, 2,3, 0., 0.
1,2021, 3,1, 0., 0.
1,2021, 3,2, 0., 0.
1,2021, 3,3, 0., 0.
1,2021, 4,1, 0., 0.
1,2021, 4,2, 0., 0.
1,2021, 4,3, 0., 0.
1,2021, 5,1, 0., 0.
1,2021, 5,2, 0., 0.
1,2021, 5,3, 0., 0.
1,2021, 6,1, 0., 0.
1,2021, 6,2, 0., 0.
1,2021, 6,3, 0., 0.
1,2021, 7,1, 0., 0.
1,2021, 7,2, 0., 0.
1,2021, 7,3, 0., 0.
1,2021, 8,1,.736883,.268283
1,2021, 8,2,.574567,.157817
1,2021, 8,3,.556532,.116698
1,2021, 9,1,.961987,0.37248
1,2021, 9,2,.917453,.129719
1,2021, 9,3,.767719,.157766
1,2021,10,1,     1.,0.42125
1,2021,10,2,.909301,.155153
1,2021,10,3,.761284,.177962
1,2021,11,1,.734847,.509323
1,2021,11,2,.727265,.116349
1,2021,11,3,.674961,.179077
1,2021,12,1,.812706,.534209
1,2021,12,2,.791854,.113984
1,2021,12,3,.591135,.172511
1,2022, 1,1,.904723,.562861
1,2022, 1,2,0.85394,.120574
1,2022, 1,3,.685992,.157377
1,2022, 2,1,.608897,.497914
1,2022, 2,2,.570783,.095471
1,2022, 2,3,0.50149,.148803
1,2022, 3,1,.500921,.533608
1,2022, 3,2,.399902,0.11455
1,2022, 3,3, 0.3311,.148282
1,2022, 4,1,.401111,.397656
1,2022, 4,2,.331342,.134371
1,2022, 4,3,.258327,0.15888
1,2022, 5,1,.346787,.318976
1,2022, 5,2,.286659,.178673
1,2022, 5,3,.295646,.155682
1,2022, 6,1,0.36685,.329857
1,2022, 6,2,.301543,.182225
1,2022, 6,3,.274303,.149296
1,2022, 7,1,.439607,.391291
1,2022, 7,2,.403646,.219496
1,2022, 7,3,.348339,.157636
1,2022, 8,1,.733388,.545678
1,2022, 8,2,.571883,.320326
1,2022, 8,3,0.55391,.237951
1,2022, 9,1,.961987,.747181
1,2022, 9,2,.917453,.260658
1,2022, 9,3,.767719,.315312
1,2022,10,1,     1.,.687356
1,2022,10,2,.909301,.252668
1,2022,10,3,.761284,.290051
1,2022,11,1,.734847,.832473
1,2022,11,2,.727265,.189871
1,2022,11,3,.674961,.292418
1,2022,12,1,.817058,0.87345
1,2022,12,2,.796137,.186455
1,2022,12,3,.594295,.282019
1,2023, 1,1,.900744,.914019
1,2023, 1,2,.850118,.194806
1,2023, 1,3,.682949,.256159
1,2023, 2,1,.610918,.828828
1,2023, 2,2,.572695,.159182
1,2023, 2,3,.503128,.247518
1,2023, 3,1,.497995,.945036
1,2023, 3,2,.397562,.203538
1,2023, 3,3,0.32915,.261769
1,2023, 4,1,.403919,.710852
1,2023, 4,2,.333682,.239234
1,2023, 4,3,.260137,0.28307
1,2023, 5,1,.346787,.549949
1,2023, 5,2,.286659,.306512
1,2023, 5,3,.295646,.268194
1,2023, 6,1,0.36685,.550386
1,2023, 6,2,.301543,.303129
1,2023, 6,3,.274303,.249193
1,2023, 7,1,.439607,0.62898
1,2023, 7,2,.403646,.352681
1,2023, 7,3,.348339,.253304
1,2023, 8,1,.733388,.627051
1,2023, 8,2,.571883,.367967
1,2023, 8,3,0.55391,0.27352
1,2023, 9,1,.965505,.818956
1,2023, 9,2, 0.9208,.285707
1,2023, 9,3,.770551,.345483
1,2023,10,1,.995795,.751546
1,2023,10,2,0.90544,.276194
1,2023,10,3,.758109,.317102
1,2023,11,1,.734847,.911093
1,2023,11,2,.727265,.207741
1,2023,11,3,.674961,.320004
1,2023,12,1,.825904,.956322
1,2023,12,2,.804702,.204144
1,2023,12,3,.600683,.308742
1,2024, 1,1,.900744,     1.
1,2024, 1,2,.850118,.212958
1,2024, 1,3,.682949,.280342
1,2024, 2,1,.610263,.888011
1,2024, 2,2,.572094,.170602
1,2024, 2,3,.502637,.265151
1,2024, 3,1,.506849,.944589
1,2024, 3,2,.404621,.203452
1,2024, 3,3,  0.335,.261643
1,2024, 4,1,.392842,.711074
1,2024, 4,2,.324508, 0.2393
1,2024, 4,3,.252992,.283169
1,2024, 5,1,.347692,.549565
1,2024, 5,2,.287408,.306266
1,2024, 5,3,.296395,.267996
1,2024, 6,1,.368722,.550791
1,2024, 6,2,.303072,.303321
1,2024, 6,3,.275707,0.24938
1,2024, 7,1,.436175,.628551
1,2024, 7,2,.400487,0.35245
1,2024, 7,3,0.34557,0.25311
1,2024, 8,1,.736883,.627321
1,2024, 8,2,.574567,.368147
1,2024, 8,3,.556532,.273667
1,2024, 9,1,.961987,.819038
1,2024, 9,2,.917453,.285739
1,2024, 9,3,.767719,.345502
1,2024,10,1,.987558,.751355
1,2024,10,2,.897975,.276113
1,2024,10,3,.751845,0.31699
1,2024,11,1,.734847,.911093
1,2024,11,2,.727265,.207741
1,2024,11,3,.674961,.320004
1,2024,12,1,.821481,.955051
1,2024,12,2,0.80042,.203901
1,2024,12,3,.597524,.308326
1,2025, 1,1,.900744,     1.
1,2025, 1,2,.850118,.212958
1,2025, 1,3,.682949,.280342
1,2025, 2,1,.608897,0.88851
1,2025, 2,2,.570783,.170706
1,2025, 2,3,0.50149,.265328
1,2025, 3,1,.506849,.944589
1,2025, 3,2,.404621,.203452
1,2025, 3,3,  0.335,.261643
1,2025, 4,1,.398303,.710234
1,2025, 4,2,.329033,.239017
1,2025, 4,3,.256517,.282824
1,2025, 5,1,.347692,.549565
1,2025, 5,2,.287408,.306266
1,2025, 5,3,.296395,.267996
1,2025, 6,1,.368722,.550791
1,2025, 6,2,.303072,.303321
1,2025, 6,3,.275707,0.24938
1,2025, 7,1,.436175,.628551
1,2025, 7,2,.400487,0.35245
1,2025, 7,3,0.34557,0.25311
1,2025, 8,1,.740315,.627603
1,2025, 8,2,0.57725,.368313
1,2025, 8,3,.559153,.273752
1,2025, 9,1,.958555,.819143
1,2025, 9,2,.914107,.285806
1,2025, 9,3,.764888,.345532
1,2025,10,1,.987558,.751355
1,2025,10,2,.897975,.276113
1,2025,10,3,.751845,0.31699
1,2025,11,1,.734847,.911093
1,2025,11,2,.727265,.207741
1,2025,11,3,.674961,.320004
1,2025,12,1,.817058,.955448
1,2025,12,2,.796137,.203959
1,2025,12,3,.594295,.308494
