$unit pu
!Scn.,Year,Month,Block,EOL Sul,UFV Sul
1,2021, 1,1, 0., 0.
1,2021, 1,2, 0., 0.
1,2021, 1,3, 0., 0.
1,2021, 2,1, 0., 0.
1,2021, 2,2, 0., 0.
1,2021, 2,3, 0., 0.
1,2021, 3,1, 0., 0.
1,2021, 3,2, 0., 0.
1,2021, 3,3, 0., 0.
1,2021, 4,1, 0., 0.
1,2021, 4,2, 0., 0.
1,2021, 4,3, 0., 0.
1,2021, 5,1, 0., 0.
1,2021, 5,2, 0., 0.
1,2021, 5,3, 0., 0.
1,2021, 6,1, 0., 0.
1,2021, 6,2, 0., 0.
1,2021, 6,3, 0., 0.
1,2021, 7,1, 0., 0.
1,2021, 7,2, 0., 0.
1,2021, 7,3, 0., 0.
1,2021, 8,1,.795428,.636286
1,2021, 8,2,.874334,.201427
1,2021, 8,3,.905827,.277405
1,2021, 9,1,.871708,.772337
1,2021, 9,2,0.95874,0.19441
1,2021, 9,3,.939246,.249961
1,2021,10,1,.949841,0.71589
1,2021,10,2,     1.,0.19784
1,2021,10,3,.957075,.301107
1,2021,11,1,.929061,.896499
1,2021,11,2,.977476,.160962
1,2021,11,3,.863842,.288282
1,2021,12,1,.820472,.937081
1,2021,12,2,.896649,.165835
1,2021,12,3,.852434,.236161
1,2022, 1,1,.704866,     1.
1,2022, 1,2,.783176,0.13687
1,2022, 1,3,.741639,0.25117
1,2022, 2,1,.661144,.940239
1,2022, 2,2,.726006,.137299
1,2022, 2,3,.613858,0.26302
1,2022, 3,1,.721235,0.91412
1,2022, 3,2,.781192,.151489
1,2022, 3,3,.700934,.269492
1,2022, 4,1,.843478,.740332
1,2022, 4,2,.833844,.173515
1,2022, 4,3,.706752,.302667
1,2022, 5,1,.741625,.630399
1,2022, 5,2,.799823,.201466
1,2022, 5,3,.799668,.282044
1,2022, 6,1,.769638,.643654
1,2022, 6,2,.802259,.177257
1,2022, 6,3,.771191,.285865
1,2022, 7,1,.839858,0.66794
1,2022, 7,2,.909853,.177023
1,2022, 7,3,.888215,.276821
1,2022, 8,1,.794931,.627125
1,2022, 8,2,.873704,.198503
1,2022, 8,3,.905195,.273429
1,2022, 9,1,.871708,.772337
1,2022, 9,2,0.95874,0.19441
1,2022, 9,3,.939246,.249961
1,2022,10,1,.949841,0.71589
1,2022,10,2,     1.,0.19784
1,2022,10,3,.957075,.301107
1,2022,11,1,.929061,.896499
1,2022,11,2,.977476,.160962
1,2022,11,3,.863842,.288282
1,2022,12,1,.820386,.954273
1,2022,12,2,.896649,.168876
1,2022,12,3,.852348,.240488
1,2023, 1,1,0.70494,.981561
1,2023, 1,2,.783325,.134337
1,2023, 1,3,.741788,.246531
1,2023, 2,1,.661378,.957742
1,2023, 2,2,.726187,.139833
1,2023, 2,3,.614048,.267893
1,2023, 3,1,.720507,.900047
1,2023, 3,2,.780392,.149189
1,2023, 3,3,.700206,.265359
1,2023, 4,1,.843317,.751364
1,2023, 4,2,.833713,.176127
1,2023, 4,3,.706632,.307189
1,2023, 5,1,.741625,.630399
1,2023, 5,2,.799823,.201466
1,2023, 5,3,.799668,.282044
1,2023, 6,1,.769638,.643654
1,2023, 6,2,.802259,.177257
1,2023, 6,3,.771191,.285865
1,2023, 7,1,.839858,0.66794
1,2023, 7,2,.909853,.177023
1,2023, 7,3,.888215,.276821
1,2023, 8,1,.794931,.627125
1,2023, 8,2,.873704,.198503
1,2023, 8,3,.905195,.273429
1,2023, 9,1,.872005,.786683
1,2023, 9,2,.959057,.197996
1,2023, 9,3,.939537, 0.2546
1,2023,10,1,.949841,.706222
1,2023,10,2,     1.,0.19519
1,2023,10,3,.957075,.297053
1,2023,11,1,.929061,.896499
1,2023,11,2,.977476,.160962
1,2023,11,3,.863842,.288282
1,2023,12,1, 0.8203,.990839
1,2023,12,2,.896478,.175347
1,2023,12,3,.852262,.249688
1,2024, 1,1,0.70494,.981561
1,2024, 1,2,.783325,.134337
1,2024, 1,3,.741788,.246531
1,2024, 2,1,0.66092,.952206
1,2024, 2,2,.725728,.139054
1,2024, 2,3,.613655,.266373
1,2024, 3,1,.720385,.943864
1,2024, 3,2,.780218,0.15644
1,2024, 3,3,.700079,.278263
1,2024, 4,1,.843947,.709107
1,2024, 4,2,.834301,.166225
1,2024, 4,3,.707113,.289919
1,2024, 5,1,.741828,.639404
1,2024, 5,2,.800116,.204351
1,2024, 5,3,0.79996,.286099
1,2024, 6,1,.769638,.653438
1,2024, 6,2,.802259,.179947
1,2024, 6,3,.771191,.290192
1,2024, 7,1,.839048,.647396
1,2024, 7,2,.908852,.171566
1,2024, 7,3,.887273,.268283
1,2024, 8,1,.795428,.636286
1,2024, 8,2,.874334,.201427
1,2024, 8,3,.905827,.277405
1,2024, 9,1,.871708,.772337
1,2024, 9,2,0.95874,0.19441
1,2024, 9,3,.939246,.249961
1,2024,10,1,.949841,.687861
1,2024,10,2,     1.,.190083
1,2024,10,3,.956979,.289334
1,2024,11,1,.929061,.896499
1,2024,11,2,.977476,.160962
1,2024,11,3,.863842,.288282
1,2024,12,1,.820386,.972322
1,2024,12,2,.896564,.172072
1,2024,12,3,.852348,0.24501
1,2025, 1,1,0.70494,.981561
1,2025, 1,2,.783325,.134337
1,2025, 1,3,.741788,.246531
1,2025, 2,1,.661144,.940239
1,2025, 2,2,.726006,.137299
1,2025, 2,3,.613858,0.26302
1,2025, 3,1,.720385,.943864
1,2025, 3,2,.780218,0.15644
1,2025, 3,3,.700079,.278263
1,2025, 4,1,.843624,.729612
1,2025, 4,2,0.83396,0.17102
1,2025, 4,3,0.70686, 0.2983
1,2025, 5,1,.741828,.639404
1,2025, 5,2,.800116,.204351
1,2025, 5,3,0.79996,.286099
1,2025, 6,1,.769638,.653438
1,2025, 6,2,.802259,.179947
1,2025, 6,3,.771191,.290192
1,2025, 7,1,.839048,.647396
1,2025, 7,2,.908852,.171566
1,2025, 7,3,.887273,.268283
1,2025, 8,1,.794897,0.64572
1,2025, 8,2,.873654,0.20439
1,2025, 8,3,.905191,.281499
1,2025, 9,1,.871409,.758498
1,2025, 9,2,.958421,0.19094
1,2025, 9,3,0.93886,.245478
1,2025,10,1,.949841,.687861
1,2025,10,2,     1.,.190083
1,2025,10,3,.956979,.289334
1,2025,11,1,.929061,.896499
1,2025,11,2,.977476,.160962
1,2025,11,3,.863842,.288282
1,2025,12,1,.820386,.954273
1,2025,12,2,.896649,.168876
1,2025,12,3,.852348,.240488
