 NUM,...Nombre...,.PV.,.VAA,.TAA,#Uni,Tipo,....Pot,.FPMed.,.QMin..,.QMax..,.VMin..,.VMax..,.VInic.,Min.V+T,..VNC..,..ICP..,...IH..,..FP1..,..Vol1.,..FP2..,..Vol2.,..FP3..,..Vol3.,..FP4..,..Vol4.,..FP5..,..Vol5.,.Area1.,..Vol1.,.Area2.,..Vol2.,.Area3.,..Vol3.,.Area4.,..Vol4.,.Area5.,..Vol5.,.Filt1.,..Vol1.,.Filt2.,..Vol2.,.Filt3.,..Vol3.,.Filt4.,..Vol4.,.Filt5.,..Vol5.,.Cota1.,.Vol1..,.Cota2.,.Vol2..,.Cota3.,.Vol3..,.Cota4.,.Vol4..,.Cota5.,.Vol5..,.Ev1,.Ev2,.Ev3,.Ev4,.Ev5,.Ev6,.Ev7,.Ev8,.Ev9,Ev10,Ev11,Ev12,tini,tfil,.faa,tare,.varea.,tfil,.vfiltr,F.Reg..,pVar,.ICV,C.Vert.,sfal,Cos.O&M,Irxh,RendT&G,.EA.,Niv.Jus,I,JuAr,I,.TurIn1,.TotIn1,.TurIn2,.TotIn2,.TurIn3,.TotIn3,.TurIn4,.TotIn4,.TurIn5,.TotIn5,H,V,.CFuga1,..Def1.,.CFuga2,..Def2.,.CFuga3,..Def3.,.CFuga4,..Def4.,.CFuga5,..Def5.,E,PHidTur,PHidVer
1,CAMARGOS,1,2,2,2,1,46,0.181214,0,220,120,792,0.4594,34,0,0.346,3.78307,0.11189,120,0.14057,214.08,0.17208,368.64,0.21091,630.72,0.22949,792,23.9912,120,35.2504,214.08,48.2564,368.64,66.5703,657.6,73.3662,792,0,0,0,0,0,0,0,0,0,0,899.035,120,902.439,214.08,906.18,368.64,910.79,630.72,912.997,792,0,2,29,40,51,46,32,23,24,15,4,7,0,0,2,1,53.8857,0,0,0,1,0,0,0,0,0,0.85858,,885.75,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,886.1,0,886.1,107.25,886.1,214.5,886.1,272.25,886.1,330,0,0,0
2,ITUTINGA,2,4,4,4,1,52,0.240152,0,236,11,11,0,34,0,2.081,8.22836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,31,40,48,44,30,24,27,19,6,8,0,0,4,1,1.6,0,0,0,0,0,0,0,0,-1,0.88012,,857.21,0,4,0,0,0,0,0,0,0,0,0,0,0,,0,856.09,0,856.902,115.05,857.593,230.1,857.922,292.05,858.225,354,0,0,0
4,FUNIL-GRANDE,211,6,6,3,1,180,0.350103,0,585,304,304,0,48,0,0.631,4.82934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,31,42,48,47,33,29,33,22,10,14,0,0,6,1,37.71,0,0,0,0,0,0,0,0,-1,0.91855,,768.62,0,6,0,0,0,0,0,0,0,0,0,0,0,,1,768,48,768,660.3,768,1272.6,768,1602.3,768,1932,0,0,0
6,FURNAS,6,7,7,8,1,1312,0.784171,0,1692,5733,22950,0.2475,131,0,1.494,3.48481,0.69023,5733,0.73123,8487.72,0.77378,12447.6,0.82327,18473.6,0.85221,22950,530.109,5733,725.258,8487.72,972.144,12792,1297.96,19506.6,1442.11,22950,0,0,0,0,0,0,0,0,0,0,749.2,5733,753.757,8487.72,758.485,12447.6,763.985,18473.6,767.2,22950,13,2,25,40,52,51,43,42,39,18,12,27,0,0,7,1,1047.64,0,0,0,1,0,0,0,0,0,0.91733,,672.5,0,7,0,0,0,0,0,0,0,0,0,0,0,,1,671.763,131,673.101,1919.96,674.213,3708.93,675.021,4672.21,676.149,5635.5,0,0,0
7,M. DE MORAES,7,8,8,10,1,478,0.347618,0,1328,1540,4040,0.2711,149,0,2.067,6.0372,0.28369,1540,0.31532,2090,0.34932,2765,0.37888,3440,0.40168,4040,144.75,1540,156.698,1790,210.465,2915,257.063,3890,263.625,4040,0,0,0,0,0,0,0,0,0,0,652.385,1540,655.872,2090,659.622,2765,662.882,3440,665.397,4040,12,2,19,37,49,46,42,40,38,15,5,25,0,0,8,1,204.313,0,0,0,1,0,0,0,0,0,0.92436,,621.1,0,8,0,0,0,0,0,0,0,0,0,0,0,,1,619.523,149,622.775,2157.83,625.633,4166.65,627.008,5248.33,628.269,6330,0,0,0
8,ESTREITO,8,9,9,6,1,1104,0.544833,0,2028,1423,1423,0,153,0,1.403,3.82651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,18,38,53,52,48,43,39,15,2,21,0,0,9,1,46.53,0,0,0,0,0,0,0,0,-1,0.91193,,558.59,0,9,0,0,0,0,0,0,0,0,0,0,0,,1,556.903,153,559.067,2201.96,560.72,4250.93,561.438,5354.21,562.058,6457.5,0,0,0
9,JAGUARA,9,10,10,4,1,424,0.393108,0,1076,450,450,0,168,0,5.994,16.8743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,20,44,56,54,46,44,44,22,5,26,0,0,10,1,33.9,0,0,0,0,0,0,0,0,-1,0.91254,,512.94,0,10,0,0,0,0,0,0,0,0,0,0,0,,0,510.03,0,510.939,524.55,511.818,1049.1,512.28,1331.55,512.738,1614,0,0,0
10,IGARAPAVA,10,11,11,5,1,210,0.154597,0,1480,480,480,0,172,0,0.386,2.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,24,48,60,58,51,48,48,26,7,29,0,0,11,1,52,0,0,0,0,0,0,0,0,-1,0.92008,,494.59,0,11,0,0,0,0,0,0,0,0,0,0,0,,1,494.333,172,495.165,1555.53,495.598,2939.05,495.666,3684.03,495.618,4429,0,0,0
11,VOLTA GRANDE,11,12,12,4,1,380,0.247645,0,1584,2244,2244,0,178,0,9.321,12.5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,24,52,65,64,54,52,50,27,5,30,0,0,12,1,201.6,0,0,0,0,0,0,0,0,-1,0.91733,,466.65,0,12,0,0,0,0,0,0,0,0,0,0,0,,0,466.01,0,466.642,772.2,467.203,1544.4,467.481,1960.2,467.744,2376,0,0,0
12,P. COLOMBIA,12,17,17,4,1,328,0.200754,0,1988,1524,1524,0,189,0,12.441,14.7937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,27,55,67,68,57,55,52,29,6,32,0,0,17,1,143.9,0,0,0,0,0,0,0,0,-1,0.92895,,444.18,0,17,0,0,0,0,0,0,0,0,0,0,0,,1,446.106,189,446.578,2676.23,447.05,5163.45,447.305,6502.73,447.559,7842,0,0,0
