**** Planta:    4 FUNIL-GRANDE Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021      70      70      70      70      70      70      70      70      70      70      70      70
2022      70      70      70      70      70      70      70      70      70      70      70      70
2023      70      70      70      70      70      70      70      70      70      70      70      70
2024      70      70      70      70      70      70      70      70      70      70      70      70
2025      70      70      70      70      70      70      70      70      70      70      70      70
**** Planta:   20 BATALHA      Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021    30.1    30.1    30.1    30.1      23      23      23      23      23      23    30.1    30.1
2022    30.1    30.1    30.1    30.1      23      23      23      23      23      23    30.1    30.1
2023    30.1    30.1    30.1    30.1      23      23      23      23      23      23    30.1    30.1
2024    30.1    30.1    30.1    30.1      23      23      23      23      23      23    30.1    30.1
2025    30.1    30.1    30.1    30.1      23      23      23      23      23      23    30.1    30.1
**** Planta:  183 FONTES A     Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2022     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2023     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2024     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2025     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
**** Planta:  155 RETIRO BAIXO Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2022   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2023   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2024   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2025   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
**** Planta:  156 TRES MARIAS  Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     150     150     150     150     150     150     150     150     150     150     150     150
2022     150     150     150     150     150     150     150     150     150     150     150     150
2023     150     150     150     150     150     150     150     150     150     150     150     150
2024     150     150     150     150     150     150     150     150     150     150     150     150
2025     150     150     150     150     150     150     150     150     150     150     150     150
**** Planta:  162 QUEIMADO     Penal:        40000
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2022     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2023     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2024     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2025     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
**** Planta:  251 SERRA MESA   Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     300     300     300     300     300     300     300     300     300     300     300     300
2022     300     300     300     300     300     300     300     300     300     300     300     300
2023     300     300     300     300     300     300     300     300     300     300     300     300
2024     300     300     300     300     300     300     300     300     300     300     300     300
2025     300     300     300     300     300     300     300     300     300     300     300     300
**** Planta:  257 PEIXE ANGIC  Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     360     360     360     360     360     360     360     360     360     360     360     360
2022     360     360     360     360     360     360     360     360     360     360     360     360
2023     360     360     360     360     360     360     360     360     360     360     360     360
2024     360     360     360     360     360     360     360     360     360     360     360     360
2025     360     360     360     360     360     360     360     360     360     360     360     360
**** Planta:  262 SALTO        Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13
2022   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13
2023   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13
2024   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13
2025   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13   29.13
**** Planta:  120 JAGUARI      Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021       4       4       4       4       4       4       4       4       4       4       4       4
2022       4       4       4       4       4       4       4       4       4       4       4       4
2023       4       4       4       4       4       4       4       4       4       4       4       4
2024       4       4       4       4       4       4       4       4       4       4       4       4
2025       4       4       4       4       4       4       4       4       4       4       4       4
**** Planta:  121 PARAIBUNA    Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021      10      10      10      10      10      10      10      10      10      10      10      10
2022      10      10      10      10      10      10      10      10      10      10      10      10
2023      10      10      10      10      10      10      10      10      10      10      10      10
2024      10      10      10      10      10      10      10      10      10      10      10      10
2025      10      10      10      10      10      10      10      10      10      10      10      10
**** Planta:  122 SANTA BRANCA Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021      30      30      30      30      30      30      30      30      30      30      30      30
2022      30      30      30      30      30      30      30      30      30      30      30      30
2023      30      30      30      30      30      30      30      30      30      30      30      30
2024      30      30      30      30      30      30      30      30      30      30      30      30
2025      30      30      30      30      30      30      30      30      30      30      30      30
**** Planta:  123 FUNIL        Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021      70      70      70      70      70      70      70      70      70      70      70      70
2022      70      70      70      70      70      70      70      70      70      70      70      70
2023      70      70      70      70      70      70      70      70      70      70      70      70
2024      70      70      70      70      70      70      70      70      70      70      70      70
2025      70      70      70      70      70      70      70      70      70      70      70      70
**** Planta:  124 LAJES        Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2022     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2023     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2024     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
2025     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5     5.5
**** Planta:  126 PICADA       Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9
2022     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9
2023     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9
2024     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9
2025     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9     6.9
**** Planta:  133 P. PASSOS    Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     120     120     120     120     120     120     120     120     120     120     120     120
2022     120     120     120     120     120     120     120     120     120     120     120     120
2023     120     120     120     120     120     120     120     120     120     120     120     120
2024     120     120     120     120     120     120     120     120     120     120     120     120
2025     120     120     120     120     120     120     120     120     120     120     120     120
**** Planta:  192 GUILMAN-AMOR Penal:            4
