****       -1   1 RGHMIN  1    :>: H:  66                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                            4372    4497    5403    5458    5445
2021   2                                                            4372    4497    5403    5458    5445
2021   3                                                            4372    4497    5403    5458    5445
2022   1    5993    6105    5651    5220    5198    5296    5281    5301    5400    5494    5551    5537
2022   2    5993    6105    5651    5220    5198    5296    5281    5301    5400    5494    5551    5537
2022   3    5993    6105    5651    5220    5198    5296    5281    5301    5400    5494    5551    5537
2023   1    6113    6230    5754    5301    5278    5381    5365    5386    5490    5588    5649    5634
2023   2    6113    6230    5754    5301    5278    5381    5365    5386    5490    5588    5649    5634
2023   3    6113    6230    5754    5301    5278    5381    5365    5386    5490    5588    5649    5634
2024   1    6238    6266    5861    5386    5362    5470    5454    5475    5585    5688    5751    5736
2024   2    6238    6266    5861    5386    5362    5470    5454    5475    5585    5688    5751    5736
2024   3    6238    6266    5861    5386    5362    5470    5454    5475    5585    5688    5751    5736
2025   1    6371    6500    5975    5475    5450    5564    5546    5569    5684    5793    5859    5843
2025   2    6371    6500    5975    5475    5450    5564    5546    5569    5684    5793    5859    5843
2025   3    6371    6500    5975    5475    5450    5564    5546    5569    5684    5793    5859    5843
****       -1   2 RE  1        :<: H: 287 H: 285                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                            7386    7401   99999   99999   99999
2021   2                                                            7386    7401   99999   99999   99999
2021   3                                                            7386    7401   99999   99999   99999
2022   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2022   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2022   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2023   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2023   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2023   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2024   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2024   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2024   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2025   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2025   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2025   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
****       -1   3 RE  2        :<: H: 139                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
****       -1   4 RE  3        :<: H: 156                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                           174.6   174.6   99999   99999   99999
2021   2                                                           174.6   174.6   99999   99999   99999
2021   3                                                           174.6   174.6   99999   99999   99999
2022   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2022   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2022   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2023   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2023   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2023   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2024   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2024   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2024   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2025   1   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2025   2   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
2025   3   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999   99999
