& Caso de Calculo de Garantia Fisica para Desestatizacao da Eletrobras
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: codigo da usina hidraulica
& Indice: indice da familia (sequencial)
& HjusRef: nivel de montante da usina de jusante para referencia da familia
& nPol: quantidade de polinomios da familia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
CURVAJUS   0074     001      600.4911  003
CURVAJUS   0074     002      605.5000  004
CURVAJUS   0074     003      606.0000  004
CURVAJUS   0074     004      606.5000  004
CURVAJUS   0074     005      607.0000  004
&
CURVAJUS   0006     001    669.244800  003
CURVAJUS   0007     001    617.746700  002
CURVAJUS   0007     002    619.300000  003
CURVAJUS   0007     003    620.900000  003
CURVAJUS   0007     004    621.700000  003
CURVAJUS   0007     005    622.500000  003
CURVAJUS   0008     001    556.253700  002
CURVAJUS   0008     002    557.100000  003
CURVAJUS   0008     003    557.400000  003
CURVAJUS   0008     004    558.000000  002
CURVAJUS   0008     005    558.500000  002
CURVAJUS   0012     001    442.595400  003
CURVAJUS   0012     002    444.000000  003
CURVAJUS   0012     003    444.700000  003
CURVAJUS   0012     004    445.500000  002
CURVAJUS   0012     005    446.300000  002
CURVAJUS   0017     001    379.335800  002
CURVAJUS   0017     002    381.000000  003
CURVAJUS   0017     003    382.200000  002
CURVAJUS   0017     004    383.300000  002
CURVAJUS   0030     001    514.714300  002
CURVAJUS   0030     002    516.700000  003
CURVAJUS   0030     003    517.800000  003
CURVAJUS   0030     004    518.800000  003
CURVAJUS   0030     005    520.000000  003
CURVAJUS   0031     001    432.111500  002
CURVAJUS   0031     002    432.700000  003
CURVAJUS   0031     003    433.200000  003
CURVAJUS   0031     004    433.600000  003
CURVAJUS   0031     005    434.200000  003
CURVAJUS   0123     001    393.174085  002
CURVAJUS   0169     001    360.179100  002
CURVAJUS   0172     001    251.312200  002
CURVAJUS   0172     002    251.400000  002
CURVAJUS   0172     003    251.500000  002
CURVAJUS   0172     004    251.600000  002
CURVAJUS   0176     001    137.002400  002
CURVAJUS   0176     002    137.200000  003
CURVAJUS   0176     003    137.400000  003
CURVAJUS   0176     004    137.700000  002
CURVAJUS   0176     005    138.000000  002
CURVAJUS   0178     001     11.285440  002
CURVAJUS   0190     001    114.599600  002
CURVAJUS   0272     001      9.060788  002
CURVAJUS   0275     001      3.301617  002
CURVAJUS   0280     001     20.812790  002
CURVAJUS   0280     002     21.300000  003
&
CURVAJUS   0001     001         0.000  001
CURVAJUS   0002     001         0.000  001
CURVAJUS   0004     001         0.000  001
CURVAJUS   0009     001         0.000  001
CURVAJUS   0010     001         0.000  001
CURVAJUS   0011     001         0.000  001
CURVAJUS   0014     001         0.000  001
CURVAJUS   0015     001         0.000  001
CURVAJUS   0016     001         0.000  001
CURVAJUS   0018     001         0.000  001
CURVAJUS   0020     001         0.000  001
CURVAJUS   0021     001         0.000  001
CURVAJUS   0024     001       512.000  001
CURVAJUS   0024     002       514.000  001
CURVAJUS   0024     003       516.000  001
CURVAJUS   0024     004       518.000  001
CURVAJUS   0024     005       520.000  001
CURVAJUS   0025     001         0.000  001
CURVAJUS   0026     001         0.000  001
CURVAJUS   0027     001         0.000  001
CURVAJUS   0028     001         0.000  001
CURVAJUS   0029     001         0.000  001
CURVAJUS   0032     001         0.000  001
CURVAJUS   0033     001       324.700  001
CURVAJUS   0033     002       326.300  001
CURVAJUS   0033     003       328.000  001
CURVAJUS   0034     001         0.000  001
CURVAJUS   0037     001         0.000  001
CURVAJUS   0038     001         0.000  001
CURVAJUS   0039     001         0.000  001
CURVAJUS   0040     001         0.000  001
CURVAJUS   0042     001         0.000  001
CURVAJUS   0043     001         0.000  001
CURVAJUS   0044     001         0.000  001
CURVAJUS   0045     001         0.000  001
CURVAJUS   0046     001         0.000  001
CURVAJUS   0047     001         0.000  001
CURVAJUS   0048     001         0.000  001
CURVAJUS   0049     001         0.000  001
CURVAJUS   0050     001         0.000  001
CURVAJUS   0051     001         0.000  001
CURVAJUS   0052     001         0.000  001
CURVAJUS   0054     001         0.000  001
CURVAJUS   0057     001         0.000  001
CURVAJUS   0061     001         0.000  001
CURVAJUS   0062     001         0.000  001
CURVAJUS   0063     001         0.000  001
CURVAJUS   0066     001         0.000  001
CURVAJUS   0071     001         0.000  001
CURVAJUS   0072     001         0.000  001
CURVAJUS   0073     001         0.000  001
CURVAJUS   0076     001         0.000  001
CURVAJUS   0077     001         0.000  001
CURVAJUS   0078     001         0.000  001
CURVAJUS   0082     001         0.000  001
CURVAJUS   0083     001         0.000  001
CURVAJUS   0086     001         0.000  001
CURVAJUS   0088     001         0.000  001
CURVAJUS   0089     001         0.000  001
CURVAJUS   0090     001         0.000  001
CURVAJUS   0091     001         0.000  001
CURVAJUS   0092     001         0.000  001
CURVAJUS   0093     001         0.000  001
CURVAJUS   0094     001         0.000  001
CURVAJUS   0095     001         0.000  001
CURVAJUS   0097     001         0.000  001
CURVAJUS   0098     001         0.000  001
CURVAJUS   0099     001         0.000  001
CURVAJUS   0101     001         0.000  001
CURVAJUS   0102     001         0.000  001
CURVAJUS   0103     001         0.000  001
CURVAJUS   0105     001         0.000  001
CURVAJUS   0107     001         0.000  001
CURVAJUS   0108     001         0.000  001
CURVAJUS   0109     001         0.000  001
CURVAJUS   0110     001         0.000  001
CURVAJUS   0111     001         0.000  001
CURVAJUS   0112     001         0.000  001
CURVAJUS   0113     001         0.000  001
CURVAJUS   0114     001         0.000  001
CURVAJUS   0115     001         0.000  001
CURVAJUS   0117     001         0.000  001
CURVAJUS   0118     001         0.000  001
CURVAJUS   0119     001         0.000  001
CURVAJUS   0120     001         0.000  001
CURVAJUS   0121     001         0.000  001
CURVAJUS   0122     001         0.000  001
CURVAJUS   0124     001         0.000  001
CURVAJUS   0125     001         0.000  001
CURVAJUS   0126     001         0.000  001
CURVAJUS   0127     001         0.000  001
CURVAJUS   0129     001         0.000  001
CURVAJUS   0130     001         0.000  001
CURVAJUS   0131     001         0.000  001
CURVAJUS   0132     001         0.000  001
CURVAJUS   0133     001         0.000  001
CURVAJUS   0134     001         0.000  001
CURVAJUS   0135     001         0.000  001
CURVAJUS   0139     001         0.000  001
CURVAJUS   0141     001         0.000  001
CURVAJUS   0143     001         0.000  001
CURVAJUS   0144     001         0.000  001
CURVAJUS   0148     001         0.000  001
CURVAJUS   0153     001         0.000  001
CURVAJUS   0154     001         0.000  001
CURVAJUS   0155     001         0.000  001
CURVAJUS   0156     001         0.000  001
CURVAJUS   0162     001         0.000  001
CURVAJUS   0173     001         0.000  001
CURVAJUS   0174     001         0.000  001
CURVAJUS   0175     001         0.000  001
CURVAJUS   0180     001         0.000  001
CURVAJUS   0181     001         0.000  001
CURVAJUS   0182     001         0.000  001
CURVAJUS   0183     001         0.000  001
CURVAJUS   0184     001         0.000  001
CURVAJUS   0189     001         0.000  001
CURVAJUS   0192     001         0.000  001
CURVAJUS   0193     001         0.000  001
CURVAJUS   0195     001         0.000  001
CURVAJUS   0196     001         0.000  001
CURVAJUS   0203     001         0.000  001
CURVAJUS   0204     001         0.000  001
CURVAJUS   0215     001         0.000  001
CURVAJUS   0217     001         0.000  001
CURVAJUS   0227     001         0.000  001
CURVAJUS   0228     001         0.000  001
CURVAJUS   0229     001         0.000  001
CURVAJUS   0230     001         0.000  001
CURVAJUS   0241     001         0.000  001
CURVAJUS   0249     001         0.000  001
CURVAJUS   0251     001         0.000  001
CURVAJUS   0252     001         0.000  001
CURVAJUS   0253     001         0.000  001
CURVAJUS   0257     001         0.000  001
CURVAJUS   0261     001         0.000  001
CURVAJUS   0262     001         0.000  001
CURVAJUS   0267     001         0.000  001
CURVAJUS   0276     001         0.000  001
CURVAJUS   0277     001         0.000  001
CURVAJUS   0278     001         0.000  001
CURVAJUS   0279     001         0.000  001
CURVAJUS   0281     001         0.000  001
CURVAJUS   0283     001         0.000  001
CURVAJUS   0284     001         0.000  001
CURVAJUS   0285     001         0.000  001
CURVAJUS   0286     001         0.000  001
CURVAJUS   0287     001         0.000  001
CURVAJUS   0288     001         0.000  001
CURVAJUS   0290     001         0.000  001
CURVAJUS   0291     001         0.000  001
CURVAJUS   0292     001         0.000  001
