VAZMINT PARA O PERIODO PRE
NUM   MES   QMIN
XXXX  XX  XXXXXXXX
  17   1    330.00
  17   3    312.00
  17  11    330.00
  17   3    312.00
  17  11    330.00
  17   3    312.00
  17  11    330.00
  17   3    312.00
  17  11    330.00
  17   3    312.00
  17  11    330.00
  17   3    312.00
  17  11    330.00
  20   1     30.10
  20   5     23.00
  20  11     30.10
  20   5     23.00
  20  11     30.10
  20   5     23.00
  20  11     30.10
  20   5     23.00
  20  11     30.10
  20   5     23.00
  20  11     30.10
  20   5     23.00
  20  11     30.10
  25   1    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  26   1    135.00
  26   3    100.00
  26  11    135.00
  26   3    100.00
  26  11    135.00
  26   3    100.00
  26  11    135.00
  26   3    100.00
  26  11    135.00
  26   3    100.00
  26  11    135.00
  26   3    100.00
  26  11    135.00
 162   1      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 294   1      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
999
