VAZMINT PARA O PERIODO PRE
NUM   MES   QMIN
XXXX  XX  XXXXXXXX
  25   1    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
  25   4     26.80
  25  11    110.00
 278   1     25.00
 278   5     95.00
 278  11     25.00
 278   5     95.00
 278  11     25.00
 278   5     95.00
 278  11     25.00
 278   5     95.00
 278  11     25.00
 278   5     95.00
 278  11     25.00
 278   5     95.00
 278  11     25.00
 162   1      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 162   5     17.00
 162  11      8.80
 294   1      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 294   5     17.00
 294  11      8.80
 277   1    450.00
 277   4    390.00
 277   9    450.00
 277   4    390.00
 277   9    450.00
 277   4    390.00
 277   9    450.00
 277   4    390.00
 277   9    450.00
 277   4    390.00
 277   9    450.00
 277   4    390.00
 277   9    450.00
999
