NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
130,1931,1,1931,1,1,0,1,860.39,658.28,202.08,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,631.79,228.6,171.37,702.21,0.024, 
130,1931,2,1931,1,1,0,1,1977.21,658.28,1318.9,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,1601.68,375.53,171.37,702.21,0.033, 
130,1931,3,1931,1,1,0,1,1445.32,658.28,786.98,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,1137.7,307.62,171.37,702.21,0.054, 
130,1931,4,1931,1,1,0,1,862.8,658.28,204.46,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,633.79,229.01,171.37,702.21,0.057, 
130,1931,5,1931,1,1,0,1,469.78,469.72,0,8,-1,0,32.26,117.63,178.42,102.84,0,135.6,135.6,117.63,117.63,117.63,178.42,117.63,117.63,469.72,32.26,293.18,176.6,171.39,702.17,0.054, 
130,1931,6,1931,1,1,0,1,316.46,316.42,0,8,-1,0,32.81,80.6,184.3,102.29,0,135.6,135.6,80.6,80.6,80.6,184.3,80.59,80.59,316.42,32.81,158.79,157.67,171.38,702.1,0.048, 
130,1931,7,1931,1,1,0,1,274.11,274.07,0,8,-1,0,32.96,70.12,186.18,102.14,0,135.6,135.6,70.12,70.12,70.12,186.18,70.12,70.12,274.07,32.96,128.53,145.58,171.37,702.08,0.043, 
130,1931,8,1931,1,1,0,1,238.09,238.05,0,8,-1,0,33.07,61.12,187.17,102.03,0,135.6,135.6,61.12,61.12,61.12,187.17,61.12,61.12,238.05,33.07,102.44,135.65,171.37,702.08,0.039, 
130,1931,9,1931,1,1,0,1,238.71,238.66,0,8,-1,0,33.07,61.27,187.17,102.03,0,135.6,135.6,61.27,61.27,61.27,187.17,61.27,61.27,238.66,33.07,101.11,137.6,171.37,702.08,0.046, 
130,1931,10,1931,1,1,0,1,322.05,322.02,0,8,-1,0,32.79,81.97,184.07,102.31,0,135.6,135.6,81.97,81.97,81.97,184.07,81.97,81.97,322.02,32.79,166.49,155.56,171.38,702.1,0.031, 
130,1931,11,1931,1,1,0,1,336.49,336.47,0,8,-1,0,32.74,85.52,183.48,102.36,0,135.6,135.6,85.52,85.52,85.52,183.48,85.52,85.52,336.47,32.74,176.76,159.73,171.38,702.1,0.019, 
130,1931,12,1931,1,1,0,1,705.52,658.28,47.23,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,496.84,208.68,171.37,702.21,0.015, 
130,1932,1,1931,1,1,0,1,1215.39,658.28,557.08,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,938.79,276.6,171.37,702.21,0.024, 
130,1932,2,1931,1,1,0,1,1041.21,658.28,382.9,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,787.68,253.53,171.37,702.21,0.033, 
130,1932,3,1931,1,1,0,1,903.32,658.28,244.98,8,-1,0,31.54,161.15,172.18,103.56,0,135.6,135.6,161.15,161.15,161.15,172.18,172.18,172.18,658.28,31.54,668.7,234.62,171.37,702.21,0.054, 
130,1932,4,1931,1,1,0,1,450.8,450.74,0,8,-1,0,32.33,113.14,179.13,102.77,0,135.6,135.6,113.14,113.14,113.14,179.13,113.14,113.14,450.74,32.33,275.79,175.01,171.39,702.16,0.057, 
130,1932,5,1931,1,1,0,1,407.78,407.72,0,8,-1,0,32.49,102.84,180.73,102.61,0,135.6,135.6,102.84,102.84,102.84,180.73,102.84,102.84,407.72,32.49,239.18,168.6,171.39,702.14,0.054, 
130,1932,6,1931,1,1,0,1,355.46,355.42,0,8,-1,0,32.68,90.16,182.73,102.42,0,135.6,135.6,90.16,90.16,90.16,182.73,90.16,90.16,355.42,32.68,192.79,162.67,171.38,702.11,0.048, 
130,1932,7,1931,1,1,0,1,225.11,225.07,0,8,-1,0,33.11,57.85,187.17,101.99,0,135.6,135.6,57.85,57.85,57.85,187.17,57.85,57.85,225.07,33.11,85.53,139.58,171.38,702.1,0.043, 
