name,max_spillage,min_spillage,max_turbining,min_turbining,max_reservoir,min_reservoir,min_reservoir_ope,turbines_to,spills_to,generation_coef,area,IH,volume_start
fontes_a,99999,0,17,11,467,467,0,pereira_passos,pereira_passos,2.5295,1,0.0716932,1
fontes_bc,99999,0,34,0,38,38,0,pereira_passos,pereira_passos,2.5295,0,0.0716932,1
funil,99999,0,387,70,888,283,0.3,sta_cecilia,sta_cecilia,0.53034,0,0.0862739,0.5
ilha_dos_pombos,99999,0,724,0,8,8,0,nothing,nothing,0.28745,4,0.070115,1
jaguari,99999,0,64,4,1236,443,0.2,funil,funil,0.48576,0,0.0733892,0.85
lajes,99999,0,51,5.5,445.35,0.01,0.19,fontes_a,fontes_bc,0,0,0,0.5
nilo_pecanha,99999,0,144,0,0,0,0,pereira_passos,pereira_passos,2.63305,1,0.0817046,1
paraibuna,99999,0,127,10,4732,2096,0.05,sta_branca,sta_branca,0.67581,0,0.0716911,0.85
pereira_passos,99999,0,318,120,17,17,0,nothing,nothing,0.31396,1.1,0.0716911,1
picada,99999,0,44,0,7,6,0,sobragi,sobragi,1.16066,0,0.0663163,1
santana,99999,0,190,0,12,12,0,vigario,simplicio,-0.446,0,0,1
simplicio,99999,90,309,0,126.5,126.5,0,ilha_dos_pombos,ilha_dos_pombos,0.93336,11.36,0.0767841,1
sobragi,99999,0,90,0,1,1,0,simplicio,simplicio,0.71654,0.11,0.0739691,1
sta_branca,99999,0,144,30,439,131,0.1,funil,funil,0.33046,0,0.0690523,0.75
sta_cecilia,90,71,160,119,6,6,0,santana,simplicio,-0.191,0,0,1
tocos,99999,0,25,0,2,2,0,lajes,santana,0,0,0,1
vigario,70,0,144,0,38,38,0,nilo_pecanha,fontes_bc,0,0,0,1
