name,barra_do_pirai,pirai,rio_claro,areias,itatiaia,queluz,resende,sao_jose_do_barreiro,igarata,jacarei,santa_isabel,sao_jose_dos_campos,natividade_da serra,paraibuna,redencao_da_serra,jambeiro,santa_branca,alem_paraiba,carmo,sapucaia,areal,petropolis,sao_jose_do_vale_do_rio_preto,tres_rios,belmiro_braga,simao_pereira,juiz_de_fora,chiador
fontes,0.120922265,0.138995764,0.227998261,0.000564209,0.003554761,0.002488817,0.015471928,0.001155055,0.009940185,0.010938762,0.003391246,0.00927727,0.046661373,0.04889587,0.008530568,0.002667998,0.003006778,0,0,0,0,0,0,0,0,0,0,0
funil,0,0,0,0.014815315,0.093342841,0.065352706,0.040627026,0.030330065,0.002766745,0.00304468,0.000943917,0.00258223,0.012987673,0.013609614,0.002374389,0.000742601,0.000836896,0,0,0,0,0,0,0,0,0,0,0
ilha_dos_pombos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282097473,0.316339812,0.049441745,0.000772084,0.000747658,0.000422588,0.000124904,1.70E-06,7.48E-05,5.13E-05,0
jaguari,0,0,0,0,0,0,0,0,0.212538802,0.16658583,0.072510865,0.198364504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nilo_pecanha,0.12251193,0.332408705,0,0.000660878,0.004163815,0.002915238,0.018122807,0.001352956,0.011643258,0.012812923,0.003972276,0.010866765,0.054655968,0.057273305,0.009992129,0.003125111,0.003521935,0,0,0,0,0,0,0,0,0,0,0
paraibuna,0,0,0,0,0,0,0,0,0,0,0,0,0.299929637,0.29523764,0.054832723,0,0,0,0,0,0,0,0,0,0,0,0,0
pereira_passos,0.116355296,0.228236957,0.009490632,0.00100249,0.006316115,0.004422141,0.027490591,0.002052307,0.017661741,0.019436002,0.006025573,0.016483872,0.08290799,0.086878237,0.015157125,0.004740493,0.005342437,0,0,0,0,0,0,0,0,0,0,0
picada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0
simplicio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109475107,0,0.00953985,0.000871029,0.000843473,0.000476745,0.024979585,1.91E-06,8.44E-05,5.79E-05,0.280205521
sobragi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450428024,0.198556027,0.00101595,0
sta_branca,0,0,0,0,0,0,0,0,0,0.163229086,0,0,0.017892362,0.171336795,0.003271057,0.138351471,0.155919229,0,0,0,0,0,0,0,0,0,0,0
