name,mean_generation,estado,federacao,tres_rios,belmiro_braga,jambeiro,juiz_de_fora,pirai,redencao_da_serra,areal,sao_jose_dos_campos,natividade_da serra,carmo,municipio,areias,santa_isabel,alem_paraiba,barra_do_pirai,sao_jose_do_vale_do_rio_preto,simao_pereira,chiador,santa_branca,queluz,sapucaia,igarata,jacarei,rio_claro,itatiaia,resende,petropolis,sao_jose_do_barreiro,paraibuna
paraibuna,34765.64033175741,41284.19789396192,16513.67915758477,0.0,0.0,0.0,0.0,0.0,6791.174962190393,0.0,0.0,37147.0634645165,0.0,123852.59368188577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36565.94746651887
simplicio,134391.29869116974,159589.66719576405,63835.86687830562,119594.509705149,0.914448793031728,0.0,27.720725191904215,0.0,0.0,417.0216846835775,0.0,0.0,0.0,478769.0015872922,0.0,0.0,52413.28767705198,0.0,228.2507276617336,40.408103733967465,134153.71752841704,0.0,0.0,4567.38445979253,0.0,0.0,0.0,0.0,0.0,403.82872607583806,0.0,0.0
sta_branca,18654.565668020754,22152.296730774644,8860.918692309859,0.0,0.0,9194.408516193489,0.0,0.0,217.38427586183255,0.0,0.0,1189.0707367153093,0.0,66456.89019232393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10361.907080524808,0.0,0.0,0.0,10847.6974444954,0.0,0.0,0.0,0.0,0.0,11386.510571219715
jaguari,9152.506296680414,10868.601227307992,4347.440490923197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6467.834074886224,0.0,0.0,32605.80368192398,0.0,2364.2750289964924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6929.998452803311,5431.664869170361,0.0,0.0,0.0,0.0,0.0,0.0
ilha_dos_pombos,70845.76374574564,84129.34444807295,33651.73777922918,31.524274916826315,0.42905965668517204,0.0,12.947506110558427,0.0,0.0,194.8647623365379,0.0,0.0,79840.38301915993,252388.03334421886,0.0,0.0,71198.02642184388,0.0,106.65615423486676,18.87862489414757,0.0,0.0,0.0,12478.504785656367,0.0,0.0,0.0,0.0,0.0,188.69993223407198,0.0,0.0
funil,84247.936438962,100044.42452126738,40017.76980850696,0.0,0.0,222.87926908175302,0.0,0.0,712.6331432838826,0.0,775.0131429946567,3898.032813466207,0.0,300133.2735638021,4446.568989828901,283.3008991825234,0.0,0.0,0.0,0.0,0.0,251.18033611245173,19614.52158803273,0.0,830.3922339662818,913.8097753542371,0.0,28015.292433075483,121935.22308541702,0.0,9103.0616958529,4084.6980017597516
sobragi,29677.852252821685,35242.44955022575,14096.9798200903,0.0,47622.56073548362,0.0,107.41369986165556,0.0,0.0,0.0,0.0,0.0,0.0,105727.34865067725,0.0,0.0,0.0,0.0,0.0,20992.802293322286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nilo_pecanha,254725.7803295377,302486.864141326,120994.7456565304,0.0,0.0,2835.9150794506904,0.0,301647.80036618735,9067.463301916812,0.0,9861.16100463215,49598.137100785985,0.0,907460.592423978,599.7207413999738,3604.68393223155,0.0,111174.74857680494,0.0,0.0,0.0,3196.017221578743,2645.463602536893,0.0,10565.797802425222,11627.222696262814,0.0,3778.4980266438465,16445.733176605416,0.0,1227.7542532835755,51973.26728537918
picada,24155.87468287064,28685.101185908883,11474.040474363554,0.0,0.0,0.0,55935.947312522316,0.0,0.0,0.0,0.0,0.0,0.0,86055.30355772664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pereira_passos,40034.15168495311,47540.555125881816,19016.222050352728,0.0,0.0,676.0970063710707,0.0,32551.534908066056,2161.7344098371445,0.0,2350.9572765119397,11824.475606913176,0.0,142621.66537764546,142.9767933244358,859.3772561145753,0.0,16594.786091028887,0.0,0.0,0.0,761.9472621151522,630.6931139547665,0.0,2518.9469148886415,2771.994973523248,1353.5697413263742,900.8148400167271,3920.7538706357122,0.0,292.70344220619944,12390.718846013777
