step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272185578049948,0.0,271.409585095431,0.0,0.0,0.0,22.02266333282637,0.0,0.0,32.0,2.8610385878263997,0.0,255.89861839255093,0.0,11.76546239999999,0.4375688000000011,1.850463639678253,0.0
2,2,1,0.9982897091091663,3.865220459009791,1220.8760661823803,0.0,0.0,0.0,1118.4111108021766,5.0,281.8646993471212,46.0,137.8688167537779,0.0,763.4767000471212,10.0,11.76546239999999,14.437568800000001,69.84811010064891,0.0
3,3,1,0.9999999999999998,4.582813451960504,867.5817014299454,7.199200269744551,0.0,0.0,697.1849110890852,0.0,186.54510682803544,38.99999999999994,61.885836635123894,0.0,541.1571075280353,3.0,11.76546239999999,7.437568799999937,31.846411627238616,0.0
4,4,1,1.0,0.0,355.29401522132434,0.0,0.0,0.0,106.28388955589242,0.0,0.0,41.00000000000006,11.811680068627169,23.89943254814818,278.77968700578367,4.0,11.755462399999999,9.437568800000065,6.793396787145696,0.0
5,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,9.628748557706082,145.21752933537323,0.0,11.75546239999997,0.0,0.0,0.0
6,6,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.48276588148150523,92.4233923432707,0.0,11.755462399999999,0.0,0.0,0.0
7,7,1,0.963587076779948,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
8,8,1,0.903983748811247,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
9,9,1,0.8572014211730378,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
10,10,1,0.8389596198380047,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.999999999999943,0.0,1.2435872673835213,90.0,0.0,11.75546239999997,0.0,0.0,0.0
11,11,1,0.8646978381209637,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,7.428691807407418,90.0,0.0,11.755462399999999,0.0,0.0,0.0
12,12,1,0.9999204095172938,0.0,112.66309357727863,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,15.46640088745518,133.09632393342292,0.0,11.75546239999997,0.4375688000000011,0.0,0.0
13,1,1,1.0,6.014004040692768,694.8737083962338,5.896190789048433,0.0,0.0,493.4867866336293,0.0,80.75074099335353,33.0,57.86103858782636,20.63441164014335,408.36274169335366,0.0,11.76546239999999,1.437568800000001,23.850463639678246,0.0
14,2,1,0.9999999999999998,0.0,556.5625193382283,0.0,0.0,0.0,332.09756395802424,0.0,83.55115250296899,29.0,77.86881675377793,10.687711603065104,377.16315320296894,0.0,11.76546239999999,0.0,41.84811010064896,0.0
15,3,1,0.9999999999999998,1.582813451960405,408.23308143987333,4.199200269744466,0.0,0.0,164.83629109901324,0.0,76.19648683796333,33.0,27.88583663512391,18.253587267383534,390.8084875379634,0.0,11.76546239999999,1.437568800000001,20.84641162723861,0.0
16,4,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.000000000000057,0.0,8.899432548148138,115.77968700578344,0.0,11.755462399999999,0.0,0.0,0.0
17,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,9.628748557706082,144.217529335373,0.0,11.75546239999997,0.0,0.0,0.0
18,6,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.48276588148150523,139.4233923432705,0.0,11.755462399999999,0.0,0.0,0.0
19,7,1,0.9685219455040384,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999999999999915,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
20,8,1,0.9224779915080334,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
21,9,1,0.8643168798630517,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
22,10,1,0.8306524803203957,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999999999999943,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
23,11,1,0.8388383819009435,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999999999999943,0.0,3.4286918074073967,90.0,0.0,11.755462399999999,0.0,0.0,0.0
24,12,1,0.9580788116236464,0.0,365.6630935772788,0.0,0.0,0.0,131.36513238815087,0.0,0.0,29.999999999999943,60.87653089558813,12.466400887455197,130.09632393342304,0.0,11.75546239999997,0.0,29.85644877898121,0.0
25,1,1,1.0,0.0,553.1845794738342,0.0,0.0,0.0,339.7976577112298,0.0,0.0,38.99999999999994,88.86103858782639,23.634411640143394,273.67361277095415,3.0,11.76546239999999,7.437568799999937,44.850463639678246,0.0
26,2,1,1.0,0.0,169.56251933822864,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.86881675377795,4.6877116030651145,139.16315320296917,0.0,11.76546239999999,0.0,16.848110100648967,0.0
27,3,1,1.0,0.0,92.2330814398735,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.885836635123923,8.253587267383509,103.80848753796352,0.0,11.76546239999999,0.0,6.846411627238609,0.0
28,4,1,0.9425603290462898,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,90.00000000000006,0.0,11.755462399999999,0.0,0.0,0.0
29,5,1,0.8940599799732577,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.00000000000006,0.0,11.75546239999997,0.0,0.0,0.0
30,6,1,0.8264813927024909,5.330948231949506,90.0,15.89716629196677,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
31,7,1,0.7491405036739922,23.329959802983282,90.0,12.45202490138385,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
32,8,1,0.7017116431695123,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
33,9,2,0.6665378533707587,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
34,10,2,0.6483294488237946,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
35,11,1,0.6644982008083072,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42869180740741797,71.0,0.0,0.0,0.0,0.0,0.0
36,12,1,0.7820536931923472,0.0,116.43901931779175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.876530895588147,10.466400887455187,89.87224967393604,0.0,0.0,0.0,6.856448778981203,0.0
37,1,1,0.8797914824721935,0.0,586.8220179405159,0.0,0.0,0.0,281.43509617791153,0.0,0.0,35.99999999999994,57.861038587826414,21.634411640143394,339.31105123763575,1.0,11.76546239999999,4.437568799999937,24.85046363967826,0.0
38,2,1,0.9139580314924454,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,5.687711603065122,102.36142595917602,0.0,11.76546239999999,0.0,0.0,0.0
39,3,1,0.9513159254010967,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.2535872673835193,130.5528184682189,0.0,11.76546239999999,0.0,0.0,0.0
40,4,1,0.9272980874401493,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
41,5,1,0.8794683619876852,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
42,6,1,0.8113445392853461,33.81937850195209,90.0,22.897166291966812,0.0,0.0,0.0,0.0,0.0,22.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
43,7,1,0.7309473828428434,0.8367807972901886,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
44,8,1,0.6755432083889069,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
45,9,2,0.6362193368569002,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
46,10,2,0.6056785430578753,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
47,11,1,0.5852422910339481,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
48,12,1,0.7323980672130825,0.0,101.43901931779152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.87653089558813,5.46640088745519,82.87224967393584,0.0,0.0,0.0,19.856448778981203,0.0
49,1,1,0.7804025861582199,0.0,207.85394388098462,0.0,0.0,0.0,0.0,0.0,0.0,28.0,61.86103858782636,10.63441164014338,143.34297717810455,0.0,11.76546239999999,0.0,23.85046363967823,0.0
50,2,1,0.8818403522137839,0.0,988.760792094435,0.0,5.591455124666197,0.0,745.2958367142309,0.0,80.7494252591759,41.0,185.86881675377788,23.687711603065107,424.3614259591759,4.0,11.76546239999999,9.437568800000001,77.84811010064891,0.0
51,3,1,0.9362958669496585,0.0,296.97741237012895,0.0,0.0,0.0,58.58062202926874,0.0,0.0,29.999999999999943,32.88583663512391,12.253587267383491,241.5528184682189,0.0,11.76546239999999,0.0,12.84641162723861,0.0
52,4,1,0.9627812732542995,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.811680068627197,6.899432548148152,90.00000000000006,0.0,11.755462399999999,0.0,6.793396787145717,0.0
53,5,1,0.9586888935518453,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.999999999999943,0.0,0.0,90.00000000000003,0.0,11.75546239999997,0.0,0.0,0.0
54,6,1,0.9196448764754824,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.000000000000057,0.0,0.0,90.00000000000006,0.0,11.755462399999999,0.0,0.0,0.0
55,7,1,0.8513406848208105,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.00000000000006,0.0,11.75546239999997,0.0,0.0,0.0
56,8,1,0.7753531548371091,39.57893889732209,90.0,28.791254778381358,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
57,9,1,0.7502114708833435,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
58,10,1,0.7554296076641183,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.999999999999943,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
59,11,1,0.7394765100178571,0.0,90.0,0.0,8.102246259703968,0.0,0.0,0.0,0.0,23.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
60,12,1,0.7180382156323221,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999999999999915,0.0,4.466400887455226,90.0,0.0,11.75546239999997,0.0,0.0,0.0
61,1,2,0.7266254589372729,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
62,2,1,0.7508796343268412,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,11.687711603065136,90.00000000000006,0.0,11.76546239999999,0.0,0.0,0.0
63,3,1,0.9492740938947614,0.0,527.3582218079825,0.0,0.0,5.034802867383533,227.96143146712245,36.0,0.0,46.0,20.885836635123923,35.218784400000004,385.9336279060726,28.0,11.76546239999999,19.472371667383534,11.84641162723861,0.0
64,4,1,1.0,0.0,149.38868063554048,0.0,0.0,0.0,0.0,0.0,0.0,45.00000000000006,0.0,18.899432548148123,183.8743524199998,7.0,11.755462399999999,13.437568800000065,0.0,0.0
65,5,1,0.9945824575246115,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,27.999999999999943,0.0,5.628748557706071,90.0,0.0,11.75546239999997,0.0,0.0,0.0
66,6,1,0.963206394514408,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
67,7,1,0.9145357642263695,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999999999999915,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
68,8,1,0.8556757146405051,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
69,9,1,0.8197024596057522,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.000000000000057,0.0,0.0,90.00000000000009,0.0,11.755462399999999,0.0,0.0,0.0
70,10,1,0.7613708572368214,19.837176380611425,90.0,10.584418710046677,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
71,11,1,0.7363675417000044,0.0,90.0,0.0,17.876431561473737,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
72,12,1,0.8207133122976857,0.0,90.56676964385576,0.0,0.0,0.0,0.0,0.0,0.0,23.999999999999943,16.876530895588118,0.0,90.0,0.0,11.75546239999997,0.0,9.856448778981196,0.0
73,1,1,0.9377842065641803,0.0,460.5900324870221,0.0,13.817697469410916,0.0,201.20311072441757,0.0,0.0,32.0,90.86103858782636,20.634411640143394,203.07906578414202,0.0,11.76546239999999,0.4375688000000011,47.85046363967823,0.0
74,2,1,0.9907271923492237,0.0,578.760792094435,0.0,20.591455124666126,0.0,326.29583671423086,0.0,55.74942525917584,39.0,48.868816753777935,24.687711603065107,376.3614259591759,3.0,11.76546239999999,7.437568800000001,24.848110100648945,0.0
75,3,1,0.9999999999999998,0.0,102.86582549732384,0.0,0.0,0.0,0.0,0.0,0.0,24.999999999999943,7.885836635123923,1.2535872673835087,130.4412315954138,0.0,11.76546239999999,0.0,7.846411627238609,0.0
76,4,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.8994325481481411,129.77968700578344,0.0,11.755462399999999,0.0,0.0,0.0
77,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.628748557706093,136.21752933537323,0.0,11.75546239999997,0.0,0.0,0.0
78,6,1,0.9727925916521779,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000000000057,0.0,0.0,90.00000000000006,0.0,11.755462399999999,0.0,0.0,0.0
79,7,1,0.9080629048142004,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.00000000000006,0.0,11.75546239999997,0.0,0.0,0.0
80,8,1,0.8257813433173087,4.1260165803280415,90.0,27.742939233180763,0.0,0.0,0.0,0.0,0.0,19.999999999999943,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
81,9,1,0.7367105636089648,20.55383390180161,90.0,8.992162641808164,0.0,0.0,0.0,0.0,0.0,19.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
82,10,1,0.7419338040049894,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
83,11,1,0.7779504858639454,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.999999999999915,2.8791567029645506,0.0,90.0,0.0,11.755462399999999,0.0,4.849472958520103,0.0
84,12,1,0.9062733007717053,0.0,674.789832789931,0.0,0.0,0.0,386.49187160080317,0.0,0.0,33.0,104.8765308955881,19.466400887455197,209.22306314607533,0.0,11.75546239999997,1.437568800000001,54.856448778981196,0.0
85,1,1,0.9729192293937119,0.0,550.921048807185,0.0,3.8795240134574698,0.0,286.5341270445806,0.0,0.0,31.0,73.86103858782639,11.634411640143338,297.410082104305,0.0,11.76546239999999,0.0,42.850463639678246,0.0
86,2,1,1.0,5.260162258769753,469.0847757305486,0.0,0.0,0.0,196.6198203503443,0.0,0.0,43.00000000000006,87.86881675377793,24.687711603065143,255.6854095952893,5.0,11.76546239999999,11.437568800000065,53.848110100648945,0.0
87,3,1,0.9999999999999998,0.0,397.2330814398737,0.0,0.0,0.0,119.83629109901347,0.0,15.196486837963505,31.0,39.88583663512391,12.253587267383491,288.80848753796363,0.0,11.76546239999999,0.0,26.846411627238616,0.0
88,4,1,1.0,0.0,161.29401522132434,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.811680068627197,5.899432548148155,144.77968700578367,0.0,11.755462399999999,0.0,11.793396787145724,0.0
89,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.999999999999943,0.7816192979449426,0.0,92.21752933537314,0.0,11.75546239999997,0.0,4.784329893404916,0.0
90,6,1,0.9763743512099857,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
91,7,1,0.9208898564313239,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999999999999943,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
92,8,1,0.8792837264433642,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.999999999999915,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
93,9,1,0.8361219249107509,8.173715387092969,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
94,10,1,0.8518107159557878,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999999999999915,0.0,2.243587267383507,90.0,0.0,11.75546239999997,0.0,0.0,0.0
95,11,1,0.9297967710749122,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,26.999999999999943,0.0,5.428691807407432,90.0,0.0,11.755462399999999,0.0,0.0,0.0
96,12,1,1.0,0.0,303.81430849926005,0.0,0.0,0.0,0.0,0.0,0.0,31.0,27.876530895588147,15.46640088745518,176.2475388554043,0.0,11.75546239999997,0.0,21.856448778981203,0.0
97,1,1,1.0,0.0,501.9948498444471,0.0,0.0,0.0,183.60792808184272,0.0,59.871882441566925,32.0,64.86103858782636,14.634411640143377,330.48388314156693,0.0,11.76546239999999,0.4375688000000011,44.85046363967822,0.0
98,2,1,0.9999999999999998,0.0,409.5625193382285,0.0,0.0,0.0,130.09756395802435,0.0,84.55115250296905,30.0,26.86881675377792,10.687711603065104,349.16315320296917,0.0,11.76546239999999,0.0,21.848110100648945,0.0
99,3,1,1.0,0.0,113.2330814398735,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.2535872673835193,148.80848753796352,0.0,11.76546239999999,0.0,3.8464116272386093,0.0
100,4,1,1.0,0.0,172.29401522132423,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.899432548148159,198.77968700578356,0.0,11.755462399999999,0.0,5.793396787145724,0.0
101,5,1,0.9914981645720551,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.999999999999943,0.0,0.6287485577060927,90.0,0.0,11.75546239999997,0.0,0.0,0.0
102,6,1,0.9475916215073094,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.999999999999915,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
103,7,1,0.8835343383995976,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
104,8,1,0.8050215920597562,39.78000402070053,90.0,32.7912547783813,0.0,0.0,0.0,0.0,0.0,20.9999999999998,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
105,9,1,0.7267183929479631,0.0,90.0,0.0,8.528454309697459,0.0,0.0,0.0,0.0,20.999999999999943,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
106,10,2,0.6838304636341808,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
107,11,1,0.6962676045942253,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
108,12,1,0.73850231301814,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.876530895588147,14.466400887455197,90.00000000000003,0.0,11.75546239999997,0.0,5.856448778981203,0.0
109,1,2,0.8784776963881267,0.0,196.51096670288013,0.0,0.0,0.0,4.124044940275667,0.0,0.0,45.0,32.86103858782634,23.634411640143394,90.00000000000006,6.0,11.76546239999999,13.437568800000001,16.850463639678246,0.0
110,2,1,0.9887396782185287,0.0,543.6553691653454,0.0,0.0,0.0,350.190413785141,6.0,43.644002330086096,46.0,42.86881675377792,26.687711603065107,342.2560030300861,11.0,11.76546239999999,14.437568800000001,22.84811010064893,0.0
111,3,1,1.0,0.0,482.78654323538046,0.0,0.0,0.0,262.38975289452014,0.0,63.74994863347058,37.0,49.885836635123894,18.253587267383534,335.36194933347065,2.0,11.76546239999999,5.437568800000001,25.846411627238616,0.0
112,4,1,0.9861384036662807,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.8994325481481376,90.0,0.0,11.755462399999999,0.0,0.0,0.0
113,5,1,0.9616215110889942,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.6287485577060714,90.0,0.0,11.75546239999997,0.0,0.0,0.0
