step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272185578049948,10.0,285.2737131,30.0,4.0,5.5,673.2367399999999,176.0,308.898618392551,144.0,83.342781,5.5,160.0,24.0,132.2345376,31.5624312,41.0820828,176.01601702508958
2,2,1,0.9982897091091663,117.8952303,285.2737131,114.00982041261152,4.0,5.5,673.2367399999999,190.0,353.6120007,144.0,83.342781,5.5,160.0,25.0,132.2345376,31.5624312,41.0820828,190.0127314814815
3,3,1,0.9999999999999998,117.8952303,285.2737131,134.0564688,36.86789046705713,13.39881123058543,673.2367399999999,182.99999999999997,353.6120007,144.0,83.342781,13.39881123058543,160.0,25.0,132.2345376,31.5624312,41.0820828,190.90291816009554
4,4,1,1.0,80.13196857610497,285.2737131,92.5505628809859,17.687441236735832,39.68064814814818,673.2367399999999,185.00000000000003,350.7796870057836,144.0,83.342781,15.7812156,160.0,25.0,132.2345376,31.5624312,41.0820828,219.159614197531
5,5,1,1.0,59.37935631077348,274.3971387133659,67.61803090328218,17.131851481025983,25.40996415770609,450.9433752725057,173.0,212.21752933537323,144.0,63.1244002979449,15.7812156,160.0,18.0,132.2345376,29.0,30.866412693404875,192.87367980884113
6,6,1,1.0,48.591227572927984,154.2193405797832,55.703637083938446,17.0334055161631,16.2639814814815,311.8415010736103,168.0,157.42339234327073,144.0,55.12712107601873,15.7812156,160.0,12.0,132.2345376,24.0,26.85992200194466,178.7230015432099
7,7,1,0.963587076779948,40.907509442634975,146.53065559041855,47.07508802796711,12.018933388966955,10.365161290322558,292.06734615194785,166.0,196.0,144.0,43.104203977515304,10.365161290322558,160.0,8.0,132.2345376,22.0,20.856914550992002,170.81819892473115
8,8,1,0.903983748811247,38.20740006273384,121.44441179950621,43.4873533302819,9.988933388966966,9.500770609318998,257.05558264777386,166.0,204.0,144.0,42.08251215792918,9.500770609318998,160.0,7.0,132.2345376,22.0,20.85444241479896,169.94586170848265
9,9,1,0.8572014211730378,85.93706673290328,120.10840719159123,128.12850799705606,14.473236165583321,10.669074074074068,257.66211089529486,166.00000000000003,201.0,144.0,43.14507385825787,10.669074074074066,160.0,8.0,132.2345376,22.000000000000057,19.876516759492432,171.13488425925934
10,10,1,0.8389596198380047,89.7324066806114,185.48773653858302,98.64088751004667,15.291975246837652,17.02480286738352,341.0163745314146,167.99999999999997,204.0,144.0,55.19256330082915,15.7812156,160.0,12.0,132.2345376,23.999999999999947,23.90297399378018,179.50782108721617
