step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9466731612690504,2515.8623183913696,2.2737367544323206e-13,220.19999999999993,698.5182731446957,294.76081600000003,2.2737367544323206e-13,0.0,375.404,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,1.0000000000000142,5.684341886080802e-14
2,2,1,0.9982621493089269,2636.0,0.0,242.15000000000003,785.8983026943915,387.39016000000004,0.0,0.0,415.3330000000001,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,1,1.0,2636.0,0.0,264.0999999999999,793.0,445.34000000000003,4.547473508864641e-13,0.0,505.17499999999995,2.2737367544323206e-13,1.1368683772161603e-13,0.0,2.2737367544323206e-13,0.0,0.0,0.0,0.9999999999999716,0.0
4,4,1,1.0,2636.0,4.547473508864641e-13,308.0,793.0,445.34,9.094947017729282e-13,0.0,605.0000000000001,1.7053025658242404e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,0.0
5,5,1,1.0,2636.0,5.684341886080801e-13,308.0,793.0,445.34000000000003,6.821210263296962e-13,0.0,605.0000000000001,1.7053025658242404e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,0.0
6,6,1,1.0,2636.0,6.821210263296962e-13,308.0,793.0,445.34,6.821210263296962e-13,0.0,605.0,1.7053025658242404e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,0.0
7,7,1,0.9684830238952175,2636.0,6.821210263296962e-13,286.04999999999995,793.0,445.34000000000003,7.958078640513122e-13,0.0,468.84508737853446,1.7053025658242404e-13,1.5631940186722204e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,0.0
8,8,1,0.9132171689653088,2636.0,6.821210263296962e-13,264.09999999999997,793.0,445.34000000000003,7.958078640513122e-13,0.0,231.99871392979412,1.7053025658242404e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
9,9,1,0.8748871766049926,2593.30502671296,5.684341886080801e-13,154.14,793.0,445.3400000000001,9.094947017729282e-13,0.0,181.5,1.1368683772161603e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,0.0
10,10,1,0.8562657539399952,2514.085770411528,4.547473508864641e-13,154.14,793.0,445.34000000000003,9.094947017729282e-13,0.0,181.5,1.7053025658242404e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
11,11,1,0.8926528222793023,2577.5999824649025,4.547473508864641e-13,123.41,793.0,445.34,9.094947017729282e-13,0.0,139.57349999999997,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
12,12,1,1.0,2636.0,6.821210263296962e-13,176.3,793.0,445.34,1.1368683772161603e-12,0.0,335.47299999999996,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.999999999999929,0.0
13,1,1,0.9999999999999998,2636.0,9.094947017729282e-13,220.19999999999993,793.0,445.34,1.8189894035458565e-12,0.0,375.40399999999977,2.8421709430404007e-13,2.2737367544323206e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
14,2,1,1.0,2636.0,9.094947017729282e-13,242.14999999999998,793.0,445.34000000000003,2.2737367544323206e-12,0.0,415.3330000000001,2.8421709430404007e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
15,3,1,1.0,2636.0,1.3642420526593924e-12,264.09999999999997,793.0,445.34,2.7284841053187847e-12,0.0,505.17499999999995,2.8421709430404007e-13,2.8421709430404007e-13,5.684341886080802e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
16,4,1,1.0,2636.0,1.4779288903810084e-12,308.0,793.0,445.34000000000003,2.7284841053187847e-12,0.0,605.0,2.8421709430404007e-13,2.8421709430404007e-13,5.684341886080802e-14,1.1368683772161603e-13,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
17,5,1,1.0,2636.0,1.3642420526593924e-12,308.0,793.0,445.34000000000003,2.7284841053187847e-12,0.0,605.0,2.8421709430404007e-13,2.8421709430404007e-13,0.0,1.1368683772161603e-13,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
18,6,1,1.0,2636.0,1.3642420526593924e-12,308.0,793.0,445.34,2.6147972675971687e-12,0.0,605.0,2.8421709430404007e-13,2.8421709430404007e-13,0.0,1.1368683772161603e-13,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,0.0
19,7,1,0.9734429664884745,2636.0,1.4210854715202004e-12,286.04999999999995,793.0,445.34000000000003,2.6147972675971687e-12,0.0,490.27228737853454,2.8421709430404007e-13,2.984279490192421e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,0.0
20,8,1,0.9319003948021004,2636.0,1.4779288903810084e-12,264.09999999999997,793.0,445.34000000000003,2.6147972675971687e-12,0.0,312.3010868989079,2.8421709430404007e-13,2.7000623958883807e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
21,9,1,0.8821515524033521,2624.20913423434,1.4779288903810084e-12,154.14,793.0,445.34000000000003,2.8421709430404007e-12,0.0,181.5,3.410605131648481e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,0.0
22,10,1,0.8477892372275307,2478.024973013362,1.4779288903810084e-12,154.14,793.0,445.34000000000003,2.8421709430404007e-12,0.0,181.5,3.410605131648481e-13,2.8421709430404007e-13,0.0,1.1368683772161603e-13,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
23,11,1,0.8659588824387007,2468.9410991164405,1.5916157281026244e-12,123.40999999999997,793.0,445.34000000000003,2.7284841053187847e-12,0.0,139.57349999999997,2.8421709430404007e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,0.0
24,12,1,0.9900692048311996,2636.0,1.8189894035458565e-12,137.1649905302611,793.0,445.34000000000003,3.183231456205249e-12,0.0,335.47299999999996,3.410605131648481e-13,3.410605131648481e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
25,1,1,1.0,2636.0,1.8189894035458565e-12,220.19999999999993,793.0,445.34,3.183231456205249e-12,5.684341886080802e-14,375.4040000000001,4.547473508864641e-13,3.979039320256561e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
26,2,1,1.0,2636.0,1.8189894035458565e-12,242.14999999999998,793.0,445.34000000000003,3.410605131648481e-12,5.684341886080802e-14,415.33299999999997,4.547473508864641e-13,3.979039320256561e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
27,3,1,1.0,2636.0,1.7053025658242404e-12,264.1,793.0,445.34000000000003,3.865352482534945e-12,5.684341886080802e-14,505.17499999999995,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
28,4,1,0.9324686350621653,2636.0,1.8189894035458565e-12,308.0,793.0,445.3400000000001,3.865352482534945e-12,5.684341886080802e-14,311.77881343992124,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
29,5,1,0.8839869410381596,2636.0,1.8189894035458565e-12,227.77129798768914,793.0,445.34000000000003,3.751665644813329e-12,5.684341886080802e-14,181.5,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999858,0.0
30,6,1,0.8164456815410945,2354.907149251433,1.9326762412674725e-12,215.60000000000002,793.0,445.34000000000003,3.751665644813329e-12,5.684341886080802e-14,181.5,4.547473508864641e-13,4.689582056016661e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999787,0.0
31,7,1,0.7428788173109024,2108.8,1.9326762412674725e-12,200.235,718.738634723964,445.34000000000003,3.751665644813329e-12,5.684341886080802e-14,181.5,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999787,0.0
32,8,1,0.6987861884325866,2081.9129165021004,1.9326762412674725e-12,105.64000000000001,634.4000000000001,445.34000000000003,3.808509063674137e-12,5.684341886080802e-14,181.5,4.547473508864641e-13,4.405364961712621e-13,0.0,5.684341886080802e-14,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,0.0
33,9,2,0.6701118092137951,1946.8096587573268,2.0463630789890885e-12,88.07999999999998,634.4000000000001,445.34000000000003,3.751665644813329e-12,5.684341886080802e-14,181.49999999999994,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999787,0.0
34,10,2,0.6515281814089955,1848.1603912839623,2.0463630789890885e-12,88.07999999999996,653.9907980661858,445.34000000000003,3.751665644813329e-12,5.684341886080802e-14,181.5,4.547473508864641e-13,4.263256414560601e-13,0.0,5.684341886080802e-14,1.4210854715202004e-14,0.0,0.0,0.9999999999999858,0.0
35,11,1,0.6753421585008152,1920.5313709288257,2.0463630789890885e-12,54.505775645875474,634.4000000000001,445.34,3.751665644813329e-12,1.7053025658242404e-13,139.57349999999997,4.547473508864641e-13,4.263256414560601e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999929,0.0
36,12,1,0.797168106185948,2092.44684161408,2.2737367544323206e-12,25.150461903194838,688.3882458014427,445.34000000000003,3.637978807091713e-12,1.7053025658242404e-13,335.47299999999996,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.0,0.0
37,1,1,0.8881797675602079,2252.0278452418834,2.2737367544323206e-12,154.14,793.0,445.34,4.092726157978177e-12,2.8421709430404007e-13,375.4040000000001,4.547473508864641e-13,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0,0.0
38,2,1,0.9180329201512573,2373.6879216384705,2.3874235921539366e-12,169.505,793.0,445.34000000000003,4.092726157978177e-12,3.410605131648481e-13,415.33299999999997,3.979039320256561e-13,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,0.0
39,3,1,0.9509026800406805,2509.1059490477874,2.2737367544323206e-12,184.87,793.0,445.34000000000003,4.092726157978177e-12,3.410605131648481e-13,505.17499999999995,3.979039320256561e-13,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,0.0
40,4,1,0.9172994643636938,2568.3043845356824,2.2737367544323206e-12,215.60000000000002,793.0,445.34000000000003,3.979039320256561e-12,3.410605131648481e-13,406.0098897314758,3.979039320256561e-13,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,0.0
41,5,1,0.8694861554328632,2585.2088868894916,2.2737367544323206e-12,215.60000000000002,793.0,445.34000000000003,3.979039320256561e-12,3.410605131648481e-13,181.5,3.979039320256561e-13,4.973799150320701e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,0.0
42,6,1,0.8013813466623391,2289.4978072078757,2.1600499167107046e-12,215.60000000000002,793.0,445.34000000000003,3.979039320256561e-12,2.8421709430404007e-13,181.5,3.410605131648481e-13,4.973799150320701e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,0.0
43,7,1,0.7246660819710059,2108.8,2.2168933355715126e-12,200.235,640.0587074188443,445.34000000000003,3.979039320256561e-12,2.8421709430404007e-13,181.5,3.410605131648481e-13,4.973799150320701e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000213,0.0
44,8,1,0.6724236376670113,1973.7580000000003,2.1600499167107046e-12,105.64000000000001,634.4000000000001,445.34000000000003,3.979039320256561e-12,2.8421709430404007e-13,176.3460370565811,3.410605131648481e-13,4.973799150320701e-13,0.0,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,1.0000000000000284,0.0
