step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9466731612690504,0.0,285.2737131,1.1621816147212272,0.0,0.0,673.2367399999999,176.0,240.060426650044,144.0,83.342781,0.0,41.0,24.0,132.2345376,31.5624312,41.0820828,56.01601702508958
2,2,1,0.9982621493089269,107.8952303,285.2737131,104.0564688,0.0,0.0,673.2367399999999,190.0,283.6120007,144.0,83.342781,0.0,41.0,25.0,132.2345376,31.5624312,41.0820828,70.0127314814815
3,3,1,1.0,107.8952303,285.2737131,103.07560480176124,32.86789046705713,7.89881123058543,673.2367399999999,182.99999999999997,283.6120007,144.0,83.342781,2.39881123058543,41.0,25.0,132.2345376,31.5624312,41.0820828,70.90291816009554
4,4,1,1.0,70.13196857610497,285.2737131,45.64541809739433,13.687441236735832,34.18064814814818,673.2367399999999,185.00000000000003,263.8745422221922,144.0,83.342781,4.7812155999999995,41.0,25.0,132.2345376,31.5624312,41.0820828,99.159614197531
5,5,1,1.0,49.37935631077348,274.3971387133659,37.618030903282175,13.131851481025983,19.90996415770609,450.9433752725057,173.0,142.21752933537323,144.0,63.1244002979449,4.7812155999999995,41.0,18.0,132.2345376,29.0,30.866412693404875,72.87367980884113
6,6,1,1.0,38.591227572927984,154.2193405797832,25.703637083938446,13.0334055161631,10.763981481481501,311.8415010736103,168.0,87.42339234327073,144.0,55.12712107601873,4.7812155999999995,41.0,12.0,132.2345376,24.0,26.85992200194466,58.723001543209904
7,7,1,0.9684830238952175,30.907509442634975,146.53065559041858,25.270279186867953,8.018933388966955,4.865161290322558,292.06734615194785,166.0,126.00000000000003,144.0,43.104203977515304,0.0,41.0,8.0,132.2345376,22.0,20.856914550992002,50.81819892473115
8,8,1,0.9132171689653088,28.20740006273384,121.44441179950621,21.7021418183281,5.9889333889669665,4.000770609318998,257.05558264777386,166.0,134.0,144.0,42.08251215792918,0.0,41.0,7.0,132.2345376,22.0,20.85444241479896,49.94586170848265
9,9,1,0.8748871766049926,52.23473032100938,120.10840719159123,81.22551356677334,10.473236165583321,5.169074074074068,257.66211089529486,166.00000000000003,131.0,144.0,43.14507385825787,0.0,41.0,8.0,132.2345376,22.000000000000057,19.876516759492432,51.13488425925934
10,10,1,0.8562657539399952,79.73374229506149,185.48773653858302,68.64088751004667,11.291975246837652,11.52480286738352,341.0163745314146,167.99999999999997,134.0,144.0,55.19256330082915,4.7812155999999995,41.0,12.0,132.2345376,23.999999999999947,23.90297399378018,59.50782108721617
