NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
121,1931,1,1931,1,1,0,1,110.6,111.7,1.17,4732,1,2717.25,85.97,83.87,87.02,626.13,0,714.01,714.01,83.87,83.87,83.87,87.02,87.02,87.02,111.7,85.97,0,110.6,86.97,115.93,-2.309, 
121,1931,2,1931,1,1,0,1,168.6,111.7,58.03,4732,1,2717.25,85.97,83.87,87.02,626.13,0,714.01,714.01,83.87,83.87,83.87,87.02,87.02,87.02,111.7,85.97,0,168.6,87.01,116.64,-1.169, 
121,1931,3,1931,1,1,0,1,122.61,111.7,10.74,4732,1,2717.25,85.97,83.87,87.02,626.13,0,714.01,714.01,83.87,83.87,83.87,87.02,87.02,87.02,111.7,85.97,0,122.61,87.02,116.11,0.132, 
121,1931,4,1931,1,1,0,1,82.45,80.1,0,4732,1,2717.25,86.31,60.39,87.02,625.79,0,714.01,714.01,60.39,60.39,60.39,87.02,87.01,87.01,80.1,86.31,0,82.45,87.02,115.97,2.318, 
121,1931,5,1931,1,1,0,1,63.47,59.4,0,4732,1,2717.25,86.58,44.89,87.02,625.52,0,714.01,714.01,44.89,44.89,44.89,87.02,86.97,86.97,59.4,86.58,0,63.47,87.01,115.97,4.091, 
121,1931,6,1931,1,1,0,1,53.5,48.6,0,4732,1,2717.25,86.72,36.79,87.02,625.37,0,714.01,714.01,36.79,36.79,36.79,87.02,86.91,86.91,48.6,86.72,0,53.5,87.01,115.97,4.909, 
121,1931,7,1931,1,1,0,1,45.46,40.9,0,4732,1,2717.25,86.81,31.01,87.02,625.28,0,714.01,714.01,31.01,31.01,31.01,87.02,86.84,86.84,40.9,86.81,0,45.46,87.01,115.96,4.552, 
121,1931,8,1931,1,1,0,1,42.43,38.2,0,4732,1,2703.36,86.83,28.97,87.02,625.26,0,714.01,714.01,28.97,28.97,28.97,87.02,86.8,86.8,38.2,86.83,0,42.43,87.01,115.96,4.223, 
121,1931,9,1931,1,1,0,1,48.49,45.8,0,4732,1,2696.26,86.76,34.67,87.02,625.33,0,714.01,714.01,34.67,34.67,34.67,87.02,86.89,86.89,45.8,86.76,0,48.49,87.01,115.96,2.727, 
121,1931,10,1931,1,1,0,1,60.55,60.2,0,4732,1,2708.13,86.57,45.47,87.02,625.53,0,714.01,714.01,45.47,45.47,45.47,87.02,86.97,86.97,60.2,86.57,0,60.55,87.01,115.97,0.396, 
