NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
126,1931,1,1931,1,1,0,1,42.92,42.93,0,7,-1,0,128.8,47.2,49.08,526.43,0,659.22,659.22,47.2,47.2,47.2,49.08,47.2,47.2,42.93,128.8,0,42.92,49.07,44.65,-0.014, 
126,1931,2,1931,1,1,0,1,110.92,43.29,67.64,7,-1,0,127.66,47.17,48.43,527.57,0,659.22,659.22,47.17,47.17,47.17,48.43,48.43,48.43,43.29,127.66,0,110.92,48.42,44.45,-0.012, 
126,1931,3,1931,1,1,0,1,72.93,43.4,29.53,7,-1,0,128.28,47.51,48.78,526.95,0,659.22,659.22,47.51,47.51,47.51,48.78,48.78,48.78,43.4,128.28,0,72.93,48.78,44.56,0.002, 
126,1931,4,1931,1,1,0,1,47.89,43.47,4.4,7,-1,0,128.71,47.76,49.03,526.51,0,659.22,659.22,47.76,47.76,47.76,49.03,49.03,49.03,43.47,128.71,0,47.89,49.02,44.63,0.016, 
126,1931,5,1931,1,1,0,1,30.89,30.86,0,7,-1,0,129,33.98,49.21,526.22,0,659.22,659.22,33.98,33.98,33.98,49.21,33.98,33.98,30.86,129,0,30.89,49.11,44.69,0.026, 
126,1931,6,1931,1,1,0,1,26.89,26.86,0,7,-1,0,129.06,29.58,49.25,526.16,0,659.22,659.22,29.58,29.58,29.58,49.25,29.58,29.58,26.86,129.06,0,26.89,49.06,44.64,0.033, 
126,1931,7,1931,1,1,0,1,20.88,20.85,0,7,-1,0,129.14,22.99,49.31,526.09,0,659.22,659.22,22.99,22.99,22.99,49.31,22.99,22.99,20.85,129.14,0,20.88,49.06,44.64,0.025, 
126,1931,8,1931,1,1,0,1,20.87,20.85,0,7,-1,0,129.14,22.98,49.31,526.09,0,659.22,659.22,22.98,22.98,22.98,49.31,22.98,22.98,20.85,129.14,0,20.87,49.06,44.64,0.017, 
126,1931,9,1931,1,1,0,1,19.89,19.88,0,7,-1,0,129.15,21.91,49.32,526.08,0,659.22,659.22,21.91,21.91,21.91,49.32,21.91,21.91,19.88,129.15,0,19.89,49.06,44.64,0.015, 
126,1931,10,1931,1,1,0,1,23.91,23.9,0,7,-1,0,129.1,26.34,49.28,526.12,0,659.22,659.22,26.34,26.34,26.34,49.28,26.34,26.34,23.9,129.1,0,23.91,49.06,44.64,0.008, 
