NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
123,1931,1,1931,1,1,0,1,444.94,348.5,97.03,888,1,392.6,69.29,208.11,214.56,396.12,0,466.5,466.5,208.11,208.11,208.11,214.56,214.56,214.56,348.5,69.29,285.19,301.68,214.5,359.31,-0.59, 
123,1931,2,1931,1,1,0,1,767.73,347.3,421.03,888,1,392.6,68.79,205.88,212.26,396.61,0,466.5,466.5,205.88,205.88,205.88,212.26,212.26,212.26,347.3,68.79,359.97,532.97,212.2,358.02,-0.555, 
123,1931,3,1931,1,1,0,1,576.21,348.2,228.22,888,1,392.6,69.15,207.49,213.93,396.25,0,466.5,466.5,207.49,207.49,207.49,213.93,213.93,213.93,348.2,69.15,294.31,395.44,213.89,358.96,-0.162, 
123,1931,4,1931,1,1,0,1,389.63,348.9,40.38,888,1,392.6,69.44,208.79,215.27,395.96,0,466.5,466.5,208.79,208.79,208.79,215.27,215.27,215.27,348.9,69.44,283.59,279.39,215.15,359.7,0.366, 
123,1931,5,1931,1,1,0,1,212.97,212.2,0,888,1,392.6,70.53,129,216,394.87,0,466.5,466.5,129,129,129,216,215.81,215.81,212.2,70.53,275.53,128.22,215.86,360.07,0.753, 
123,1931,6,1931,1,1,0,1,158.28,157.4,0,888,1,392.6,70.87,96.15,216,394.54,0,466.5,466.5,96.15,96.15,96.15,216,215.31,215.31,157.4,70.87,277.58,85.54,215.87,360.1,0.854, 
123,1931,7,1931,1,1,0,1,137.94,137,0,888,1,392.6,70.94,83.74,216,394.47,0,466.5,466.5,83.74,83.74,83.74,216,214.95,214.95,137,70.94,272.78,78.85,215.88,360.11,0.974, 
123,1931,8,1931,1,1,0,1,108.29,144,0,789.57,0.84,326.05,69.52,86.29,216,394.48,0,465.09,463.71,86.29,86.29,86.29,216,215.09,215.09,144,69.52,271.74,54.81,209.36,356.36,1.005, 
123,1931,9,1931,1,1,0,1,123.09,141,0,741.43,0.76,293.84,67.48,82,207.6,394.46,0,463.03,462.35,82,82,82,207.6,206.67,206.67,141,67.48,276.84,56.31,200.04,350.98,0.658, 
123,1931,10,1931,1,1,0,1,174.5,144,0,822.83,0.89,348.44,67.94,84.31,209.62,394.47,0,463.5,464.64,84.31,84.31,84.31,209.62,208.75,208.75,144,67.94,276.15,90.14,202.14,352.2,0.108, 
123,1931,11,1931,1,1,0,1,163.38,138.6,0,888,1,392.6,70.01,83.59,216,394.46,0,465.56,466.5,83.59,83.59,83.59,216,214.98,214.98,138.6,70.01,278.15,72.07,211.54,357.63,-0.311, 
123,1931,12,1931,1,1,0,1,371.61,349.1,23.09,888,1,392.6,69.51,209.09,215.58,395.9,0,466.5,466.5,209.09,209.09,209.09,215.58,215.58,215.58,349.1,69.51,285.08,210.71,215.44,359.88,-0.531, 
123,1932,1,1931,1,1,0,1,448.94,348.5,101.04,888,1,392.6,69.28,208.07,214.53,396.12,0,466.5,466.5,208.07,208.07,208.07,214.53,214.53,214.53,348.5,69.28,301.75,250.68,214.47,359.29,-0.59, 
123,1932,2,1931,1,1,0,1,452.73,348.5,104.81,888,1,392.6,69.28,208.04,214.5,396.13,0,466.5,466.5,208.04,208.04,208.04,214.5,214.5,214.5,348.5,69.28,301.34,281.97,214.45,359.28,-0.555, 
123,1932,3,1931,1,1,0,1,463.21,348.4,114.95,888,1,392.6,69.26,207.97,214.42,396.15,0,466.5,466.5,207.97,207.97,207.97,214.42,214.42,214.42,348.4,69.26,297.27,269.44,214.38,359.23,-0.162, 
123,1932,4,1931,1,1,0,1,241.63,241.3,0,888,1,392.6,70.32,146.21,216,395.09,0,466.5,466.5,146.21,146.21,146.21,216,215.93,215.93,241.3,70.32,281.62,139.39,215.85,360.06,0.366, 
123,1932,5,1931,1,1,0,1,225.97,225.2,0,888,1,392.6,70.44,136.71,216,394.97,0,466.5,466.5,136.71,136.71,136.71,216,215.87,215.87,225.2,70.44,278.77,98.22,215.85,360.07,0.753, 
123,1932,6,1931,1,1,0,1,222.28,221.4,0,888,1,392.6,70.47,134.46,216,394.94,0,466.5,466.5,134.46,134.46,134.46,216,215.86,215.86,221.4,70.47,280,134.54,215.85,360.07,0.854, 
123,1932,7,1931,1,1,0,1,135.94,135,0,888,1,392.6,70.95,82.52,216,394.46,0,466.5,466.5,82.52,82.52,82.52,216,214.9,214.9,135,70.95,272.96,71.85,215.87,360.1,0.974, 
123,1932,8,1931,1,1,0,1,121.29,135,0,848.45,0.93,365.75,70.38,81.89,216,394.46,0,465.93,465.36,81.89,81.89,81.89,216,214.9,214.9,135,70.38,273.17,53.81,213.23,358.6,1.03, 
123,1932,9,1931,1,1,0,1,107.09,144,0,751.01,0.77,300.23,68.43,84.92,211.9,394.47,0,463.99,462.62,84.92,84.92,84.92,211.9,211.01,211.01,144,68.43,275.67,47.31,204.37,353.49,0.678, 
123,1932,10,1931,1,1,0,1,147.5,142,0,765.45,0.8,309.89,67.27,82.33,206.61,394.46,0,462.82,463.03,82.33,82.33,82.33,206.61,205.71,205.71,142,67.27,274,72.14,199.12,350.44,0.105, 
123,1932,11,1931,1,1,0,1,141.38,113,0,839.8,0.92,359.9,68.54,66.75,213.59,394.44,0,464.07,465.12,66.75,66.75,66.75,213.59,211.93,211.93,113,68.54,277.8,64.07,204.73,353.7,-0.298, 
123,1932,12,1931,1,1,0,1,316.61,299.1,0,888,1,392.6,69.21,178.42,214.19,395.5,0,465.8,466.5,178.42,178.42,178.42,214.19,214.19,214.19,299.1,69.21,277.07,172.71,212.63,358.22,-0.52, 
123,1933,1,1931,1,1,0,1,383.94,348.9,35.6,888,1,392.6,69.46,208.87,215.35,395.95,0,466.5,466.5,208.87,208.87,208.87,215.35,215.35,215.35,348.9,69.46,284.78,242.68,215.23,359.75,-0.59, 
123,1933,2,1931,1,1,0,1,237.73,238.3,0,888,1,392.6,70.34,144.44,216,395.07,0,466.5,466.5,144.44,144.44,144.44,216,215.92,215.92,238.3,70.34,288.95,135.97,215.85,360.06,-0.555, 
123,1933,3,1931,1,1,0,1,221.21,221.4,0,888,1,392.6,70.47,134.44,216,394.94,0,466.5,466.5,134.44,134.44,134.44,216,215.86,215.86,221.4,70.47,276.38,127.44,215.85,360.07,-0.162, 
123,1933,4,1931,1,1,0,1,135.63,135.3,0,888,1,392.6,70.95,82.7,216,394.46,0,466.5,466.5,82.7,82.7,82.7,216,214.91,214.91,135.3,70.95,275.79,68.39,215.87,360.1,0.366, 
123,1933,5,1931,1,1,0,1,125.97,144.1,0,837.59,0.92,358.41,70.2,87.15,216,394.48,0,465.77,465.06,87.15,87.15,87.15,216,215.09,215.09,144.1,70.2,273.04,62.22,212.51,358.18,0.737, 
123,1933,6,1931,1,1,0,1,93.28,146,0,698.86,0.69,265.53,67.54,85,207.74,394.47,0,463.11,461.12,85,85,85,207.74,206.9,206.9,146,67.54,274.92,43.54,200.39,351.18,0.769, 
123,1933,7,1931,1,1,0,1,87.94,153,0,522.56,0.4,150.22,62.85,82.89,186.3,394.48,0,458.42,455.37,82.89,82.89,82.89,186.3,185.68,185.68,153,62.85,271.49,38.85,179.78,338.7,0.745, 
123,1933,8,1931,1,1,0,1,127.01,148,0,464.5,0.3,113.04,58.74,74.93,168.39,394.43,0,454.27,453.1,74.93,74.93,74.93,168.39,167.79,167.79,148,58.74,271.3,28.81,162.16,327.25,0.68, 
123,1933,9,1931,1,1,0,1,151.44,151,0,464.5,0.3,113.04,57.57,74.91,163.29,394.44,0,453.1,453.1,74.91,74.91,74.91,163.29,162.75,162.75,151,57.57,242.16,35.31,157.32,323.95,0.452, 
123,1933,10,1931,1,1,0,1,135.05,135,0,464.5,0.3,113.04,57.63,67.04,163.92,394.37,0,453.1,453.1,67.04,67.04,67.04,163.92,163.15,163.15,135,57.63,241.71,43.14,157.31,323.95,0.073, 
123,1933,11,1931,1,1,0,1,135.77,136,0,464.5,0.3,113.04,57.63,67.53,163.88,394.38,0,453.1,453.1,67.53,67.53,67.53,163.88,163.12,163.12,136,57.63,244.26,61.07,157.31,323.95,-0.198, 
123,1933,12,1931,1,1,0,1,216.85,105,0,765.19,0.8,309.71,63.06,57.06,188.83,394.4,0,458.55,463.02,57.06,57.06,57.06,188.83,187.14,187.14,105,63.06,242.8,162.71,180.35,339.04,-0.409, 
123,1934,1,1931,1,1,0,1,396.74,344.9,6.59,888,1,392.6,67.85,201.65,207.91,395.81,0,464.75,466.5,201.65,201.65,201.65,207.91,207.91,207.91,344.9,67.85,258.95,299.68,207.75,355.56,-0.56, 
123,1934,2,1931,1,1,0,1,271.73,272.3,0,888,1,392.6,70.09,164.46,216,395.32,0,466.5,466.5,164.46,164.46,164.46,216,215.98,215.98,272.3,70.09,296.93,129.97,215.84,360.04,-0.555, 
123,1934,3,1931,1,1,0,1,310.21,310.4,0,888,1,392.6,69.83,186.79,216,395.58,0,466.5,466.5,186.79,186.79,186.79,216,216,216,310.4,69.83,279.8,195.44,215.83,360.03,-0.162, 
123,1934,4,1931,1,1,0,1,191.63,191.3,0,888,1,392.6,70.68,116.5,216,394.73,0,466.5,466.5,116.5,116.5,116.5,216,215.68,215.68,191.3,70.68,278.5,99.39,215.86,360.08,0.366, 
123,1934,5,1931,1,1,0,1,126.97,144.1,0,840.26,0.92,360.21,70.24,87.2,216,394.48,0,465.81,465.13,87.2,87.2,87.2,216,215.09,215.09,144.1,70.24,274.06,61.22,212.69,358.29,0.738, 
123,1934,6,1931,1,1,0,1,98.28,152,0,698.93,0.69,265.57,67.56,88.51,207.66,394.5,0,463.14,461.12,88.51,88.51,88.51,207.66,206.92,206.92,152,67.56,275.19,40.54,200.56,351.28,0.77, 
123,1934,7,1931,1,1,0,1,79.94,150,0,509.27,0.37,141.67,62.65,81,185.48,394.46,0,458.21,454.87,81,81,81,185.48,184.81,184.81,150,62.65,270.56,29.85,178.85,338.12,0.739, 
123,1934,8,1931,1,1,0,1,133.96,150,0,464.5,0.3,113.04,58.47,75.59,167.19,394.44,0,454,453.1,75.59,75.59,75.59,167.19,166.62,166.62,150,58.47,272.97,13.81,161.07,326.51,0.672, 
123,1934,9,1931,1,1,0,1,144.39,143.9,0,464.5,0.3,113.04,57.6,71.45,163.57,394.41,0,453.1,453.1,71.45,71.45,71.45,163.57,162.93,162.93,143.9,57.6,241.77,21.31,157.31,323.95,0.452, 
123,1934,10,1931,1,1,0,1,151.04,151,0,464.5,0.3,113.04,57.57,74.89,163.29,394.44,0,453.1,453.1,74.89,74.89,74.89,163.29,162.75,162.75,151,57.57,242.8,39.14,157.32,323.95,0.073, 
123,1934,11,1931,1,1,0,1,152.77,153,0,464.5,0.3,113.04,57.56,75.88,163.21,394.45,0,453.1,453.1,75.88,75.88,75.88,163.21,162.69,162.69,153,57.56,246.57,21.07,157.32,323.95,-0.198, 
123,1934,12,1931,1,1,0,1,271.71,156,0,775.54,0.81,316.64,63.14,84.88,187.5,394.49,0,458.72,463.31,84.88,84.88,84.88,187.5,186.91,186.91,156,63.14,248.89,206.71,181.07,339.51,-0.411, 
123,1935,1,1931,1,1,0,1,241.89,200.5,0,888,1,392.6,69.01,119.23,213.65,394.79,0,464.89,466.5,119.23,119.23,119.23,213.65,213.4,213.4,200.5,69.01,257.02,149.68,208.46,355.85,-0.563, 
123,1935,2,1931,1,1,0,1,506.18,348.3,158.43,888,1,392.6,69.21,207.76,214.2,396.19,0,466.5,466.5,207.76,207.76,207.76,214.2,214.2,214.2,348.3,69.21,281.78,354.97,214.17,359.11,-0.555, 
123,1935,3,1931,1,1,0,1,443.21,348.5,94.87,888,1,392.6,69.3,208.13,214.58,396.11,0,466.5,466.5,208.13,208.13,208.13,214.58,214.58,214.58,348.5,69.3,284.51,292.44,214.52,359.32,-0.162, 
123,1935,4,1931,1,1,0,1,252.63,252.3,0,888,1,392.6,70.24,152.69,216,395.17,0,466.5,466.5,152.69,152.69,152.69,216,215.95,215.95,252.3,70.24,280.93,141.39,215.84,360.05,0.366, 
123,1935,5,1931,1,1,0,1,161.97,161.2,0,888,1,392.6,70.85,98.44,216,394.55,0,466.5,466.5,98.44,98.44,98.44,216,215.36,215.36,161.2,70.85,275.33,86.22,215.87,360.1,0.753, 
123,1935,6,1931,1,1,0,1,131.28,136,0,873.46,0.98,382.71,70.73,82.93,216,394.46,0,466.29,466.08,82.93,82.93,82.93,216,214.92,214.92,136,70.73,276.43,65.54,214.9,359.56,0.849, 
123,1935,7,1931,1,1,0,1,97.94,148,0,736.92,0.75,290.82,68.57,87.46,212.44,394.49,0,464.14,462.22,87.46,87.46,87.46,212.44,211.62,211.62,148,68.57,270.77,41.85,205.06,353.89,0.907, 
123,1935,8,1931,1,1,0,1,90.29,153,0,566.65,0.47,178.74,64.14,84.58,192.05,394.48,0,459.71,456.95,84.58,84.58,84.58,192.05,191.4,191.4,153,64.14,271.69,38.81,185.38,342.18,0.841, 
123,1935,9,1931,1,1,0,1,114.1,153,0,464.5,0.3,113.04,59.56,78.54,171.83,394.46,0,455.11,453.1,78.54,78.54,78.54,171.83,171.27,171.27,153,59.56,276.11,38.31,165.7,329.61,0.492, 
123,1935,10,1931,1,1,0,1,204.59,139,0,640,0.59,226.67,60.95,73,178.2,394.41,0,456.45,459.35,73,73,73,178.2,177.41,177.41,139,60.95,271.77,110.14,171.34,333.31,0.084, 
123,1935,11,1931,1,1,0,1,144.38,151,0,623.55,0.56,215.87,63.53,82.66,189.36,394.47,0,459.09,458.83,82.66,82.66,82.66,189.36,188.7,188.7,151,63.53,278.54,74.07,182.68,340.51,-0.251, 
123,1935,12,1931,1,1,0,1,129.61,138,0,602.18,0.53,201.88,62.98,74.9,187.23,394.42,0,458.49,458.14,74.9,74.9,74.9,187.23,186.37,186.37,138,62.98,271.55,50.71,180.08,338.88,-0.408, 
123,1936,1,1931,1,1,0,1,175.94,152,0,667.6,0.64,244.85,63.62,83.33,189.76,394.48,0,459.19,460.19,83.33,83.33,83.33,189.76,189.1,189.1,152,63.62,276.43,94.68,183.1,340.78,-0.465, 
123,1936,2,1931,1,1,0,1,233.73,143.1,0,888,1,392.6,67.82,83.65,209.1,394.47,0,463.37,466.5,83.65,83.65,83.65,209.1,208.21,208.21,143.1,67.82,285.12,129.97,201.59,351.89,-0.505, 
123,1936,3,1931,1,1,0,1,649.21,347.8,301.56,888,1,392.6,69.02,206.89,213.31,396.39,0,466.5,466.5,206.89,206.89,206.89,213.31,213.31,213.31,347.8,69.02,363.27,389.44,213.24,358.61,-0.162, 
123,1936,4,1931,1,1,0,1,365.63,349.1,16.14,888,1,392.6,69.54,209.22,215.71,395.87,0,466.5,466.5,209.22,209.22,209.22,215.71,215.71,215.71,349.1,69.54,295.58,201.39,215.57,359.95,0.366, 
123,1936,5,1931,1,1,0,1,168.97,168.2,0,888,1,392.6,70.82,102.66,216,394.59,0,466.5,466.5,102.66,102.66,102.66,216,215.45,215.45,168.2,70.82,276.64,80.22,215.87,360.1,0.753, 
123,1936,6,1931,1,1,0,1,115.28,114.4,0,888,1,392.6,70.95,69.96,216,394.46,0,466.5,466.5,69.96,69.96,69.96,216,214.36,214.36,114.4,70.95,276.39,49.54,215.86,360.08,0.854, 
123,1936,7,1931,1,1,0,1,98.94,117,0,837.01,0.92,358.01,70.23,70.83,216,394.45,0,465.76,465.04,70.83,70.83,70.83,216,214.44,214.44,117,70.23,272.69,42.85,212.48,358.18,0.953, 
123,1936,8,1931,1,1,0,1,96.29,131,0,741.43,0.76,293.83,68.17,76.97,211.09,394.44,0,463.7,462.35,76.97,76.97,76.97,211.09,209.94,209.94,131,68.17,270.98,36.81,203.04,352.72,0.962, 
123,1936,9,1931,1,1,0,1,133.09,133,0,739.97,0.76,292.86,66.8,76.58,204.71,394.43,0,462.33,462.31,76.58,76.58,76.58,204.71,203.65,203.65,133,66.8,278.96,60.31,196.9,349.13,0.643, 
123,1936,10,1931,1,1,0,1,111.5,146,0,647.35,0.6,231.5,65.42,82.29,197.99,394.46,0,460.97,459.58,82.29,82.29,82.29,197.99,197.21,197.21,146,65.42,273.68,47.14,190.88,345.54,0.099, 
123,1936,11,1931,1,1,0,1,122.38,144,0,592,0.51,195.24,63.18,78.39,187.95,394.44,0,458.71,457.81,78.39,78.39,78.39,187.95,187.19,187.19,144,63.18,276.56,53.07,181.02,339.48,-0.248, 
123,1936,12,1931,1,1,0,1,290.61,180.6,0,888,1,392.6,66.57,103.59,202.6,394.65,0,462.31,466.5,103.59,103.59,103.59,202.6,202.23,202.23,180.6,66.57,287.18,151.71,196.82,349.09,-0.466, 
123,1937,1,1931,1,1,0,1,479.94,348.4,132.16,888,1,392.6,69.24,207.87,214.32,396.17,0,466.5,466.5,207.87,207.87,207.87,214.32,214.32,214.32,348.4,69.24,309.68,284.68,214.28,359.18,-0.59, 
123,1937,2,1931,1,1,0,1,511.73,348.3,163.99,888,1,392.6,69.21,207.74,214.18,396.2,0,466.5,466.5,207.74,207.74,207.74,214.18,214.18,214.18,348.3,69.21,326.35,314.97,214.15,359.1,-0.555, 
123,1937,3,1931,1,1,0,1,277.21,277.4,0,888,1,392.6,70.05,167.46,216,395.35,0,466.5,466.5,167.46,167.46,167.46,216,215.98,215.98,277.4,70.05,280.03,147.44,215.84,360.04,-0.162, 
123,1937,4,1931,1,1,0,1,258.63,258.3,0,888,1,392.6,70.19,156.23,216,395.22,0,466.5,466.5,156.23,156.23,156.23,216,215.96,215.96,258.3,70.19,280.45,133.39,215.84,360.05,0.366, 
123,1937,5,1931,1,1,0,1,225.97,225.2,0,888,1,392.6,70.44,136.71,216,394.97,0,466.5,466.5,136.71,136.71,136.71,216,215.87,215.87,225.2,70.44,278.24,118.22,215.85,360.07,0.753, 
123,1937,6,1931,1,1,0,1,156.28,155.4,0,888,1,392.6,70.88,94.94,216,394.53,0,466.5,466.5,94.94,94.94,94.94,216,215.28,215.28,155.4,70.88,276.92,75.54,215.88,360.11,0.854, 
123,1937,7,1931,1,1,0,1,106.94,151,0,767.45,0.8,311.22,69.19,90.05,215.25,394.5,0,464.78,463.08,90.05,90.05,90.05,215.25,214.47,214.47,151,69.19,272.96,43.85,207.93,355.54,0.925, 
123,1937,8,1931,1,1,0,1,86.29,159,0,570.36,0.47,181.16,64.63,88.56,194.13,394.52,0,460.23,457.08,88.56,88.56,88.56,194.13,193.55,193.55,159,64.63,271.77,32.81,187.65,343.58,0.856, 
123,1937,9,1931,1,1,0,1,119.65,160,0,464.5,0.3,113.04,59.59,82.17,171.85,394.5,0,455.18,453.1,82.17,82.17,82.17,171.85,171.37,171.37,160,59.59,274.81,25.31,165.99,329.81,0.493, 
123,1937,10,1931,1,1,0,1,149.05,149,0,464.5,0.3,113.04,57.58,73.92,163.37,394.43,0,453.1,453.1,73.92,73.92,73.92,163.37,162.8,162.8,149,57.58,239.71,75.14,157.31,323.95,0.073, 
123,1937,11,1931,1,1,0,1,175.63,137,0,565.22,0.47,177.82,59.6,70.36,172.36,394.39,0,455.09,456.9,70.36,70.36,70.36,172.36,171.57,171.57,137,59.6,243.89,109.07,165.58,329.53,-0.215, 
123,1937,12,1931,1,1,0,1,404.55,284.5,0,888,1,392.6,65.43,160.42,196.89,395.4,0,461.92,466.5,160.42,160.42,160.42,196.89,196.88,196.88,284.5,65.43,286.64,234.71,195.14,348.11,-0.46, 
123,1938,1,1931,1,1,0,1,460.87,348.4,113.03,888,1,392.6,69.26,207.99,214.44,396.14,0,466.5,466.5,207.99,207.99,207.99,214.44,214.44,214.44,348.4,69.26,301.71,266.68,214.39,359.24,-0.59, 
123,1938,2,1931,1,1,0,1,367.66,349.1,19.12,888,1,392.6,69.53,209.16,215.65,395.88,0,466.5,466.5,209.16,209.16,209.16,215.65,215.65,215.65,349.1,69.53,313.27,168.97,215.51,359.92,-0.555, 
123,1938,3,1931,1,1,0,1,402.15,348.8,53.54,888,1,392.6,69.4,208.59,215.06,396.01,0,466.5,466.5,208.59,208.59,208.59,215.06,215.06,215.06,348.8,69.4,287.52,232.44,214.96,359.59,-0.162, 
