NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
120,1931,1,1931,1,1,0,1,12.54,13.2,0,1236,1,660.66,65.91,7.41,27.6,556.61,0,623.02,623.02,7.41,7.41,7.41,27.6,27.34,27.34,13.2,65.91,0,12.54,27.58,49.87,-0.643, 
120,1931,2,1931,1,1,0,1,38.54,38.9,0,1236,1,660.66,65.28,21.67,27.6,557.25,0,623.02,623.02,21.67,21.67,21.67,27.6,27.59,27.59,38.9,65.28,0,38.54,27.59,49.9,-0.367, 
120,1931,3,1931,1,1,0,1,39.54,39.5,0,1236,1,660.66,65.25,22.01,27.6,557.27,0,623.02,623.02,22.01,22.01,22.01,27.6,27.59,27.59,39.5,65.25,0,39.54,27.59,49.9,0.021, 
120,1931,4,1931,1,1,0,1,18.48,17.7,0,1236,1,660.66,65.96,9.96,27.6,556.56,0,623.02,623.02,9.96,9.96,9.96,27.6,27.45,27.45,17.7,65.96,0,18.48,27.58,49.88,0.792, 
120,1931,5,1931,1,1,0,1,18.5,17.1,0,1236,1,660.66,65.97,9.65,27.6,556.56,0,623.02,623.02,9.65,9.65,9.65,27.6,27.44,27.44,17.1,65.97,0,18.5,27.58,49.88,1.368, 
120,1931,6,1931,1,1,0,1,18.49,17,0,1236,1,660.66,65.97,9.59,27.6,556.55,0,623.02,623.02,9.59,9.59,9.59,27.6,27.44,27.44,17,65.97,0,18.49,27.58,49.88,1.456, 
120,1931,7,1931,1,1,0,1,13.47,12,0,1236,1,660.66,65.86,6.76,27.6,556.66,0,623.02,623.02,6.76,6.76,6.76,27.6,27.29,27.29,12,65.86,0,13.47,27.58,49.87,1.451, 
120,1931,8,1931,1,1,0,1,11.44,10,0,1236,1,656.48,65.7,5.6,27.6,556.82,0,623.02,623.02,5.6,5.6,5.6,27.6,27.18,27.18,10,65.7,0,11.44,27.57,49.87,1.451, 
120,1931,9,1931,1,1,0,1,15.48,14.5,0,1236,1,654.35,65.95,8.15,27.6,556.57,0,623.02,623.02,8.15,8.15,8.15,27.6,27.38,27.38,14.5,65.95,0,15.48,27.58,49.87,1.007, 
120,1931,10,1931,1,1,0,1,15.52,15.3,0,1236,1,657.92,65.96,8.61,27.6,556.56,0,623.02,623.02,8.61,8.61,8.61,27.6,27.4,27.4,15.3,65.96,0,15.52,27.58,49.87,0.228, 
120,1931,11,1931,1,1,0,1,21.52,22,0,1236,1,660.66,65.89,12.37,27.6,556.63,0,623.02,623.02,12.37,12.37,12.37,27.6,27.51,27.51,22,65.89,0,21.52,27.58,49.88,-0.471, 
120,1931,12,1931,1,1,0,1,39.54,40.2,0,1236,1,660.66,65.22,22.39,27.6,557.3,0,623.02,623.02,22.39,22.39,22.39,27.6,27.6,27.6,40.2,65.22,0,39.54,27.59,49.9,-0.684, 
120,1932,1,1931,1,1,0,1,57.54,48.5,9.72,1236,1,660.66,64.86,26.82,27.6,557.66,0,623.02,623.02,26.82,26.82,26.82,27.6,27.6,27.6,48.5,64.86,0,57.54,27.59,50.24,-0.643, 
120,1932,2,1931,1,1,0,1,57.54,48.5,9.45,1236,1,660.66,64.86,26.82,27.6,557.66,0,623.02,623.02,26.82,26.82,26.82,27.6,27.6,27.6,48.5,64.86,0,57.54,27.59,50.23,-0.367, 
120,1932,3,1931,1,1,0,1,55.54,48.5,7.06,1236,1,660.66,64.86,26.82,27.6,557.66,0,623.02,623.02,26.82,26.82,26.82,27.6,27.6,27.6,48.5,64.86,0,55.54,27.59,50.15,0.021, 
120,1932,4,1931,1,1,0,1,26.48,25.7,0,1236,1,660.66,65.79,14.42,27.6,556.73,0,623.02,623.02,14.42,14.42,14.42,27.6,27.55,27.55,25.7,65.79,0,26.48,27.58,49.89,0.792, 
120,1932,5,1931,1,1,0,1,44.5,43.1,0,1236,1,660.66,65.09,23.96,27.6,557.43,0,623.02,623.02,23.96,23.96,23.96,27.6,27.6,27.6,43.1,65.09,0,44.5,27.6,49.91,1.368, 
120,1932,6,1931,1,1,0,1,25.49,24,0,1236,1,660.66,65.84,13.5,27.6,556.68,0,623.02,623.02,13.5,13.5,13.5,27.6,27.53,27.53,24,65.84,0,25.49,27.58,49.88,1.456, 
120,1932,7,1931,1,1,0,1,17.47,16,0,1236,1,660.66,65.97,9.02,27.6,556.56,0,623.02,623.02,9.02,9.02,9.02,27.6,27.42,27.42,16,65.97,0,17.47,27.58,49.87,1.451, 
120,1932,8,1931,1,1,0,1,17.44,16,0,1236,1,659.01,65.96,9,27.6,556.56,0,623.02,623.02,9,9,9,27.6,27.42,27.42,16,65.96,0,17.44,27.58,49.87,1.451, 
120,1932,9,1931,1,1,0,1,15.48,14.5,0,1236,1,654.78,65.95,8.15,27.6,556.57,0,623.02,623.02,8.15,8.15,8.15,27.6,27.38,27.38,14.5,65.95,0,15.48,27.58,49.87,1.007, 
120,1932,10,1931,1,1,0,1,16.52,16.3,0,1236,1,655.42,65.97,9.17,27.6,556.55,0,623.02,623.02,9.17,9.17,9.17,27.6,27.43,27.43,16.3,65.97,0,16.52,27.58,49.87,0.228, 
120,1932,11,1931,1,1,0,1,20.52,21,0,1236,1,658.64,65.92,11.81,27.6,556.6,0,623.02,623.02,11.81,11.81,11.81,27.6,27.5,27.5,21,65.92,0,20.52,27.58,49.88,-0.471, 
120,1932,12,1931,1,1,0,1,45.54,46.2,0,1236,1,660.66,64.96,25.62,27.6,557.57,0,623.02,623.02,25.62,25.62,25.62,27.6,27.6,27.6,46.2,64.96,0,45.54,27.6,49.91,-0.684, 
120,1933,1,1931,1,1,0,1,39.54,40.2,0,1236,1,660.66,65.22,22.36,27.6,557.3,0,623.02,623.02,22.36,22.36,22.36,27.6,27.6,27.6,40.2,65.22,0,39.54,27.59,49.9,-0.643, 
