NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
133,1931,1,1931,1,1,0,1,174.08,174.08,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.08,37.8,0,0,99.9,0,-0.016, 
133,1931,2,1931,1,1,0,1,174.08,174.08,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.08,37.8,0,0,99.9,0,-0.013, 
133,1931,3,1931,1,1,0,1,174.07,174.07,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.07,37.8,0,0,99.9,0,-0.004, 
133,1931,4,1931,1,1,0,1,174.05,174.05,0,17,-1,0,37.8,54.93,99.9,48.3,0,86.5,86.5,54.93,54.93,54.93,99.9,99.9,99.9,174.05,37.8,0,0,99.9,0,0.011, 
133,1931,5,1931,1,1,0,1,174.04,174.04,0,17,-1,0,37.8,54.93,99.9,48.3,0,86.5,86.5,54.93,54.93,54.93,99.9,99.9,99.9,174.04,37.8,0,0,99.9,0,0.026, 
133,1931,6,1931,1,1,0,1,174.03,174.03,0,17,-1,0,37.8,54.93,99.9,48.3,0,86.5,86.5,54.93,54.93,54.93,99.9,99.9,99.9,174.03,37.8,0,0,99.9,0,0.031, 
133,1931,7,1931,1,1,0,1,129.82,129.82,0,17,-1,0,38.22,41.43,99.9,47.88,0,86.5,86.5,41.43,41.43,41.43,99.9,99.9,99.9,129.82,38.22,0,0,99.9,0,0.037, 
133,1931,8,1931,1,1,0,1,128.96,128.96,0,17,-1,0,38.23,41.16,99.9,47.87,0,86.5,86.5,41.16,41.16,41.16,99.9,99.9,99.9,128.96,38.23,0,0,99.9,0,0.035, 
133,1931,9,1931,1,1,0,1,134.03,134.03,0,17,-1,0,38.17,42.72,99.9,47.93,0,86.5,86.5,42.72,42.72,42.72,99.9,99.9,99.9,134.03,38.17,0,0,99.9,0,0.024, 
133,1931,10,1931,1,1,0,1,140.36,140.36,0,17,-1,0,38.1,44.66,99.9,48,0,86.5,86.5,44.66,44.66,44.66,99.9,99.9,99.9,140.36,38.1,0,0,99.9,0,0.007, 
133,1931,11,1931,1,1,0,1,158.06,158.06,0,17,-1,0,37.93,50.06,99.9,48.17,0,86.5,86.5,50.06,50.06,50.06,99.9,99.9,99.9,158.06,37.93,0,0,99.9,0,-0.007, 
133,1931,12,1931,1,1,0,1,174.07,174.07,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.07,37.8,0,0,99.9,0,-0.012, 
133,1932,1,1931,1,1,0,1,174.08,174.08,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.08,37.8,0,0,99.9,0,-0.016, 
133,1932,2,1931,1,1,0,1,174.08,174.08,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.08,37.8,0,0,99.9,0,-0.013, 
133,1932,3,1931,1,1,0,1,174.07,174.07,0,17,-1,0,37.8,54.94,99.9,48.3,0,86.5,86.5,54.94,54.94,54.94,99.9,99.9,99.9,174.07,37.8,0,0,99.9,0,-0.004, 
