NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
129,1931,1,1931,1,1,0,1,631.59,278.68,353.1,126.5,-1,0,104.71,258.21,278.34,140.11,0,251.5,251.5,258.21,258.21,258.21,278.34,278.34,278.34,278.68,104.71,86.2,545.39,278.19,300.41,-0.191, 
129,1931,2,1931,1,1,0,1,1601.54,275.8,1325.88,126.5,-1,0,102.55,250.28,269.79,142.4,0,251.5,251.5,250.28,250.28,250.28,269.79,269.79,269.79,275.8,102.55,221.21,1380.33,269.67,297.3,-0.136, 
129,1931,3,1931,1,1,0,1,1137.67,277.08,860.62,126.5,-1,0,103.51,253.79,273.57,141.39,0,251.5,251.5,253.79,253.79,253.79,273.57,273.57,273.57,277.08,103.51,145.23,992.44,273.44,298.68,-0.03, 
129,1931,4,1931,1,1,0,1,633.88,278.68,355.11,126.5,-1,0,104.7,258.19,278.32,140.12,0,251.5,251.5,258.19,258.19,258.19,278.32,278.32,278.32,278.68,104.7,95.15,538.73,278.16,300.4,0.096, 
129,1931,5,1931,1,1,0,1,293.4,280.02,13.16,126.5,-1,0,105.71,261.94,282.36,139.04,0,251.5,251.5,261.94,261.94,261.94,282.36,282.36,282.36,280.02,105.71,63.12,230.28,282.16,301.84,0.225, 
129,1931,6,1931,1,1,0,1,159.1,158.79,0,126.5,-1,0,106.14,149.14,284.23,138.59,0,251.5,251.5,149.14,149.14,149.14,284.23,149.14,149.14,158.79,106.14,55.12,103.98,282.24,301.8,0.311, 
129,1931,7,1931,1,1,0,1,128.87,128.53,0,126.5,-1,0,106.2,120.79,284.68,138.52,0,251.5,251.5,120.79,120.79,120.79,284.68,120.79,120.79,128.53,106.2,43.1,85.77,282.24,301.8,0.344, 
129,1931,8,1931,1,1,0,1,102.76,102.44,0,126.5,-1,0,106.24,96.31,285.08,138.48,0,251.5,251.5,96.31,96.31,96.31,285.08,96.31,96.31,102.44,106.24,42.08,60.68,282.24,301.8,0.318, 
129,1931,9,1931,1,1,0,1,101.34,101.11,0,126.5,-1,0,106.24,95.05,285.1,138.48,0,251.5,251.5,95.05,95.05,95.05,285.1,95.05,95.05,101.11,106.24,43.14,58.2,282.24,301.8,0.237, 
129,1931,10,1931,1,1,0,1,166.57,166.49,0,126.5,-1,0,106.11,156.33,284.12,138.61,0,251.5,251.5,156.33,156.33,156.33,284.12,156.33,156.33,166.49,106.11,55.19,111.38,282.24,301.8,0.085, 
129,1931,11,1931,1,1,0,1,176.71,176.76,0,126.5,-1,0,106.09,165.93,283.97,138.64,0,251.5,251.5,165.93,165.93,165.93,283.97,165.93,165.93,176.76,106.09,66.22,110.49,282.24,301.8,-0.044, 
129,1931,12,1931,1,1,0,1,496.68,279.18,217.66,126.5,-1,0,105.08,259.6,279.83,139.71,0,251.5,251.5,259.6,259.6,259.6,279.83,279.83,279.83,279.18,105.08,78.22,418.46,279.67,300.94,-0.161, 
129,1932,1,1931,1,1,0,1,938.59,277.67,661.11,126.5,-1,0,103.95,255.41,275.32,140.92,0,251.5,251.5,255.41,255.41,255.41,275.32,275.32,275.32,277.67,103.95,141.2,797.39,275.19,299.32,-0.191, 
129,1932,2,1931,1,1,0,1,787.54,278.15,509.53,126.5,-1,0,104.31,256.74,276.75,140.54,0,251.5,251.5,256.74,256.74,256.74,276.75,276.75,276.75,278.15,104.31,161.21,626.33,276.61,299.83,-0.136, 
129,1932,3,1931,1,1,0,1,668.67,278.55,390.15,126.5,-1,0,104.61,257.85,277.95,140.21,0,251.5,251.5,257.85,257.85,257.85,277.95,277.95,277.95,278.55,104.61,111.23,557.44,277.8,300.27,-0.03, 
129,1932,4,1931,1,1,0,1,275.88,275.79,0,126.5,-1,0,105.77,258.12,282.59,138.98,0,251.5,251.5,258.12,258.12,258.12,282.59,258.12,258.12,275.79,105.77,71.15,204.73,282.36,301.93,0.096, 
129,1932,5,1931,1,1,0,1,239.4,239.18,0,126.5,-1,0,105.89,224.12,283.09,138.85,0,251.5,251.5,224.12,224.12,224.12,283.09,224.12,224.12,239.18,105.89,64.12,175.28,282.24,301.8,0.225, 
129,1932,6,1931,1,1,0,1,193.1,192.79,0,126.5,-1,0,106.04,180.9,283.74,138.69,0,251.5,251.5,180.9,180.9,180.9,283.74,180.9,180.9,192.79,106.04,61.12,131.98,282.24,301.8,0.311, 
129,1932,7,1931,1,1,0,1,85.87,85.53,0,126.5,-1,0,106.23,80.4,285.34,138.49,0,251.5,251.5,80.4,80.4,80.4,285.34,80.4,80.4,85.53,106.23,46.1,39.77,282.24,301.8,0.344, 
129,1932,8,1931,1,1,0,1,78.76,78.44,0,126.5,-1,0,106.22,73.73,285.45,138.5,0,251.5,251.5,73.73,73.73,73.73,285.45,73.73,73.73,78.44,106.22,40.08,38.68,282.24,301.8,0.318, 
129,1932,9,1931,1,1,0,1,96.34,96.11,0,126.5,-1,0,106.24,90.35,285.18,138.48,0,251.5,251.5,90.35,90.35,90.35,285.18,90.35,90.35,96.11,106.24,40.14,56.2,282.24,301.8,0.237, 
129,1932,10,1931,1,1,0,1,154.57,154.49,0,126.5,-1,0,106.15,145.11,284.3,138.58,0,251.5,251.5,145.11,145.11,145.11,284.3,145.11,145.11,154.49,106.15,53.19,101.38,282.24,301.8,0.085, 
129,1932,11,1931,1,1,0,1,195.71,195.76,0,126.5,-1,0,106.03,183.67,283.7,138.7,0,251.5,251.5,183.67,183.67,183.67,283.7,183.67,183.67,195.76,106.03,65.22,130.49,282.24,301.8,-0.044, 
129,1932,12,1931,1,1,0,1,701.68,278.44,423.4,126.5,-1,0,104.52,257.53,277.61,140.31,0,251.5,251.5,257.53,257.53,257.53,277.61,277.61,277.61,278.44,104.52,144.22,557.46,277.46,300.14,-0.161, 
129,1933,1,1931,1,1,0,1,869.59,277.89,591.9,126.5,-1,0,104.11,256.01,275.96,140.75,0,251.5,251.5,256.01,256.01,256.01,275.96,275.96,275.96,277.89,104.11,172.2,697.39,275.83,299.55,-0.191, 
129,1933,2,1931,1,1,0,1,392.54,279.59,113.08,126.5,-1,0,105.39,260.76,281.08,139.38,0,251.5,251.5,260.76,260.76,260.76,281.08,281.08,281.08,279.59,105.39,116.21,276.33,280.9,301.39,-0.136, 
129,1933,3,1931,1,1,0,1,337.67,279.82,57.87,126.5,-1,0,105.57,261.4,281.77,139.2,0,251.5,251.5,261.4,261.4,261.4,281.77,281.77,281.77,279.82,105.57,97.23,240.44,281.59,301.64,-0.03, 
129,1933,4,1931,1,1,0,1,175.88,175.79,0,126.5,-1,0,106.09,165.02,283.99,138.64,0,251.5,251.5,165.02,165.02,165.02,283.99,165.02,165.02,175.79,106.09,64.15,111.73,282.24,301.8,0.096, 
129,1933,5,1931,1,1,0,1,153.4,153.18,0,126.5,-1,0,106.15,143.88,284.32,138.57,0,251.5,251.5,143.88,143.88,143.88,284.32,143.88,143.88,153.18,106.15,54.12,99.28,282.24,301.8,0.225, 
129,1933,6,1931,1,1,0,1,121.1,120.79,0,126.5,-1,0,106.22,113.54,284.8,138.5,0,251.5,251.5,113.54,113.54,113.54,284.8,113.54,113.54,120.79,106.22,47.12,73.98,282.24,301.8,0.311, 
129,1933,7,1931,1,1,0,1,115.87,115.53,0,126.5,-1,0,106.23,108.6,284.88,138.49,0,251.5,251.5,108.6,108.6,108.6,284.88,108.6,108.6,115.53,106.23,49.1,66.77,282.24,301.8,0.344, 
129,1933,8,1931,1,1,0,1,82.76,82.44,0,126.5,-1,0,106.23,77.5,285.39,138.49,0,251.5,251.5,77.5,77.5,77.5,285.39,77.5,77.5,82.44,106.23,42.08,40.68,282.24,301.8,0.318, 
129,1933,9,1931,1,1,0,1,102.34,102.11,0,126.5,-1,0,106.24,95.99,285.09,138.48,0,251.5,251.5,95.99,95.99,95.99,285.09,95.99,95.99,102.11,106.24,47.14,55.2,282.24,301.8,0.237, 
129,1933,10,1931,1,1,0,1,163.57,163.49,0,126.5,-1,0,106.12,153.53,284.17,138.6,0,251.5,251.5,153.53,153.53,153.53,284.17,153.53,153.53,163.49,106.12,55.19,108.38,282.24,301.8,0.085, 
129,1933,11,1931,1,1,0,1,192.71,192.76,0,126.5,-1,0,106.04,180.87,283.74,138.69,0,251.5,251.5,180.87,180.87,180.87,283.74,180.87,180.87,192.76,106.04,58.22,134.49,282.24,301.8,-0.044, 
129,1933,12,1931,1,1,0,1,292.68,280.02,12.82,126.5,-1,0,105.71,261.94,282.36,139.04,0,251.5,251.5,261.94,261.94,261.94,282.36,282.36,282.36,280.02,105.71,104.22,188.46,282.17,301.85,-0.161, 
129,1934,1,1931,1,1,0,1,816.59,278.06,538.73,126.5,-1,0,104.24,256.48,276.47,140.61,0,251.5,251.5,256.48,256.48,256.48,276.47,276.47,276.47,278.06,104.24,141.2,675.39,276.33,299.73,-0.191, 
129,1934,2,1931,1,1,0,1,321.54,279.89,41.79,126.5,-1,0,105.62,261.59,281.98,139.14,0,251.5,251.5,261.59,261.59,261.59,281.98,281.98,281.98,279.89,105.62,58.21,263.33,281.79,301.71,-0.136, 
129,1934,3,1931,1,1,0,1,375.67,279.66,96.03,126.5,-1,0,105.45,260.95,281.29,139.32,0,251.5,251.5,260.95,260.95,260.95,281.29,281.29,281.29,279.66,105.45,68.23,307.44,281.11,301.46,-0.03, 
129,1934,4,1931,1,1,0,1,186.88,186.79,0,126.5,-1,0,106.06,175.3,283.83,138.67,0,251.5,251.5,175.3,175.3,175.3,283.83,175.3,175.3,186.79,106.06,52.15,134.73,282.24,301.8,0.096, 
129,1934,5,1931,1,1,0,1,115.4,115.18,0,126.5,-1,0,106.23,108.27,284.89,138.49,0,251.5,251.5,108.27,108.27,108.27,284.89,108.27,108.27,115.18,106.23,40.12,75.28,282.24,301.8,0.225, 
129,1934,6,1931,1,1,0,1,81.1,80.79,0,126.5,-1,0,106.23,75.94,285.42,138.49,0,251.5,251.5,75.94,75.94,75.94,285.42,75.94,75.94,80.79,106.23,32.12,48.98,282.24,301.8,0.311, 
129,1934,7,1931,1,1,0,1,74.87,74.53,0,126.5,-1,0,106.21,70.05,285.51,138.51,0,251.5,251.5,70.05,70.05,70.05,285.51,70.05,70.05,74.53,106.21,29.1,45.77,282.24,301.8,0.344, 
129,1934,8,1931,1,1,0,1,55.76,55.44,0,126.5,-1,0,106.1,52.06,285.82,138.62,0,251.5,251.5,52.06,52.06,52.06,285.82,52.06,52.06,55.44,106.1,26.08,29.68,282.24,301.8,0.318, 
