NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
122,1931,1,1931,1,1,0,1,129.82,130.1,0,439,1,237.98,44.01,50.55,56.05,577.2,0,622.01,622.01,50.55,50.55,50.55,56.05,56.05,56.05,130.1,44.01,115.93,16.91,56.05,144.24,-0.255, 
122,1931,2,1931,1,1,0,1,195.68,138.1,57.74,439,1,237.98,44.01,53.67,56.05,577.2,0,622.01,622.01,53.67,53.67,53.67,56.05,56.05,56.05,138.1,44.01,169.77,25.91,56.05,144.24,-0.169, 
122,1931,3,1931,1,1,0,1,141.39,138.1,3.15,439,1,237.98,44.01,53.67,56.05,577.2,0,622.01,622.01,53.67,53.67,53.67,56.05,56.05,56.05,138.1,44.01,122.48,18.91,56.05,144.24,0.132, 
122,1931,4,1931,1,1,0,1,92.98,92.6,0,439,1,237.98,44.01,35.97,56.05,577.2,0,622.01,622.01,35.97,35.97,35.97,56.05,56.05,56.05,92.6,44.01,115.46,12.85,56.05,144.24,0.431, 
122,1931,5,1931,1,1,0,1,68.25,67.6,0,439,1,237.98,44.01,26.28,56.05,577.2,0,622.01,622.01,26.28,26.28,26.28,56.05,56.05,56.05,67.6,44.01,115.05,8.87,56.05,144.24,0.631, 
122,1931,6,1931,1,1,0,1,56.46,55.7,0,439,1,237.98,44.01,21.65,56.05,577.2,0,622.01,622.01,21.65,21.65,21.65,56.05,56.05,56.05,55.7,44.01,114.78,7.87,56.05,144.24,0.758, 
122,1931,7,1931,1,1,0,1,47.77,47.1,0,439,1,237.98,44.01,18.29,56.05,577.2,0,622.01,622.01,18.29,18.29,18.29,56.05,56.05,56.05,47.1,44.01,114.57,6.86,56.05,144.24,0.693, 
122,1931,8,1931,1,1,0,1,44.05,43.5,0,439,1,236.36,44.01,16.9,56.05,577.2,0,622.01,622.01,16.9,16.9,16.9,56.05,56.05,56.05,43.5,44.01,114.48,5.84,53.59,137.9,0.56, 
122,1931,9,1931,1,1,0,1,52.64,52.3,0,439,1,235.53,44.01,20.33,56.05,577.2,0,622.01,622.01,20.33,20.33,20.33,56.05,56.05,56.05,52.3,44.01,114.71,6.88,56.05,144.24,0.337, 
122,1931,10,1931,1,1,0,1,69.05,69.1,0,439,1,236.91,44.01,26.84,56.05,577.2,0,622.01,622.01,26.84,26.84,26.84,56.05,56.05,56.05,69.1,44.01,115.07,8.9,56.05,144.24,-0.01, 
122,1931,11,1931,1,1,0,1,69.06,69.3,0,439,1,237.98,44.01,26.94,56.05,577.2,0,622.01,622.01,26.94,26.94,26.94,56.05,56.05,56.05,69.3,44.01,115.11,6.9,56.05,144.24,-0.263, 
122,1931,12,1931,1,1,0,1,120.41,120.7,0,439,1,237.98,44.01,46.9,56.05,577.2,0,622.01,622.01,46.9,46.9,46.9,56.05,56.05,56.05,120.7,44.01,115.83,15.91,56.05,144.24,-0.265, 
122,1932,1,1931,1,1,0,1,139.82,138.1,1.97,439,1,237.98,44.01,53.67,56.05,577.2,0,622.01,622.01,53.67,53.67,53.67,56.05,56.05,56.05,138.1,44.01,123.91,15.91,56.05,144.24,-0.255, 
122,1932,2,1931,1,1,0,1,112.68,112.8,0,439,1,237.98,44.01,43.85,56.05,577.2,0,622.01,622.01,43.85,43.85,43.85,56.05,56.05,56.05,112.8,44.01,115.77,12.91,56.05,144.24,-0.169, 
122,1932,3,1931,1,1,0,1,138.39,138.1,0.15,439,1,237.98,44.01,53.67,56.05,577.2,0,622.01,622.01,53.67,53.67,53.67,56.05,56.05,56.05,138.1,44.01,119.48,18.91,56.05,144.24,0.132, 
122,1932,4,1931,1,1,0,1,76.98,76.6,0,439,1,237.98,44.01,29.75,56.05,577.2,0,622.01,622.01,29.75,29.75,29.75,56.05,56.05,56.05,76.6,44.01,115.2,10.85,56.05,144.24,0.431, 
122,1932,5,1931,1,1,0,1,85.25,84.6,0,439,1,237.98,44.01,32.88,56.05,577.2,0,622.01,622.01,32.88,32.88,32.88,56.05,56.05,56.05,84.6,44.01,115.36,10.87,56.05,144.24,0.631, 
122,1932,6,1931,1,1,0,1,64.46,63.7,0,439,1,237.98,44.01,24.75,56.05,577.2,0,622.01,622.01,24.75,24.75,24.75,56.05,56.05,56.05,63.7,44.01,114.94,9.87,56.05,144.24,0.758, 
122,1932,7,1931,1,1,0,1,48.77,48.1,0,439,1,237.98,44.01,18.68,56.05,577.2,0,622.01,622.01,18.68,18.68,18.68,56.05,56.05,56.05,48.1,44.01,114.6,6.86,56.05,144.24,0.693, 
122,1932,8,1931,1,1,0,1,52.05,51.5,0,439,1,237.34,44.01,20.01,56.05,577.2,0,622.01,622.01,20.01,20.01,20.01,56.05,56.05,56.05,51.5,44.01,114.69,6.84,56.05,144.24,0.56, 
122,1932,9,1931,1,1,0,1,45.64,45.3,0,439,1,235.69,44.01,17.61,56.05,577.2,0,622.01,622.01,17.61,17.61,17.61,56.05,56.05,56.05,45.3,44.01,114.53,5.88,56.05,144.24,0.337, 
122,1932,10,1931,1,1,0,1,59.05,59.1,0,439,1,235.94,44.01,22.95,56.05,577.2,0,622.01,622.01,22.95,22.95,22.95,56.05,56.05,56.05,59.1,44.01,114.87,6.9,56.05,144.24,-0.01, 
122,1932,11,1931,1,1,0,1,56.06,56.3,0,439,1,237.19,44.01,21.89,56.05,577.2,0,622.01,622.01,21.89,21.89,21.89,56.05,56.05,56.05,56.3,44.01,114.8,6.9,56.05,144.24,-0.263, 
