$unit pu
!Scn.,Year,Month,Block,EOL Norte,UFV Norte
1,2021, 1,1, 0., 0.
1,2021, 1,2, 0., 0.
1,2021, 1,3, 0., 0.
1,2021, 2,1, 0., 0.
1,2021, 2,2, 0., 0.
1,2021, 2,3, 0., 0.
1,2021, 3,1, 0., 0.
1,2021, 3,2, 0., 0.
1,2021, 3,3, 0., 0.
1,2021, 4,1, 0., 0.
1,2021, 4,2, 0., 0.
1,2021, 4,3, 0., 0.
1,2021, 5,1, 0., 0.
1,2021, 5,2, 0., 0.
1,2021, 5,3, 0., 0.
1,2021, 6,1, 0., 0.
1,2021, 6,2, 0., 0.
1,2021, 6,3, 0., 0.
1,2021, 7,1, 0., 0.
1,2021, 7,2, 0., 0.
1,2021, 7,3, 0., 0.
1,2021, 8,1,.627025,.829802
1,2021, 8,2,.767431,.495627
1,2021, 8,3, 0.7911,.376275
1,2021, 9,1,.910928,.985368
1,2021, 9,2,.969342,.371118
1,2021, 9,3,     1.,.392477
1,2021,10,1,.908934,.491759
1,2021,10,2,0.93865,.203442
1,2021,10,3,.890272,.202181
1,2021,11,1,.872819,.600095
1,2021,11,2,0.94143,.158033
1,2021,11,3,.936074,.204816
1,2021,12,1,.776645,.615091
1,2021,12,2,.830014,.156912
1,2021,12,3,.833698,.178215
1,2022, 1,1,.471478,.620361
1,2022, 1,2,.445438,.151166
1,2022, 1,3,.405732,.196799
1,2022, 2,1,.335902,.696575
1,2022, 2,2,.342498,.140459
1,2022, 2,3,.252766,.155679
1,2022, 3,1,.277194,.634572
1,2022, 3,2,.271896,.137431
1,2022, 3,3,.219824,.188895
1,2022, 4,1,.290763,0.51466
1,2022, 4,2,.196716,0.15823
1,2022, 4,3,.156959,0.21244
1,2022, 5,1,.372575,.430289
1,2022, 5,2,.314246,.248571
1,2022, 5,3,.249495,.175664
1,2022, 6,1,.485978,.411593
1,2022, 6,2,.428512,.236153
1,2022, 6,3,.383549,.198172
1,2022, 7,1,.487104,.857607
1,2022, 7,2,.515612,.540868
1,2022, 7,3,.473824,.353123
1,2022, 8,1,.626838,.818814
1,2022, 8,2,.767191,.489068
1,2022, 8,3,.790909,.371286
1,2022, 9,1,.910928,.985368
1,2022, 9,2,.969342,.371118
1,2022, 9,3,     1.,.392477
1,2022,10,1,.908934,.491759
1,2022,10,2,0.93865,.203442
1,2022,10,3,.890272,.202181
1,2022,11,1,.872819,.600095
1,2022,11,2,0.94143,.158033
1,2022,11,3,.936074,.204816
1,2022,12,1,.776072,.625182
1,2022,12,2,0.82936,.159463
1,2022,12,3,.833043,.181158
1,2023, 1,1, 0.4704,.611055
1,2023, 1,2,.444404,.148896
1,2023, 1,3,.404783,.193856
1,2023, 2,1,.337774,.712636
1,2023, 2,2,.344429,.143682
1,2023, 2,3,.254162,.159295
1,2023, 3,1,.276105,.624734
1,2023, 3,2,.270856,.135301
1,2023, 3,3,.218982,.185951
1,2023, 4,1,.289382, 0.5222
1,2023, 4,2,.195787,.160556
1,2023, 4,3,.156209,.215551
1,2023, 5,1,.372575,.430289
1,2023, 5,2,.314246,.248571
1,2023, 5,3,.249495,.175664
1,2023, 6,1,.485978,.411593
1,2023, 6,2,.428512,.236153
1,2023, 6,3,.383549,.198172
1,2023, 7,1,.487104,.857607
1,2023, 7,2,.515612,.540868
1,2023, 7,3,.473824,.353123
1,2023, 8,1,.626838,.818814
1,2023, 8,2,.767191,.489068
1,2023, 8,3,.790909,.371286
1,2023, 9,1,.909671,     1.
1,2023, 9,2,.967988,.376612
1,2023, 9,3,.998646,.398251
1,2023,10,1,.908572,.484976
1,2023,10,2,.938287,.200639
1,2023,10,3,0.88991,.199406
1,2023,11,1,.872819,.600095
1,2023,11,2,0.94143,.158033
1,2023,11,3,.936074,.204816
1,2023,12,1,.774844,.646541
1,2023,12,2,0.82805,.164929
1,2023,12,3,.831733,.187353
1,2024, 1,1, 0.4704,.611055
1,2024, 1,2,.444404,.148896
1,2024, 1,3,.404783,.193856
1,2024, 2,1,.337179,.707563
1,2024, 2,2,.343835,.142673
1,2024, 2,3,.253716,.158146
1,2024, 3,1,.276087,.655371
1,2024, 3,2,.270826,.141916
1,2024, 3,3,.218951,.195089
1,2024, 4,1,.290649,.493273
1,2024, 4,2,.196648,.151671
1,2024, 4,3,.156896,0.20361
1,2024, 5,1,.375114,0.43682
1,2024, 5,2,.316387,.252355
1,2024, 5,3,.251177,.178327
1,2024, 6,1,.484671,.416975
1,2024, 6,2,.427383,.239237
1,2024, 6,3,.382556,.200751
1,2024, 7,1,.486569,.832661
1,2024, 7,2,.515028,.525171
1,2024, 7,3,.473289,.342864
1,2024, 8,1,.627025,.829802
1,2024, 8,2,.767431,.495627
1,2024, 8,3, 0.7911,.376275
1,2024, 9,1,.910928,.985368
1,2024, 9,2,.969342,.371118
1,2024, 9,3,     1.,.392477
1,2024,10,1,.910676,.472082
1,2024,10,2,.940486,.195313
1,2024,10,3,.891953,.194108
1,2024,11,1,.872819,.600095
1,2024,11,2,0.94143,.158033
1,2024,11,3,.936074,.204816
1,2024,12,1,.775417,0.63575
1,2024,12,2,.828705,.162154
1,2024,12,3,.832388,.184214
1,2025, 1,1, 0.4704,.611055
1,2025, 1,2,.444404,.148896
1,2025, 1,3,.404783,.193856
1,2025, 2,1,.335902,.696575
1,2025, 2,2,.342498,.140459
1,2025, 2,3,.252766,.155679
1,2025, 3,1,.276087,.655371
1,2025, 3,2,.270826,.141916
1,2025, 3,3,.218951,.195089
1,2025, 4,1,.292122,.507316
1,2025, 4,2,0.19763,.155987
1,2025, 4,3,.157684,.209413
1,2025, 5,1,.375114,0.43682
1,2025, 5,2,.316387,.252355
1,2025, 5,3,.251177,.178327
1,2025, 6,1,.484671,.416975
1,2025, 6,2,.427383,.239237
1,2025, 6,3,.382556,.200751
1,2025, 7,1,.486569,.832661
1,2025, 7,2,.515028,.525171
1,2025, 7,3,.473289,.342864
1,2025, 8,1,.627266,.841014
1,2025, 8,2,0.76765,.502299
1,2025, 8,3,.791412,.381321
1,2025, 9,1,.909438,.971185
1,2025, 9,2,.967676,.365736
1,2025, 9,3,.998338,.386815
1,2025,10,1,.910676,.472082
1,2025,10,2,.940486,.195313
1,2025,10,3,.891953,.194108
1,2025,11,1,.872819,.600095
1,2025,11,2,0.94143,.158033
1,2025,11,3,.936074,.204816
1,2025,12,1,.776072,.625182
1,2025,12,2,0.82936,.159463
1,2025,12,3,.833043,.181158
