$version=1
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 109 ALTOS           1    0   13.12       0   13.12   91.77   91.77       0    0  109     100       1                                    0    0    0    0    0                    0                              
 111 ARACATI         1    0   11.48       0   11.48   93.15   93.15       0    0  111     100       1                                    0    0    0    0    0                    0                              
 112 BAHIA I         1    0 30.3506       0 30.3506   13.97   13.97       0    0  112     100       1                                    0    0    0    0    0                    0                              
 113 BATURITE        1    0   11.48       0   11.48   91.03   91.03       0    0  113     100       1                                    0    0    0    0    0                    0                              
 235 CAMACARI MII    1    1     144       0     144       3       3       0    0  235     100       1                                    0    0    0    0    0                    0                              
 166 CAMACARI PI     1    0     150       0     150   41.55   41.55       0    0  166     100       1                                    0    0    0    0    0                    0                              
  52 CAMPINA GDE     1    0  169.08       0  169.08   44.58   44.58       0    0   52     100       1                                    0    0    0    0    0                    0                              
 117 CAMPO MAIOR     1    0   13.12       0   13.12   91.91   91.91       0    0  117     100       1                                    0    0    0    0    0                    0                              
 119 CAUCAIA         1    0   14.76       0   14.76   92.46   92.46       0    0  119     100       1                                    0    0    0    0    0                    0                              
 121 CRATO           1    0   13.12       0   13.12   91.15   91.15       0    0  121     100       1                                    0    0    0    0    0                    0                              
 125 ENGUIA PECEM    1    0   14.76       0   14.76   89.35   89.35       0    0  125     100       1                                    0    0    0    0    0                    0                              
 106 ERB CANDEIAS    1    0   16.79       0   16.79       3       3       0    0  106     100       1                                    0    0    0    0    0                    0                              
  42 FORTALEZA       1    0   326.6       0   326.6    1.86    1.86       0    0   42     100       1                                    0    0    0    0    0                    0                              
  53 GLOBAL I        1    0   148.8       0   148.8   15.95   15.95       0    0   53     100       1                                    0    0    0    0    0                    0                              
  55 GLOBAL II       1    0   148.8       0   148.8   17.59   17.59       0    0   55     100       1                                    0    0    0    0    0                    0                              
 127 IGUATU          1    0   14.76       0   14.76   89.93   89.93       0    0  127     100       1                                    0    0    0    0    0                    0                              
 133 JUAZEIRO N      1    0   14.76       0   14.76   87.83   87.83       0    0  133     100       1                                    0    0    0    0    0                    0                              
  57 MARACANAU I     1    0     168       0     168   45.71   45.71       0    0   57     100       1                                    0    0    0    0    0                    0                              
