**** Planta:  169 SOBRADINHO   Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     800     800     800     800     800     800     800     800     800     800     800     800
2022     800     800     800     800     800     800     800     800     800     800     800     800
2023     800     800     800     800     800     800     800     800     800     800     800     800
2024     800     800     800     800     800     800     800     800     800     800     800     800
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
2040     800     800     800     800     800     800     800     800     800     800     800     800
2041     800     800     800     800     800     800     800     800     800     800     800     800
2042     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  172 ITAPARICA    Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     800     800     800     800     800     800     800     800     800     800     800     800
2022     800     800     800     800     800     800     800     800     800     800     800     800
2023     800     800     800     800     800     800     800     800     800     800     800     800
2024     800     800     800     800     800     800     800     800     800     800     800     800
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
2040     800     800     800     800     800     800     800     800     800     800     800     800
2041     800     800     800     800     800     800     800     800     800     800     800     800
2042     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  176 COMP PAF-MOX Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     800     800     800     800     800     800     800     800     800     800     800     800
2022     800     800     800     800     800     800     800     800     800     800     800     800
2023     800     800     800     800     800     800     800     800     800     800     800     800
2024     800     800     800     800     800     800     800     800     800     800     800     800
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
2040     800     800     800     800     800     800     800     800     800     800     800     800
2041     800     800     800     800     800     800     800     800     800     800     800     800
2042     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  178 XINGO        Penal:            4
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021     800     800     800     800     800     800     800     800     800     800     800     800
2022     800     800     800     800     800     800     800     800     800     800     800     800
2023     800     800     800     800     800     800     800     800     800     800     800     800
2024     800     800     800     800     800     800     800     800     800     800     800     800
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
2040     800     800     800     800     800     800     800     800     800     800     800     800
2041     800     800     800     800     800     800     800     800     800     800     800     800
2042     800     800     800     800     800     800     800     800     800     800     800     800
