**** Planta:  169 SOBRADINHO  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2022 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2023 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2024 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2025 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2026 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2027 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2028 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2029 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2030 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2031 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2032 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2033 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2034 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2035 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2036 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2037 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2038 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2039 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2040 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2041 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
2042 27467.7 27467.7 27450.5 27401.7   34116   34116   34116   34116   34116   34116 27751.5 27588.1
**** Planta:  172 ITAPARICA   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2022 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2023 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2024 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2025 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2026 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2027 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2028 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2029 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2030 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2031 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2032 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2033 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2034 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2035 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2036 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2037 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2038 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2039 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2040 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2041 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
2042 9220.88 9231.88 9302.13 10746.9   10782   10782   10782   10782   10782   10782 9967.02 9220.88
**** Planta:  190 B. ESPERANCA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2022 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2023 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2024 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2025 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2026 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2027 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2028 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2029 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2030 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2031 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2032 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2033 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2034 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2035 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2036 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2037 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2038 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2039 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
2040 4485.02 4485.02 4485.02 4615.03    5085    5085    5085    5085    5085    5085 4534.92 4494.96
