**** Planta:  156 TRES MARIAS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2022 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2023 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2024 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2025 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2026 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2027 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2028 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2029 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2030 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2031 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2032 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2033 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2034 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2035 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2036 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2037 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2038 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2039 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2040 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2041 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
2042 17097.3 18747.3   19528   19528   19528   19528   19528   19528   19528   19528 17097.3 15537.4
**** Planta:  162 QUEIMADO    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021  450.29 474.024 509.578 545.133     557     557     557     557     557     557 402.868 414.735
2022  450.29 474.024 509.578 545.133     557     557     557     557     557     557 402.868 414.735
