 NUM,...Nombre...,.PV.,.VAA,.TAA,#Uni,Tipo,....Pot,.FPMed.,.QMin..,.QMax..,.VMin..,.VMax..,.VInic.,Min.V+T,..VNC..,..ICP..,...IH..,..FP1..,..Vol1.,..FP2..,..Vol2.,..FP3..,..Vol3.,..FP4..,..Vol4.,..FP5..,..Vol5.,.Area1.,..Vol1.,.Area2.,..Vol2.,.Area3.,..Vol3.,.Area4.,..Vol4.,.Area5.,..Vol5.,.Filt1.,..Vol1.,.Filt2.,..Vol2.,.Filt3.,..Vol3.,.Filt4.,..Vol4.,.Filt5.,..Vol5.,.Cota1.,.Vol1..,.Cota2.,.Vol2..,.Cota3.,.Vol3..,.Cota4.,.Vol4..,.Cota5.,.Vol5..,.Ev1,.Ev2,.Ev3,.Ev4,.Ev5,.Ev6,.Ev7,.Ev8,.Ev9,Ev10,Ev11,Ev12,tini,tfil,.faa,tare,.varea.,tfil,.vfiltr,F.Reg..,pVar,.ICV,C.Vert.,sfal,Cos.O&M,Irxh,RendT&G,.EA.,Niv.Jus,I,JuAr,I,.TurIn1,.TotIn1,.TurIn2,.TotIn2,.TurIn3,.TotIn3,.TurIn4,.TotIn4,.TurIn5,.TotIn5,H,V,.CFuga1,..Def1.,.CFuga2,..Def2.,.CFuga3,..Def3.,.CFuga4,..Def4.,.CFuga5,..Def5.,E,PHidTur,PHidVer
 204,CACH.CALDEIR, 204, 280, 280,   3,   1,   219.,.140519,     0.,  1641., 230.56, 230.56,     0.,    43.,   0,  4.426,10.9891,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  51,  38,  25,   8, -11, -21, -20, -21, -10,   9,  30,  43,   0,   0, 280,   1, 47.957,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1, 0.9212,,  42.43,0, 280,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,42.1298,    43.,42.5385,1657.28,43.1998,3271.55,43.5111,4140.78,43.6807,  5010.,0,     0.,     0.
 267,ESTREITO TOC, 271, 275, 275,   8,   1,  1087.,0.20335,     0.,  6280.,  5400.,  5400.,     0.,   744.,   0,   0.19,2.90084,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  12,   5,   4,  -2,   2,  29,  52,  72,  75,  69,  41,  29,   0,   0, 275,   1,   590.,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.92579,, 132.62,0, 275,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,128.259,   744.,139.453,11152.5,143.711,21560.9, 145.59,27165.5,145.917, 32770.,0,     0.,     0.
 275,TUCURUI, 275,,,  25,   1,  8535.,.518557,     0., 14626., 11293., 50275., 0.9619,  2000.,   0,  6.977,9.85792,0.39462, 11293.,0.44897,16750.5,0.50634,25716.3,0.55985,38580.4,0.59767, 50275.,761.375, 11293.,1751.27,24936.7,1883.56,26885.8,1989.81,28834.9, 3023.8, 50275.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   50.7, 11293.,56.6958,16750.5,63.0248,25716.3,68.9269,38580.4,   73.1, 50275.,  12,   5,   4,   1,  -9, -17,  -8,  -4,  22,  31,  41,  21,   0,   0,,   1,2090.16,   0,     0.,     0.,   0,   0,     0.,   0,     0.,   2,0.92406,,  7.168,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,4.07112,  2000.,11.9599,22287.7,15.9856,42575.4,17.6574,53499.6,17.8153,64423.8,0,     0.,     0.
 277,BALBINA, 269,,,   5,   1, 249.75,.198364,     0.,  1275., 9711.9,20006.2, 0.9632,    19.,   0,  0.598,3.83652,0.17412, 9711.9,0.18418,11564.9,0.19626,14138.5,0.20852,17123.8,0.21906,20006.2,1599.02, 9711.9,1843.09,11976.7,2094.12,14550.2,2340.39,17329.7,2556.67,20006.2,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,45.7001, 9711.9,46.8194,11564.9,48.1633,14138.5,49.5268,17123.8,50.7001,20006.2,  35,  31,  23,  19,  11,   4,  -7, -25, -15,  -6,  19,  33,   0,   0,,   1,2120.72,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.91631,,  26.33,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,22.7189,    19., 26.903,1018.21,  29.12,2017.43, 30.178,2555.46,30.4187, 3093.5,0,     0.,     0.
 280,COARACY NUNE, 280, 284, 284,   3,   1,    78.,.154478,     0.,   399.,  24.57,  138.8,     0.,    43.,   0,  1.381,2.97074,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  60,  49,  38,  19,  -4, -20, -31, -41, -32,  -9,  22,  46,   0,   0, 284,   1,18.8853,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.90999,,  21.86,0, 284,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,21.3061,     0.,21.4697,194.513,21.8775,389.025,22.1571,493.763, 22.483,  598.5,0,     0.,     0.
 284,FERREIRA GOM, 297,,,   3,   1,   252.,0.17089,     0.,  1722., 137.31, 137.31,     0.,    43.,   0,  2.156,7.51883,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  57,  42,  30,  12,  -8, -24, -26, -28, -16,   6,  30,  48,   0,   0,,   1,  17.72,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1, 0.9212,,   2.19,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,1.76487,     0.,2.71583,839.475,3.50293,1678.95,3.87243,2130.98,4.21082,  2583.,0,     0.,     0.
 286,STO ANT JARI, 290,,,   3,   1, 389.55,.238987,     0.,  1755., 104.61, 133.39,     0.,    33.,   0,   3.53,11.8573,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  48,  41,  38,  17,  -9, -21, -27, -34, -23, -12,  18,  29,   0,   0,,   1,29.4805,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.92701,,   2.61,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,1.55981,    33.,5.11712,2527.05,8.21465, 5021.1,9.61469,6364.05,10.8674,  7707.,0,     0.,     0.
 314,PIMENTAL,9000,,,   6,   1,  233.1,.116291,     0.,  2466., 4802.3, 4802.3,     0.,   380.,   0,  2.731, 7.3435,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,,   1,514.031,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.89399,,  83.59,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,82.1695,   380.,82.8793,1458.68,83.4981,2537.35,83.7979,3118.18,84.0766,  3699.,0,     0.,     0.
 272,CURUA-UNA, 277,,,   3,   1,   30.3,.152937,     0.,   188.,   133.,   602.,     1.,    17.,   0,  4.482,5.76289,0.11799,   133.,0.13269, 208.04,0.14913, 315.91,0.16388, 442.54,0.17845,   602.,41.4453,   133.,46.4341, 170.52,73.2489, 372.19,100.059, 573.86,101.901,   602.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., 25.017,   133.,26.7198, 208.04,28.6242, 315.91,30.3329, 442.54,32.0205,   602.,  22,  10,  10,   3,  -8,  -6, -11,  -9,   5,  32,  49,  47,   0,   0,,   1,72.4502,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.88002,,  11.35,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,9.47809,    17.,12.7538,414.638,15.6276,812.275,17.0157,1026.39,18.5577, 1240.5,0,     0.,     0.
 288,BELO MONTE, 288, 314,,  18,   1, 11000.,.803231,     0., 13950., 4802.3, 4802.3,     0.,   300.,   0,  2.282, 2.5263,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  20,  17,   8,   1,  -8, -13, -20, -20,  -4,  18,  41,  34,   0,   0,,   1,514.031,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.92497,,   5.86,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,2.87332,   300.,6.74398, 20893.,9.51934, 41486.,12.1622,52574.5,19.1173, 63663.,0,     0.,     0.
