**** Fuel:    211 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021   224.6   224.6   224.6   224.6   224.6   224.6   224.6   224.6   224.6   98.82   98.82   98.82
2022   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2023   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2024   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2025   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
**** Fuel:     97 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47
2022  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47
2023  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47
2024  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47  353.47
2025  178.27  178.27  178.27  178.27  178.27  178.27  178.27  178.27  178.27  178.27  178.27  178.27
**** Fuel:     12 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  701.88  701.88  701.88  701.88  701.88  701.88  701.88  701.88  701.88  701.88  701.88  701.88
2022  701.88  701.88  701.88  701.88       0       0       0       0       0       0       0       0
2023       0       0       0       0       0       0       0       0       0       0       0       0
2024       0       0       0       0       0       0       0       0       0       0       0       0
2025       0       0       0       0       0       0       0       0       0       0       0       0
**** Fuel:    183 Residuos I  
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  204.22  204.22  204.22  204.22  204.22  204.22  204.22  204.22  204.31  204.31  204.31  204.31
2022  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31
2023  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31
2024  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31
2025  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31  204.31
**** Fuel:     63 Gas         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2021  650.77  650.77  650.77  650.77  650.77  650.77  650.77  650.77  650.77  261.78  261.78  261.78
