**** Planta:  201                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                              75      75      75      75      75
2021   2                                                              75      75      75      75      75
2021   3                                                              75      75      75      75      75
2022   1      75      75      75      75      75      75      75      75      75      75      75      75
2022   2      75      75      75      75      75      75      75      75      75      75      75      75
2022   3      75      75      75      75      75      75      75      75      75      75      75      75
2023   1      75      75      75      75      75      75      75      75      75      75      75      75
2023   2      75      75      75      75      75      75      75      75      75      75      75      75
2023   3      75      75      75      75      75      75      75      75      75      75      75      75
2024   1      75      75      75      75      75      75      75      75      75      75      75      75
2024   2      75      75      75      75      75      75      75      75      75      75      75      75
2024   3      75      75      75      75      75      75      75      75      75      75      75      75
2025   1      75      75      75      75      75      75      75   88.25  115.83  115.83   88.23      75
2025   2      75      75      75      75      75      75      75   88.25  115.83  115.83   88.23      75
2025   3      75      75      75      75      75      75      75   88.25  115.83  115.83   88.23      75
**** Planta:  203                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                           64.99   64.99   64.99   64.99   64.99
2021   2                                                           64.99   64.99   64.99   64.99   64.99
2021   3                                                           64.99   64.99   64.99   64.99   64.99
2022   1      67      67      67      67      67      67      67      67      67      67      67      67
2022   2      67      67      67      67      67      67      67      67      67      67      67      67
2022   3      67      67      67      67      67      67      67      67      67      67      67      67
2023   1      67      67      67      67      67      67      67      67      67      67      67      67
2023   2      67      67      67      67      67      67      67      67      67      67      67      67
2023   3      67      67      67      67      67      67      67      67      67      67      67      67
2024   1      67      67      67      67      67      67      67      67      67      67      67      67
2024   2      67      67      67      67      67      67      67      67      67      67      67      67
2024   3      67      67      67      67      67      67      67      67      67      67      67      67
2025   1      67      67      67      67      67       0       0       0       0       0       0       0
2025   2      67      67      67      67      67       0       0       0       0       0       0       0
2025   3      67      67      67      67      67       0       0       0       0       0       0       0
**** Planta:   73                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:   70                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  204                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                              63      63      63      63      63
2021   2                                                              63      63      63      63      63
2021   3                                                              63      63      63      63      63
2022   1      63      63      63      63      63      63      63      63      63      63      63      63
2022   2      63      63      63      63      63      63      63      63      63      63      63      63
2022   3      63      63      63      63      63      63      63      63      63      63      63      63
2023   1      63      63      63      63      63      63      63      63      63      63      63      63
2023   2      63      63      63      63      63      63      63      63      63      63      63      63
2023   3      63      63      63      63      63      63      63      63      63      63      63      63
2024   1      63      63      63      63      63      63      63      63      63      63      63      63
2024   2      63      63      63      63      63      63      63      63      63      63      63      63
2024   3      63      63      63      63      63      63      63      63      63      63      63      63
2025   1      63      63      63      63      63      63      63      63      63      63      63      63
2025   2      63      63      63      63      63      63      63      63      63      63      63      63
2025   3      63      63      63      63      63      63      63      63      63      63      63      63
**** Planta:  205                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                            64.5    64.5    64.5    64.5    64.5
2021   2                                                            64.5    64.5    64.5    64.5    64.5
2021   3                                                            64.5    64.5    64.5    64.5    64.5
2022   1    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2022   2    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2022   3    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2023   1    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2023   2    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2023   3    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2024   1    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2024   2    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2024   3    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2025   1    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2025   2    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
2025   3    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5    64.5
**** Planta:  436                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  437                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  421                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
