**** Planta:    1                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                             640     640     640     640     640
2021   2                                                             640     640     640     640     640
2021   3                                                             640     640     640     640     640
2022   1  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2022   2  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2022   3  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2023   1  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2023   2  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2023   3  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2024   1  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2024   2  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2024   3  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2025   1  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2025   2  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
2025   3  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86  557.86
**** Planta:   13                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                            1350    1350    1350    1350    1350
2021   2                                                            1350    1350    1350    1350    1350
2021   3                                                            1350    1350    1350    1350    1350
2022   1 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2022   2 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2022   3 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2023   1 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2023   2 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2023   3 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2024   1 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2024   2 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2024   3 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2025   1 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2025   2 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
2025   3 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48 1202.48
**** Planta:  211                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
