NUM:   4 FUNIL-GRANDE          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.62  0.62  1.72  3.38  1.11  3.13  3.03  1.85  3.61  0.63  0.63  0.63
2022  0.63  0.63  1.76  3.47  1.13   3.2   3.1  1.89  3.69  0.64  0.64  0.64
2023  0.64  0.64  1.79  3.55  1.14  3.28  3.17  1.93  3.78  0.64  0.64  0.64
2024  0.64  0.64  1.83  3.63  1.16  3.35  3.24  1.97  3.87  0.65  0.65  0.65
2025  0.65  0.65  1.87  3.71  1.18  3.43  3.32  2.01  3.96  0.66  0.66  0.66
NUM:  20 BATALHA               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.12  0.12  1.89  3.55  3.83  5.49  5.98  5.94  6.27  0.83  0.12  0.12
2022  0.12  0.12  1.99  3.75  4.04  5.81  6.32  6.28  6.62  0.87  0.12  0.12
2023  0.12  0.12   2.1  3.95  4.26  6.12  6.66  6.61  6.98  0.92  0.12  0.12
2024  0.12  0.12   2.2  4.15  4.47  6.44     7  6.95  7.33  0.96  0.12  0.12
2025  0.12  0.12   2.3  4.35  4.69  6.75  7.34  7.29  7.69     1  0.12  0.12
NUM:  21 SERRA FACAO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.07  0.07  0.64  1.17  1.26  1.79  1.94  1.93  2.03   0.3  0.07  0.07
2022  0.07  0.07  0.61  1.12   1.2  1.71  1.86  1.85  1.95  0.29  0.07  0.07
2023  0.07  0.07  0.59  1.07  1.15  1.64  1.77  1.76  1.86  0.28  0.07  0.07
2024  0.07  0.07  0.56  1.02   1.1  1.56  1.69  1.68  1.77  0.27  0.08  0.08
2025  0.08  0.08  0.54  0.97  1.04  1.48  1.61   1.6  1.69  0.26  0.08  0.08
NUM:  27 CAPIM BRANC1          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  7.01  7.31  7.42  7.54  7.53  7.83  7.86  7.61  7.96  7.38  7.15  7.01
2022  7.01  7.32  7.43  7.55  7.55  7.86  7.88  7.63  7.99  7.39  7.15  7.01
2023  7.01  7.33  7.45  7.57  7.57  7.89  7.91  7.65  8.02   7.4  7.16  7.01
2024  7.01  7.34  7.46  7.59  7.58  7.91  7.94  7.66  8.06  7.42  7.16  7.01
2025  7.01  7.35  7.47  7.61   7.6  7.94  7.97  7.68  8.09  7.43  7.17  7.01
NUM:  28 CAPIM BRANC2          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 -6.98 -6.25    -6 -5.74 -5.75 -5.06    -5 -5.59 -4.76 -6.08 -6.65 -6.98
2022 -6.98 -6.23 -5.96  -5.7 -5.71    -5 -4.94 -5.55 -4.69 -6.06 -6.64 -6.98
2023 -6.98  -6.2 -5.93 -5.66 -5.67 -4.94 -4.87  -5.5 -4.62 -6.03 -6.63 -6.98
2024 -6.98 -6.18  -5.9 -5.62 -5.63 -4.87 -4.81 -5.45 -4.54    -6 -6.61 -6.98
2025 -6.98 -6.15 -5.87 -5.58 -5.59 -4.81 -4.74 -5.41 -4.47 -5.97  -6.6 -6.98
NUM:  29 CORUMBA IV            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.59  0.59  0.97  2.73  3.07  3.42     4   4.4  4.16  1.06   0.6   0.6
2022   0.6   0.6  0.99  2.81  3.16  3.52  4.12  4.53  4.29  1.08  0.61  0.61
2023  0.61  0.61  1.01  2.89  3.26  3.63  4.24  4.67  4.42  1.11  0.62  0.62
2024  0.62  0.62  1.03  2.97  3.35  3.73  4.36   4.8  4.55  1.13  0.63  0.63
2025  0.63  0.63  1.05  3.05  3.44  3.83  4.48  4.94  4.67  1.16  0.64  0.64
NUM:  48 PIRAJU                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.05  0.05  0.05  0.08  0.07  0.26  0.22  0.29  0.26  0.06  0.23  0.05
2022  0.05  0.05  0.05  0.08  0.07  0.27  0.23   0.3  0.26  0.06  0.23  0.05
2023  0.05  0.05  0.05  0.09  0.07  0.28  0.23   0.3  0.27  0.06  0.24  0.05
2024  0.05  0.05  0.05  0.09  0.07  0.28  0.24  0.31  0.27  0.07  0.24  0.05
2025  0.05  0.05  0.05  0.09  0.07  0.29  0.24  0.32  0.28  0.07  0.25  0.06
NUM:  66 ITAIPU                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 12.41  7.57  9.39 15.65 11.02  9.87 16.14 16.94 10.22 22.32  7.88 11.02
2022 12.58  7.61  9.48 15.91 11.15  9.97 16.42 17.23 10.33 22.76  7.92 11.16
2023 12.76  7.65  9.57 16.17 11.29 10.08 16.69 17.52 10.44  23.2  7.97 11.29
2024 12.93   7.7  9.66 16.43 11.42 10.18 16.96 17.82 10.56 23.64  8.02 11.42
