**** Planta:  120 JAGUARI      Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2022  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2023  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2024  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2025  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2026  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2027  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2028  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2029  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2030  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2031  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2032  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2033  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2034  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2035  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2036  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2037  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2038  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2039  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2040  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2041  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
2042  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52  601.52
**** Planta:  121 PARAIBUNA    Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2022  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2023  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2024  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2025  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2026  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2027  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2028  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2029  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2030  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2031  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2032  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2033  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2034  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2035  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2036  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2037  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
