step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.5578880700138186,-4.9795707036495385,-0.5112,-0.501255554774926,-1.3802818494129174,-1.14,0.064,-0.0,-1.3021613866790278,0.0,-0.0034100000000000003,0.0,0.0,0.0,0.0,0.0,-0.020288200279050393,-0.04290000000000001
2,2,1,0.6809322403732895,-2.4136482699511985,-0.32944,-0.3404336826153824,-0.7397874487096758,-1.2,0.08,-0.0,-1.0859187508304986,0.0,-0.00352,0.0,0.0,0.0,0.0,0.0,-0.015419032212078297,-0.031900000000000005
3,3,1,0.7925824831486298,0.32514458349065967,-0.07952,0.29535752499167517,0.05006260676060337,-0.12,0.144,0.0,-0.33448677157599793,0.0,-0.00033,0.0,0.0,0.0,0.0,0.0,0.0024345840335499025,-0.011
4,4,1,0.9124934533075033,5.801118468748752,0.24991999999999998,0.931512194204514,1.991403205634754,0.75,0.148,0.0,0.8702270369940279,0.0,0.00264,0.0,0.0,0.0,0.0,0.0,0.022722784313132426,0.0286
5,5,1,0.8141870105941962,10.079482088210451,0.60208,1.6912361458962129,3.3041320461998223,1.5,0.144,0.0,1.8141109107948183,0.0,0.00539,0.0,0.0,0.0,0.0,0.0,0.038141816525615144,0.0704
6,6,1,0.8585478852859949,11.965540398033543,0.8065599999999999,1.7556314262325299,3.4042572597210286,1.83,0.124,0.0,2.2135891440514834,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.04706862464863145,0.08030000000000001
7,7,1,0.8141870105941964,11.217488130427759,0.92016,1.8549041600152012,3.5043824732422353,1.62,0.116,0.0,2.34767294338153,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.03733028851443184,0.09900000000000002
8,8,1,0.818958054420298,10.550533475683135,0.852,1.3411073394831825,3.5043824732422353,1.23,0.104,0.0,2.5219408146155997,0.0,0.00517,0.0,0.0,0.0,0.0,0.0,0.025157368346682325,0.09350000000000001
9,9,1,0.80045858779132,6.502891669813193,0.61344,0.8728960753012711,2.352942517748358,0.78,0.12,0.0,1.6131332825763307,0.0,0.0037400000000000003,0.0,0.0,0.0,0.0,0.0,0.02109972829076582,0.0627
10,10,1,0.793190171498036,0.990645038157794,0.22719999999999999,-0.02438376980878514,0.5506886743666369,-0.12,0.084,-0.0,0.2515198694321548,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.011361392156566213,0.0187
11,11,1,0.8155449596573753,-3.739162710142586,-0.11359999999999999,-0.6819500588291181,-1.1350281386757528,-0.57,0.048,-0.0,-0.7206302091138146,0.0,-0.00099,0.0,0.0,0.0,0.0,0.0,-0.0024345840335499025,-0.0176
12,12,1,0.8321005469005598,-7.314272072387127,-0.43167999999999995,-0.6339780150284137,-1.6520660230999111,-0.69,0.04,-0.0,-1.145778981774485,0.0,-0.00209,0.0,0.0,0.0,0.0,0.0,-0.013795976190116115,-0.031900000000000005
13,1,1,0.8151259443586244,-5.690030211086544,-0.5112,-0.6819500588291181,-1.5519408095787044,-1.14,0.064,-0.0,-1.120051160423191,0.0,-0.0034100000000000003,0.0,0.0,0.0,0.0,0.0,-0.020288200279582523,-0.04290000000000001
14,2,1,0.8923255989773101,-2.7327550104701817,-0.32944,-0.3657565471317771,-0.8010017081696539,-1.2,0.08,-0.0,-1.0859187508304986,0.0,-0.00352,0.0,0.0,0.0,0.0,0.0,-0.015419032212482718,-0.031900000000000005
15,3,1,0.8148350337027401,0.32514458349065967,-0.07952,0.3546140305911414,0.05006260676060337,-0.12,0.144,0.0,-0.33448677157599793,0.0,-0.00033,0.0,0.0,0.0,0.0,0.0,0.0024345840335499025,-0.011
16,4,1,0.92872588066493,5.796755122932615,0.24991999999999998,0.9997345621601907,2.045509153796473,0.75,0.148,0.0,0.8702270369940279,0.0,0.00264,0.0,0.0,0.0,0.0,0.0,0.022722784313132426,0.0286
17,5,1,0.8141870105941964,10.079482088210451,0.60208,1.6912361458962129,3.3041320461998223,1.5,0.144,0.0,1.8141109107948183,0.0,0.00539,0.0,0.0,0.0,0.0,0.0,0.038141816525615144,0.0704
18,6,1,0.8678007641436642,12.043638137042056,0.8065599999999999,1.7556314262325299,3.4042572597210286,1.83,0.124,0.0,2.2135891440514834,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.04706862464863145,0.08030000000000001
19,7,1,0.8141870105941964,11.217488130427759,0.92016,1.8549041600152012,3.5043824732422353,1.62,0.116,0.0,2.34767294338153,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.03733028851443184,0.09900000000000002
20,8,1,0.8199318544149178,10.55518070781007,0.852,1.3411073394831825,3.5043824732422353,1.23,0.104,0.0,2.525526954243767,0.0,0.00517,0.0,0.0,0.0,0.0,0.0,0.025157368346682325,0.09350000000000001
21,9,1,0.8141870105941964,6.502891669813193,0.61344,0.8728960753012711,2.352942517748358,0.78,0.12,0.0,1.7073985042774762,0.0,0.0037400000000000003,0.0,0.0,0.0,0.0,0.0,0.02109972829076582,0.0627
22,10,1,0.7955546456086733,0.9881153422196441,0.22719999999999999,-0.02438376980878514,0.5506886743666369,-0.12,0.084,-0.0,0.2587065262195834,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.011361392156566213,0.0187
23,11,1,0.8024868964670343,-3.739162710142586,-0.11359999999999999,-0.6819500588291181,-1.1370637149717122,-0.57,0.048,-0.0,-0.6786566834924238,0.0,-0.00099,0.0,0.0,0.0,0.0,0.0,-0.0024345840335499025,-0.0176
24,12,1,0.8240819758748343,-7.2741579800441345,-0.43167999999999995,-0.6339780150284137,-1.6520660230999111,-0.69,0.04,-0.0,-1.145778981774485,0.0,-0.00209,0.0,0.0,0.0,0.0,0.0,-0.013795976190116115,-0.031900000000000005
25,1,1,0.8151259443586244,-5.690030211086544,-0.5112,-0.6819500588291181,-1.5519408095787044,-1.14,0.064,-0.0,-1.120051160423191,0.0,-0.0034100000000000003,0.0,0.0,0.0,0.0,0.0,-0.020288200279050393,-0.04290000000000001
26,2,1,0.866924975546192,-2.687896637060588,-0.32944,-0.3657565471317771,-0.8010017081696539,-1.2,0.08,-0.0,-1.0859187508304986,0.0,-0.00352,0.0,0.0,0.0,0.0,0.0,-0.015419032212078297,-0.031900000000000005
27,3,1,0.8148350337027401,0.32514458349065967,-0.07952,0.3546140305911414,0.05006260676060337,-0.12,0.144,0.0,-0.33448677157599793,0.0,-0.00033,0.0,0.0,0.0,0.0,0.0,0.002434584033486047,-0.011
28,4,1,0.8689565955083736,5.649758604128816,0.24991999999999998,0.9997345621601907,1.9437382366269405,0.75,0.148,0.0,0.8604803755184646,0.0,0.00264,0.0,0.0,0.0,0.0,0.0,0.02272278431253644,0.0286
29,5,1,0.8141870105941964,10.079482088210451,0.60208,1.6912361458962129,3.3041320461998223,1.5,0.144,0.0,1.8141109107948183,0.0,0.00539,0.0,0.0,0.0,0.0,0.0,0.03814181652461474,0.0704
30,6,1,0.8066578716740902,11.86111348145943,0.8065599999999999,1.7556314262325299,3.4042572597210286,1.83,0.124,0.0,1.8985566598299124,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.04706862464739691,0.08030000000000001
31,7,1,0.7786609212302295,11.217488130427759,0.92016,1.8549041600152012,3.5043824732422353,1.62,0.116,0.0,2.0008745733542277,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.03733028851345272,0.09900000000000002
32,8,1,0.7421823101438547,10.490548739160763,0.852,1.2495895288109333,3.5842132009883585,1.23,0.104,0.0,1.7330858350199014,0.0,0.00517,0.0,0.0,0.0,0.0,0.0,0.025157368346022488,0.09350000000000001
33,9,2,0.7232381391064027,6.502891669813193,0.61344,0.7270339076718157,2.352942517748358,0.78,0.12,0.0,1.1716636631120458,0.0,0.0037400000000000003,0.0,0.0,0.0,0.0,0.0,0.021099728290212408,0.0627
34,10,2,0.6916296334043427,0.9635399861308575,0.22719999999999999,-0.017296171586942653,0.5612516324853486,-0.12,0.084,-0.0,0.19527727718534102,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.01136139215626822,0.0187
35,11,1,0.6769880367382407,-3.670170428759425,-0.11359999999999999,-0.4324042896735663,-1.102327527697286,-0.57,0.048,-0.0,-0.5126028526115202,0.0,-0.00099,0.0,0.0,0.0,0.0,0.0,-0.0024345840335499025,-0.0176
36,12,1,0.721971479926395,-7.153180836794513,-0.43167999999999995,-0.49302951079505564,-1.6520660230999111,-0.69,0.04,-0.0,-0.8114126658114816,0.0,-0.00209,0.0,0.0,0.0,0.0,0.0,-0.013795976190116115,-0.031900000000000005
37,1,1,0.8448219295828315,-5.764666718713797,-0.5112,-0.5679952403686062,-1.6246342881425329,-1.14,0.064,-0.0,-1.2209623235692417,0.0,-0.0034100000000000003,0.0,0.0,0.0,0.0,0.0,-0.020288200279582523,-0.04290000000000001
38,2,1,0.8149790767101375,-2.6011566679252773,-0.32944,-0.40917003529747087,-0.8010017081696539,-1.2,0.08,-0.0,-0.9937312974708964,0.0,-0.00352,0.0,0.0,0.0,0.0,0.0,-0.015419032212482718,-0.031900000000000005
39,3,1,0.8590087347686051,0.3339286576959453,-0.07952,0.31698900751420683,0.05006260676060337,-0.12,0.144,0.0,-0.3663340876714328,0.0,-0.00033,0.0,0.0,0.0,0.0,0.0,0.0024345840335499025,-0.011
40,4,1,0.8145208531001197,5.527457919341215,0.24991999999999998,1.1183980964797535,1.8523164501423246,0.75,0.148,0.0,0.7901998109707119,0.0,0.00264,0.0,0.0,0.0,0.0,0.0,0.022722784313132426,0.0286
41,5,1,0.8332338156893291,10.286160213201487,0.60208,1.5117937281446787,3.4749536474320113,1.5,0.144,0.0,1.7246152355755158,0.0,0.00539,0.0,0.0,0.0,0.0,0.0,0.038141816525615144,0.0704
42,6,1,0.8262965326804957,11.70520500566375,0.8065599999999999,1.96401616942786,3.4042572597210286,1.83,0.124,0.0,2.0876475909270593,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.04706862464863145,0.08030000000000001
43,7,1,0.7976469873037706,11.353588776687008,0.92016,1.6580963469973895,3.5043824732422353,1.62,0.116,0.0,2.1665689217964554,0.0,0.00726,0.0,0.0,0.0,0.0,0.0,0.03733028851443184,0.09900000000000002
44,8,1,0.7580599038125861,10.40462667170111,0.852,1.5002901294240598,3.5842132009883585,1.23,0.104,0.0,1.811913798708226,0.0,0.00517,0.0,0.0,0.0,0.0,0.0,0.025157368346682325,0.09350000000000001
45,9,2,0.7232381391064027,6.502891669813193,0.61344,0.7270339076718157,2.352942517748358,0.78,0.12,0.0,1.1716636631120458,0.0,0.0037400000000000003,0.0,0.0,0.0,0.0,0.0,0.02109972829076582,0.0627
46,10,2,0.7140566020479798,0.975433750471979,0.22719999999999999,-0.020424522298594348,0.5506886743666369,-0.12,0.084,-0.0,0.19527727718534102,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.011361392156566213,0.0187
47,11,1,0.7059804584556949,-3.739162710142586,-0.11359999999999999,-0.4584416271367762,-1.1013773487332739,-0.57,0.048,-0.0,-0.5126028526115202,0.0,-0.00099,0.0,0.0,0.0,0.0,0.0,-0.0024345840335499025,-0.0176
48,12,1,0.6925382825497445,-7.0053972309289465,-0.43167999999999995,-0.449700461260509,-1.682914103285438,-0.69,0.04,-0.0,-0.8114126658114816,0.0,-0.00209,0.0,0.0,0.0,0.0,0.0,-0.013795976190116115,-0.031900000000000005
49,1,1,0.8478565726525381,-5.690030211086544,-0.5112,-0.5679952403686062,-1.7209445968176562,-1.14,0.064,-0.0,-1.2209623235692417,0.0,-0.0034100000000000003,0.0,0.0,0.0,0.0,0.0,-0.020288200279582523,-0.04290000000000001
50,2,1,0.8321331410008835,-2.6718554334761926,-0.32944,-0.34079714422116364,-0.8010017081696539,-1.2,0.08,-0.0,-0.9937312974708964,0.0,-0.00352,0.0,0.0,0.0,0.0,0.0,-0.015419032212482718,-0.031900000000000005
