step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.5578880700138186,0.0,261.96330645161277,0.0,0.0,0.0,0.0,9.999999999999972,0.0,46.0,0.0,31.5,255.96330645161288,0.0,45.99999999999997,110.0,1.0,33.0
2,2,1,0.679263846466409,0.0,1157.342895913154,0.0,0.0,0.0,1027.9428959131537,20.00000000000003,189.34289591315462,46.0,134.0,33.49999999999999,704.3428959131545,10.0,45.99999999999997,110.0,69.0,32.99999999999994
3,3,1,0.7906745436842372,0.0,688.44332437276,0.0,0.0,0.0,491.14332437275993,15.0,0.0,46.0,57.99999999999997,33.5,366.4433243727601,3.0,45.99999999999997,110.0,31.0,33.0
4,4,1,0.9107839917023696,68.31512345679013,529.0380709876541,28.566975308642014,1.00172839506169,0.0,253.23807098765417,16.0,139.03807098765446,46.0,8.0,33.50000000000001,454.03807098765424,4.0,46.0,110.0,6.0,33.0
5,5,1,0.8141870105941964,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,39.42258064516133,0.0,28.5,90.0,0.0,39.42258064516133,110.0,0.0,26.42258064516136
6,6,1,0.8608692768309537,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,23.5,184.60000000000002,0.0,36.0,110.0,0.0,23.0
7,7,1,0.8141870105941964,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,98.99999999999994,0.0,0.0
8,8,1,0.8233165177337634,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,97.99999999999994,0.0,0.0
9,9,1,0.8089437125748503,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,99.0,0.0,0.0
10,10,1,0.8042874251497006,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,71.0,0.0,0.0,105.0,0.0,0.0
11,11,1,0.8270495071395673,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,27.500000000000014,127.74635802469163,0.0,44.0,110.0,0.0,31.000000000000057
12,12,1,0.8312107456847472,23.56774193548398,331.22998805256884,0.0,0.0,0.0,34.92998805256889,7.999999999999972,51.2299880525689,46.0,0.0,31.5,363.22998805256884,0.0,45.99999999999997,110.0,0.0,33.0
13,1,1,0.8151259443586244,0.0,574.940397252091,0.0,0.0,0.0,346.5403972520912,11.0,0.0,46.0,54.0,32.49999999999999,296.940397252091,0.0,45.99999999999997,110.0,23.0,33.0
14,2,1,0.890941972369926,90.8965517241383,670.7276979565778,62.21162196679472,0.0,0.0,419.32769795657805,2.0,181.72769795657769,46.0,74.0,28.499999999999993,508.7276979565779,0.0,45.99999999999997,110.0,41.0,32.99999999999994
15,3,1,0.8148350337027399,0.0,231.34212962962954,0.0,0.0,0.0,0.0,11.0,0.0,46.0,23.99999999999997,32.49999999999999,222.34212962962954,0.0,45.99999999999997,110.0,20.0,33.0
16,4,1,0.9288143275560294,54.75333333333279,211.5472685185182,24.887901234567323,26.190000000000055,0.0,0.0,2.842170943040401e-14,20.547268518518024,46.0,0.0,28.5,320.54726851851814,0.0,46.0,110.0,0.0,33.0
17,5,1,0.8141870105941964,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.422580645161304,0.0,28.5,90.0,0.0,23.422580645161304,110.0,0.0,10.42258064516136
18,6,1,0.8701221556886228,3.2833333333334167,90.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,23.5,247.10000000000014,0.0,36.0,110.0,0.0,23.0
19,7,1,0.8141870105941964,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.29880525686983,0.0,0.0,99.00000000000006,0.0,0.0
20,8,1,0.8225153385536622,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,98.99999999999994,0.0,0.0
21,9,1,0.8217134223859976,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,96.0,0.0,0.0
22,10,1,0.8057148963611243,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,99.99999999999994,0.0,0.0
23,11,1,0.8130555135882086,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,39.30425925925985,0.0,2.5000000000000036,90.0,0.0,39.30425925925985,110.0,0.0,26.304259259259823
24,12,1,0.8231921746590217,0.0,543.6493428912786,0.0,0.0,0.0,282.3493428912785,3.0,0.0,46.0,56.99999999999997,29.499999999999993,324.64934289127854,0.0,45.99999999999997,110.0,29.0,33.0
25,1,1,0.8151259443586244,0.0,539.9403972520907,0.0,0.0,0.0,299.54039725209077,15.0,0.0,46.0,85.0,33.5,264.94039725209075,3.0,45.99999999999997,110.0,44.0,33.0
26,2,1,0.8655413489388081,13.206896551724498,240.03804278416385,0.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,26.499999999999993,229.03804278416385,0.0,42.0,110.0,16.0,28.999999999999943
27,3,1,0.8148350337027399,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999943,9.999999999999972,27.499999999999993,71.0,0.0,2.999999999999943,110.0,5.999999999999993,0.0
28,4,1,0.869049786960698,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,100.73413580246881,0.0,22.0,110.0,0.0,7.5
29,5,1,0.8141870105941964,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,100.99999999999994,0.0,0.0
