step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272120448246279,6.758100000000001,266.263072859016,9.913799999999998,1.94304,0.0,193.52190091299997,-78.496,164.15010407830547,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
2,2,1,0.9982897091091663,79.674775589043,266.263072859016,37.66884523624884,1.94304,0.0,193.52190091299997,-84.74,187.53458845123802,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
3,3,1,0.9999999999999998,79.674775589043,266.263072859016,44.300300679648,17.908946473277673,0.0,193.52190091299997,-81.618,187.53458845123802,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
4,4,1,1.0,54.18777618341733,266.263072859016,30.6173050096505,8.591851455156798,0.0,193.52190091299997,-82.51000000000002,186.56814260664703,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
5,5,1,1.0,40.14943708838382,263.0289977342602,22.364882092298625,8.321968175423182,0.0,131.81162559983443,-77.158,112.99293010772183,0.0,47.274438162684454,39.9185848602,-30.560000000000002,0.0,348.18014922768003,73.3555,38.27625196658095,92.681692193592
6,6,1,1.0,32.838437506060465,151.17759958671374,18.4177377107583,8.274147063531387,0.0,91.90452935892797,-74.928,83.95992449533021,0.0,41.53721638900525,39.9185848602,-30.560000000000002,0.0,348.18014922768003,60.708,33.62658723114365,92.681692193592
7,7,1,0.9642224411281746,27.672736356427052,143.39416381375895,15.582870389721961,5.838317083024588,0.0,86.05934078705025,-74.036,103.94664,0.0,32.943473206707765,38.94206048387097,-30.560000000000002,0.0,348.18014922768003,55.649,26.670195116228165,92.681692193592
8,8,1,0.9052468203462022,25.80066873639617,121.0245560160668,14.347698581524964,4.852224283024594,0.0,76.32563073657778,-74.036,108.18936000000001,0.0,32.23252208226057,34.25137925627237,-30.560000000000002,0.0,348.18014922768003,55.649,26.678342360936366,92.681692193592
9,9,1,0.859011083233502,56.03519400997833,118.30274320603924,41.34948321698838,7.030519199793755,0.0,76.03139351406432,-74.03600000000002,106.59834000000001,0.0,32.95079726693168,39.710807870370374,-30.560000000000002,0.0,348.18014922768003,55.64900000000014,25.519927379478187,92.681692193592
10,10,1,0.8411452771761206,60.26360415882399,178.18608783579106,32.41181008657002,7.428229895903858,0.0,99.62351524817295,-74.92799999999998,108.18936000000001,0.0,41.55433129108101,39.9185848602,-30.560000000000002,0.0,348.18014922768003,60.70799999999987,30.169555904939006,92.681692193592
11,11,1,0.8673523310582828,32.990795982500444,168.98077703106955,18.484531709994755,10.682470161798669,0.0,97.97076176140544,-76.712,88.56678000000001,0.0,49.44257315962041,39.9185848602,-30.560000000000002,0.0,348.18014922768003,70.82600000000001,35.98214376390636,92.681692193592
12,12,1,1.0,35.42346471573409,266.263072859016,11.248396118641732,19.539246312288395,0.0,151.0779414880598,-78.496,112.81653674083849,0.0,58.04599950855163,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,37.15035354400261,92.681692193592
13,1,1,1.0,79.674775589043,266.263072859016,44.300300679648,28.26278716608909,0.0,193.52190091299997,-78.94200000000001,187.53458845123802,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
14,2,1,1.0,67.39748611354948,266.263072859016,37.273154184983895,28.12285482266982,0.0,193.52190091299997,-77.158,187.53458845123802,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,73.3555,47.682330222648005,92.681692193592
15,3,1,0.9999999999999998,79.674775589043,266.263072859016,44.300300679648,26.969040826900347,0.0,193.52190091299997,-78.94200000000001,187.53458845123802,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
16,4,1,1.0,44.72643618341744,211.572839750279,25.329945009650576,12.477931455156776,0.0,115.50362183668473,-77.15800000000002,108.07782260664722,0.0,53.01352836669089,39.9185848602,-30.560000000000002,0.0,348.18014922768003,73.35550000000013,45.25002487020727,92.681692193592
17,5,1,1.0,50.28658708838369,212.62755773426002,27.98270209229857,20.95172817542319,0.0,113.98972559983441,-77.158,119.88735010772173,0.0,47.99097816268446,39.9185848602,-30.560000000000002,0.0,348.18014922768003,73.3555,38.27625196658095,92.681692193592
18,6,1,1.0,36.89329750606038,182.91183958671365,21.061417710758256,11.674467063531388,0.0,103.11507935892793,-74.928,117.9016844953301,0.0,45.83645638900524,39.9185848602,-30.560000000000002,0.0,348.18014922768003,60.708,35.94790723114365,92.681692193592
19,7,1,0.9691573098522649,28.348546356426993,95.792803813759,15.913330389721935,7.781357083024596,0.0,69.67469078705025,-74.036,98.64324000000006,0.0,35.09309320670776,38.94206048387097,-30.560000000000002,0.0,348.18014922768003,55.649,28.99151511622816,92.681692193592
20,8,1,0.9237410759508198,30.531338736396023,98.62391601606681,16.99137858152488,7.766784283024605,0.0,69.13938073657778,-74.036,103.4163,0.0,30.79944208226057,39.310379256272384,-30.560000000000002,0.0,348.18014922768003,55.649,27.839002360936373,92.681692193592
21,9,1,0.8661268026559166,43.92472737544607,113.63594320603924,35.09720376470514,7.030519199793755,0.0,73.44434351406433,-73.144,108.18936000000001,0.0,30.80117726693168,29.592807870370404,-30.560000000000002,0.0,348.18014922768003,50.59,25.519927379478187,90.00444666203707
22,10,1,0.832838398874283,71.75237415882397,166.98576783579105,37.36871008657002,7.9139898959038595,0.0,94.44941524817295,-74.03599999999997,107.12868,0.0,40.12125129108102,39.9185848602,-30.559999999999988,0.0,348.18014922768003,55.64899999999986,30.169555904939006,92.681692193592
23,11,1,0.8414931478328926,43.12794598250039,204.44845703106955,23.44143170999473,10.196710161798693,0.0,108.89386176140543,-75.81999999999998,91.74881999999998,0.0,48.7260331596204,39.9185848602,-30.559999999999995,0.0,348.18014922768003,65.76699999999987,39.46412376390636,92.681692193592
24,12,1,0.9608148275973788,14.78638383714282,266.263072859016,9.913799999999998,22.453806312288403,0.0,193.52190091299997,-77.60399999999998,93.70382503485153,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,75.88499999999986,47.682330222648005,92.681692193592
25,1,1,1.0,40.415909523298076,266.263072859016,13.686817128937045,19.519107166089096,0.0,193.52190091299997,-81.618,164.64275477134117,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,79.8371697204,47.682330222648005,92.681692193592
26,2,1,1.0,43.06832611354939,266.263072859016,24.385214184983873,13.55005482266984,0.0,161.6887898077331,-76.266,118.15081746966266,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,68.29650000000001,47.682330222648005,92.681692193592
27,3,1,1.0,40.189098648012504,266.263072859016,22.549159200787827,12.396240826900325,0.0,136.83284951565088,-76.712,99.8887368808836,0.0,59.71843629774,39.9185848602,-30.560000000000002,0.0,348.18014922768003,70.82600000000001,47.682330222648005,92.681692193592
28,4,1,0.9431632585718542,29.858616183417347,185.63505748656078,16.40752500965053,8.591851455156798,0.0,101.19157630687222,-75.37399999999998,102.35561999999997,0.0,47.99774836669093,39.9185848602,-30.559999999999995,0.0,348.18014922768003,63.23749999999987,41.768044870207305,92.681692193592
29,5,1,0.8951799833363113,26.633237088383762,166.8392221537963,18.997076232238697,8.807728175423183,0.0,93.56423879238145,-74.036,108.18936000000001,0.0,40.82557816268448,39.9185848602,-30.560000000000002,0.0,348.18014922768003,55.649,33.63361196658099,92.681692193592
30,6,1,0.82812884377521,79.674775589043,136.88469170919868,44.300300679648,6.331107063531398,0.0,81.17879472985483,-73.59,109.25004000000001,0.0,35.80489638900528,38.68612615740745,-30.560000000000002,0.0,348.18014922768003,53.1195,30.144607231143713,89.24721196450618
31,7,1,0.7514202753977517,79.674775589043,132.193843813759,44.300300679648,11.923876472565354,0.0,68.23744078705026,-73.59,112.96242000000001,0.0,37.242713206707805,28.824060483870944,-30.560000000000002,0.0,348.18014922768003,53.1195,28.991515116228214,85.5095801344086
32,8,1,0.7046151512323292,19.946757704802824,84.62351601606682,21.162305451866235,26.574824504913323,0.0,52.17983073657779,-54.85799999999998,78.49032000000001,0.0,32.23252208226059,24.13337925627241,-22.728999999999996,0.0,348.18014922768003,0.0,25.5176823609364,69.54398034199521
33,9,2,0.6699852302789743,64.57354090436436,101.50226320603926,34.92289848601208,4.649740875219837,0.0,57.059693514064335,-55.75,80.08133999999998,0.0,35.816957266931695,34.651807870370384,-22.729,0.0,348.18014922768003,0.0,25.519927379478215,74.62040666203706
34,10,2,0.6521532589236806,54.38000243634039,157.65216783579106,28.87323622664,1.94304,0.0,90.42511524817296,-56.196,71.59590000000001,0.0,41.55433129108101,39.9185848602,-22.729,0.0,348.18014922768003,0.0,27.848235904939,81.95543430854241
35,11,1,0.6688460356990688,11.771321942098218,183.91453703106956,12.36518326302626,9.962412392626627,0.0,100.84526176140542,-56.64199999999997,72.12623999999998,0.0,43.710253159620414,39.9185848602,-22.72899999999999,0.0,348.18014922768003,0.0,30.17884376390636,87.97997395679012
36,12,1,0.7865389400698239,9.31961702053803,266.263072859016,9.913799999999998,1.94304,0.0,177.60241178795414,-59.07816335457549,66.00730949207524,0.0,59.71843629774,39.9185848602,-22.817289687721786,0.0,348.18014922768003,0.0,47.682330222648005,92.681692193592
