step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272120448246279,4611.86231839137,126.5,354.2860032368693,1141.5182731446957,337.1049,8.000000000000455,12.0,658.403,38.0,1.0000000000000568,466.9999999999999,6.0,2.0,0.0,37.999999999999986,6.5,17.0
2,2,1,0.9982897091091663,4732.0,126.50000000000045,439.0,1228.8983026943915,429.7593,8.0,11.999999999999943,698.3330000000001,38.000000000000114,1.0,466.9999999999999,5.999999999999545,2.0,0.0,37.99999999999997,6.5,17.0
3,3,1,0.9999999999999998,4732.0,126.50000000000045,438.99999999999994,1236.0,445.35,8.00000000000091,12.0,788.1749999999995,38.00000000000023,1.0,466.99999999999994,5.999999999999773,2.0,0.0,37.99999999999994,6.500000000000028,16.999999999999773
4,4,1,1.0,4732.0,126.50000000000045,439.0,1236.0,445.35,8.00000000000091,11.999999999999943,888.0000000000002,38.00000000000017,1.0000000000000568,466.9999999999999,6.0,2.000000000000014,-1.1368683772161603e-13,37.99999999999993,6.500000000000028,16.999999999999545
5,5,1,1.0,4732.0,126.50000000000045,439.0,1236.0,445.35,8.000000000000682,11.999999999999943,888.0000000000001,38.00000000000017,1.0000000000000568,466.9999999999998,5.999999999999773,2.000000000000014,-1.1368683772161603e-13,37.99999999999993,6.500000000000028,16.999999999999318
6,6,1,1.0,4732.0,126.50000000000045,439.0,1236.0,445.35,8.000000000000682,11.999999999999943,888.0,38.00000000000017,1.0000000000000568,466.9999999999998,6.0,2.000000000000014,-2.2737367544323206e-13,37.99999999999993,6.500000000000028,16.999999999999204
7,7,1,0.9642224411281746,4732.0,126.50000000000057,439.0,1236.0,445.35,8.000000000000682,11.999999999999943,732.6538393785343,38.00000000000017,1.0000000000000426,466.9999999999998,6.0,2.000000000000014,-2.2737367544323206e-13,37.99999999999992,6.5000000000000355,16.99999999999909
8,8,1,0.9052468203462022,4732.0,126.50000000000045,439.0,1236.0,445.35,8.000000000000682,11.999999999999943,476.5816939432096,38.00000000000017,1.0000000000000426,466.9999999999998,6.0,2.000000000000014,-2.2737367544323206e-13,37.99999999999992,6.500000000000028,16.999999999998977
9,9,1,0.859011083233502,4635.726123399865,126.50000000000045,346.6,1236.0,445.35,8.000000000000682,11.999999999999886,464.5,38.000000000000114,1.0000000000000568,466.9999999999998,6.0,2.000000000000014,-2.2737367544323206e-13,37.99999999999992,6.5000000000000355,16.999999999998863
10,10,1,0.8411452771761206,4558.152793498715,126.50000000000034,346.6,1236.0,445.35,8.000000000000568,11.999999999999943,464.5,38.00000000000017,1.0000000000000568,466.9999999999998,6.0,2.000000000000014,-2.2737367544323206e-13,37.999999999999915,6.500000000000043,16.99999999999875
11,11,1,0.8673523310582828,4592.653496428014,126.50000000000034,346.6,1236.0,445.35,8.000000000000568,11.999999999999943,422.57349999999997,38.00000000000023,1.0000000000000568,466.9999999999998,6.0,2.000000000000014,-3.410605131648481e-13,37.999999999999915,6.500000000000043,16.999999999998636
12,12,1,1.0,4732.0,126.50000000000045,439.0,1236.0,445.34999999999997,8.000000000000455,11.999999999999943,618.4730000000001,38.00000000000023,1.0000000000000284,466.9999999999998,6.0,2.000000000000014,-3.410605131648481e-13,37.9999999999999,6.500000000000043,16.99999999999841
