step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272185578049948,0.0,0.0,0.0,0.0,0.0,22.021816048094934,0.0,0.0,208.0,2.8601913030947657,0.0,255.89861839255093,0.0,155.7654624,176.4375688,1.849616354946626,249.8137868250895
2,2,1,0.9982897091091663,3.865220459009791,0.0,0.0,0.0,0.0,1118.4104224563735,5.0,281.8646993471212,236.0,137.86812840797526,6.7187844000000005,763.4767000471212,10.0,155.7654624,204.4375688,69.84742175484627,279.81050128148144
3,3,1,0.9999999999999998,4.582813451960504,80.85551620411331,7.199200269744551,0.0,0.0,697.1850127632532,0.0,186.54510682803544,221.99999999999994,61.88593830929173,23.41333189103941,541.1571075280353,3.0,155.7654624,190.43756879999992,31.84651330140641,289.4964242205495
4,4,1,1.0,0.0,67.56870891218713,0.0,0.0,0.0,106.28487014675522,0.0,0.0,226.00000000000006,11.812660659489907,38.899432548148184,278.77968700578367,4.0,155.75546239999994,194.4375688000001,6.794377378008434,303.95738399753094
5,5,1,1.0,0.0,83.39873160866141,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,17.628748557706086,145.21752933537323,0.0,155.7554624,170.4375688,0.0,260.6714496088412
6,6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,5.482765881481505,92.4233923432707,0.0,155.75546239999994,160.4375688,0.0,236.5207713432098
7,7,1,0.963587076779948,0.0,9.53221459432474,0.0,0.0,0.0,0.0,0.0,0.0,150.99999999999994,0.0,0.0,90.0,0.0,140.75546239999994,119.43756879999995,0.0,144.61596872473103
8,8,1,0.903983748811247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,90.0,0.0,127.74546240000001,106.43756880000001,0.0,116.74363150848279
9,9,1,0.8572014211730378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.00000000000006,0.0,0.0,90.0,0.0,136.7554624,115.43756880000007,0.0,136.9326540592594
10,10,1,0.8389596198380047,0.0,23.488211018032754,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,6.243587267383521,90.0,0.0,155.7554624,142.4375688,0.0,201.30559088721634
11,11,1,0.8646978381209637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,14.428691807407418,90.0,0.0,155.75546239999994,168.4375688,0.0,255.5044673308641
12,12,1,0.9999204095172938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,24.466400887455176,133.09632393342292,0.0,155.7554624,176.4375688,0.0,275.5472963830346
13,1,1,1.0,6.014004040692768,90.0,5.896190789048433,0.0,0.0,493.48593934889766,0.0,80.75074099335353,210.0,57.86019130309475,32.634411640143355,408.36274169335366,0.0,155.7654624,178.4375688,23.849616354946626,283.729414065233
14,2,1,0.9999999999999998,0.0,90.0,0.0,0.0,0.0,332.0968756122214,0.0,83.55115250296899,202.0,77.86812840797526,17.687711603065107,377.16315320296894,0.0,155.7654624,170.4375688,41.84742175484629,261.7794284845466
15,3,1,0.9999999999999998,1.582813451960405,90.0,4.199200269744466,0.0,0.0,164.83639277318105,0.0,76.19648683796333,210.0,27.885938309291703,28.253587267383526,390.8084875379634,0.0,155.7654624,178.4375688,20.846513301406404,281.3366795968937
16,4,1,1.0,0.0,29.568708912186928,0.0,0.0,0.0,0.0,0.0,0.0,202.00000000000006,0.0,16.899432548148138,115.77968700578344,0.0,155.75546239999994,170.43756880000012,0.0,259.95738399753094
17,5,1,1.0,0.0,29.398731608661137,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,17.628748557706086,144.217529335373,0.0,155.7554624,170.4375688,0.0,260.6714496088412
18,6,1,1.0,0.0,8.221371803713042,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,5.482765881481505,139.4233923432705,0.0,155.75546239999994,160.4375688,0.0,236.5207713432098
19,7,1,0.9685219455040384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.9999999999999,0.0,0.0,90.0,0.0,148.7554624,127.43756879999987,0.0,160.61596872473115
20,8,1,0.9224779915080334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,90.0,0.0,136.7454624,115.43756880000001,0.0,136.74363150848268
21,9,1,0.8643168798630517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,90.0,0.0,122.7554624,99.43756880000001,0.0,102.93265405925933
22,10,1,0.8306524803203957,0.0,39.488211018032764,0.0,0.0,0.0,0.0,0.0,0.0,146.99999999999994,0.0,0.0,90.0,0.0,136.7554624,115.43756879999995,0.0,137.30559088721628
23,11,1,0.8388383819009435,0.0,53.755659800151676,0.0,0.0,0.0,0.0,0.0,0.0,172.9999999999999,0.0,8.428691807407397,90.0,0.0,155.75546239999994,141.43756879999987,0.0,199.50446733086403
24,12,1,0.9580788116236464,0.0,0.0,0.0,0.0,0.0,131.36455623453344,0.0,0.0,203.99999999999994,60.875954741970645,21.466400887455197,130.09632393342304,0.0,155.7554624,172.43756879999992,29.85587262536371,266.5472963830346
25,1,1,1.0,0.0,41.457445289102694,0.0,0.0,0.0,339.79681042649827,0.0,0.0,221.99999999999994,88.86019130309475,37.6344116401434,273.67361277095415,3.0,155.7654624,190.43756879999992,44.849616354946626,299.729414065233
