step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272185578049948,8.22243721887065,265.262299551538,10.19332215467736,2.1911262911407947,0.0,165.2591987259968,-78.496,176.09525474928304,0.0,54.919356171337256,13.91225,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,55.536266583705995
2,2,1,0.9982897091091663,87.93527468842284,265.262299551538,43.80817746897034,2.455745774361189,0.0,165.2591987259972,-84.74,203.93000694178144,0.0,54.919356171337256,13.91225,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,59.810301118651424
3,3,1,0.9999999999999998,87.93527468842284,265.262299551538,51.2905723219124,20.44295102990851,0.0,165.25919872599746,-81.618,207.38004079345524,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,64.90551193481886
4,4,1,1.0,60.17936994034547,265.262299551538,35.79852742674146,9.958853449403012,0.0,165.25919872599746,-82.51000000000002,209.5474038407369,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,68.71058866131186
5,5,1,1.0,44.92625082362868,255.22073446091787,26.492480583611965,9.655166234174335,0.0,112.20634186309422,-77.158,128.0420939821596,0.0,41.59763550954979,39.9185848602,-30.560000000000002,0.0,348.2830712549774,73.3555,33.9171144757882,60.68391985195676
6,6,1,1.0,36.9970026605081,144.25330137963988,22.045442990741023,9.601355341132379,0.0,79.00795352049735,-74.928,95.8109769942321,0.0,36.328169282992725,39.9185848602,-30.560000000000002,0.0,348.2830712549774,60.708,29.53799947817928,56.36287095232803
7,7,1,0.963587076779948,31.349488679994593,137.15341135485411,18.824844225444444,6.860428136302324,0.0,74.28847850521392,-74.036,112.4311799240757,0.0,28.405435194851197,26.21867548387091,-30.560000000000002,0.0,348.2830712549774,55.649,22.975447248714858,53.949061662400226
8,8,1,0.903983748811247,29.36491490811342,113.98921057482396,17.48572523074158,5.750823359434982,0.0,65.93233903626286,-74.036,107.19883509462238,0.0,27.731863036532552,24.032199256272406,-30.560000000000002,0.0,348.2830712549774,55.649,22.972189182703158,53.68268490662797
9,9,1,0.8572014211730378,64.0906347431187,112.75546282921682,46.614037911701026,8.201958227342875,0.0,66.07706155188178,-74.03600000000002,105.18082007265622,0.0,28.43193884123557,26.987422870370352,-30.560000000000002,0.0,348.2830712549774,55.64900000000014,21.903041313049634,54.045764646568486
10,10,1,0.8389596198380047,66.60981918399409,173.12397131122563,35.60780806749858,8.649483742400896,0.0,85.97054949537896,-74.92799999999998,106.94548608022049,0.0,36.370266204196895,39.9185848602,-30.560000000000002,0.0,348.2830712549774,60.70799999999987,26.303984702679575,56.60252332540697
11,11,1,0.8646978381209637,37.1119945101731,165.060648947747,19.903302206474585,12.311330319225057,0.0,84.88470186846303,-76.712,83.57124722921776,0.0,43.6376187508601,39.9185848602,-30.560000000000002,0.0,348.2830712549774,70.82600000000001,31.800218387145968,59.716850639406495
12,12,1,0.9999204095172938,36.74376839479805,265.262299551538,12.442938591025193,22.277452294994685,0.0,127.87608863940588,-78.496,115.26777033167608,0.0,51.54289991932079,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,32.900453621179864,63.3942470332377
13,1,1,1.0,87.93527468842284,265.262299551538,51.2905723219124,32.09365073247919,0.0,165.25919872599772,-78.94200000000001,202.39665002967644,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,65.2820175207428
14,2,1,0.9999999999999998,74.58273824630997,265.262299551538,43.35725769756719,31.936191316188687,0.0,165.25919872599798,-77.158,203.93000694178141,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,73.3555,45.08237509938822,61.022252107966494
15,3,1,0.9999999999999998,87.93527468842284,265.262299551538,51.2905723219124,30.637857608324463,0.0,165.25919872599798,-78.94200000000001,207.38004079345524,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,64.55137249811992
16,4,1,1.0,49.88940427704554,204.59267203475807,29.826540721852183,14.331680156269385,0.0,98.74016490052809,-77.15800000000002,122.49054746756687,0.0,46.88858828394797,39.9185848602,-30.560000000000002,0.0,348.2830712549774,73.35550000000013,40.48510491162262,60.46587288868793
17,5,1,1.0,55.951214034306886,205.35908501118254,32.83771645755669,23.86685303149014,0.0,97.40922589974299,-77.158,135.6889800149379,0.0,42.25657899696836,39.9185848602,-30.560000000000002,0.0,348.2830712549774,73.3555,33.9171144757882,60.68391985195673
18,6,1,1.0,41.40698794477936,175.6476732553988,25.031436343185582,13.427578709640478,0.0,88.3158167877677,-74.928,133.45718515560276,0.0,40.281830207504164,39.9185848602,-30.560000000000002,0.0,348.2830712549774,60.708,31.724248983175787,56.362870952328
19,7,1,0.9685219455040384,32.084486227373084,90.06185354121531,19.198093394499978,9.046841489735531,0.0,60.684678345358826,-74.03599999999996,107.37178847955406,0.0,30.38226565710691,26.21867548387091,-30.559999999999985,0.0,348.2830712549774,55.64899999999979,25.161696753711368,53.94906166240018
20,8,1,0.9224779915080334,34.50989773976315,91.82847748605276,20.47171858318611,9.030443389584793,0.0,59.96576001878292,-74.036,104.98852426200509,0.0,26.41397606169541,26.561699256272416,-30.560000000000002,0.0,348.2830712549774,55.649,24.065313935201413,53.98804475005848
21,9,1,0.8643168798630517,51.025318306169325,108.13864343572283,39.552353478750334,8.201958227342875,0.0,63.92909310558947,-73.144,106.94548608022049,0.0,26.45510837897985,21.92842287037039,-30.560000000000002,0.0,348.2830712549774,50.59,21.903041313049638,52.82432527284642
22,10,1,0.8306524803203957,78.98164855164703,162.04360476684005,41.20654560333222,9.196087080759199,0.0,81.67461260279354,-74.03599999999997,105.76904207517765,0.0,35.052379229359744,27.887238853046618,-30.559999999999988,0.0,348.2830712549774,55.64899999999986,26.303984702679575,54.15964457796286
23,11,1,0.8388383819009435,47.76600414096243,200.14847633830138,25.502039742308206,11.764726980866786,0.0,93.95390197503409,-75.81999999999998,87.10057924434624,0.0,42.97867526344152,39.9185848602,-30.559999999999995,0.0,348.2830712549774,65.76699999999987,35.07959264464074,57.88469157882339
24,12,1,0.9580788116236464,17.089230399887768,265.262299551538,9.987653841136373,25.557072325144492,0.0,165.25919872599826,-77.60399999999998,96.4446662509907,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,75.88499999999986,45.08237509938822,61.86744781608511
25,1,1,1.0,42.17762570194047,265.262299551538,15.16268859319143,22.2547906420298,0.0,165.25919872599852,-81.618,174.19823548440453,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.08237509938822,68.0302561116174
26,2,1,1.0,48.12282654068183,265.262299551538,28.800540104399687,15.53809116543972,0.0,137.5973927246962,-76.266,126.60890263794542,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,68.29650000000001,45.08237509938822,58.579373360522375
27,3,1,1.0,44.9987858508582,265.262299551538,26.73047849940219,14.239757457575454,0.0,117.01019324688946,-76.712,109.85076625619577,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,70.82600000000001,45.08237509938822,59.9709748466622
28,4,1,0.9425603290462898,33.719458234717195,179.86527637075815,19.748813157351577,9.958853449403012,0.0,87.09825062180931,-75.374,107.16056270248868,0.0,42.27598387201797,39.664199490740735,-30.560000000000002,0.0,348.2830712549774,63.237500000000004,37.20573065412785,56.49619492409124
29,5,1,0.8940599799732577,30.226299876057475,160.8367601027995,22.39321121561752,10.201769572532637,0.0,80.65088841207277,-74.036,106.94548608022052,0.0,35.66714412278263,31.391004336917632,-30.560000000000002,0.0,348.2830712549774,55.649,29.544615465795157,54.57672298334645
