step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272185578049948,0.4,1.61,0.09,5.46,0.01,0.4,0.0,5.32,0.0,0.73,0.0,0.0,0.0,0.0,0.0,2.08,5.5
2,2,1,0.9982897091091663,0.4,1.67,0.09,5.46,0.01,0.47,0.0,5.03,0.0,0.72,0.0,0.0,0.0,0.0,0.0,2.08,5.5
3,3,1,0.9999999999999998,0.39,1.56,0.09,5.46,0.01,0.38,0.0,4.56,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.07,5.5
4,4,1,1.0,0.55,3.27,0.15,5.52,0.03,1.99,0.0,7.61,0.0,0.72,0.0,0.0,0.0,0.01,0.0,2.11,5.5
5,5,1,1.0,0.53,3.72,0.13,5.5,0.03,2.4,0.0,6.78,0.0,0.74,0.0,0.0,0.0,0.01,0.0,2.11,5.5
6,6,1,1.0,0.5,4.02,0.13,5.51,0.03,2.33,0.0,7.46,0.0,0.73,0.0,0.0,0.0,0.01,0.0,2.11,5.5
7,7,1,0.963587076779948,0.54,4.23,0.14,5.53,0.03,2.42,0.0,8.15,0.0,0.75,0.0,0.0,0.0,0.01,0.0,2.12,5.5
8,8,1,0.903983748811247,0.57,5.32,0.16,5.56,0.04,3.35,0.0,9.19,0.0,0.77,0.0,0.0,0.0,0.02,0.0,2.13,5.5
9,9,1,0.8572014211730378,0.51,3.8,0.12,5.52,0.03,2.4,0.0,7.69,0.0,0.73,0.0,0.0,0.0,0.01,0.0,2.11,5.5
10,10,1,0.8389596198380047,0.45,2.62,0.1,5.48,0.02,1.44,0.0,4.86,0.0,0.71,0.0,0.0,0.0,0.01,0.0,2.09,5.5
11,11,1,0.8646978381209637,0.41,1.51,0.1,5.48,0.01,0.27,0.0,4.93,0.0,0.71,0.0,0.0,0.0,0.01,0.0,2.07,5.5
12,12,1,0.9999204095172938,0.4,1.54,0.09,5.46,0.01,0.32,0.0,5.29,0.0,0.72,0.0,0.0,0.0,0.01,0.0,2.07,5.5
13,1,1,1.0,0.4,1.61,0.09,5.46,0.01,0.4,0.0,5.32,0.0,0.73,0.0,0.0,0.0,0.0,0.0,2.08,5.5
