step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9272185578049948,0.0,271.40873781069934,0.0,0.0,0.0,22.02181604809482,0.0,0.0,32.0,2.8601913030947657,0.0,255.89861839255093,0.0,11.76546239999999,0.4375688000000011,1.849616354946626,0.0
2,2,1,0.9982897091091663,3.865220459009791,1220.875377836578,0.0,0.0,0.0,1118.410422456374,5.0,281.8646993471212,46.0,137.86812840797526,0.0,763.4767000471212,10.0,11.76546239999999,14.437568800000001,69.84742175484627,0.0
3,3,1,0.9999999999999998,4.582813451960504,867.5818031041134,7.199200269744551,0.0,0.0,697.1850127632532,0.0,186.54510682803544,38.99999999999994,61.88593830929173,13.413331891039405,541.1571075280353,3.0,11.76546239999999,7.437568799999937,31.84651330140641,0.0
4,4,1,1.0,0.0,355.29499581218715,0.0,0.0,0.0,106.28487014675522,0.0,0.0,41.00000000000006,11.812660659489907,23.89943254814818,278.77968700578367,4.0,11.755462399999999,9.437568800000065,6.794377378008434,0.0
5,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,9.628748557706082,145.21752933537323,0.0,11.75546239999997,0.0,0.0,0.0
6,6,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.48276588148150523,92.4233923432707,0.0,11.755462399999999,0.0,0.0,0.0
7,7,1,0.963587076779948,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
8,8,1,0.903983748811247,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
9,9,1,0.8572014211730378,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.000000000000057,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
10,10,1,0.8389596198380047,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.999999999999943,0.0,1.2435872673835213,90.0,0.0,11.75546239999997,0.0,0.0,0.0
11,11,1,0.8646978381209637,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,7.428691807407418,90.0,0.0,11.755462399999999,0.0,0.0,0.0
12,12,1,0.9999204095172938,0.0,112.66251742366114,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,15.46640088745518,133.09632393342292,0.0,11.75546239999997,0.4375688000000011,0.0,0.0
13,1,1,1.0,6.014004040692768,694.8728611115021,5.896190789048433,0.0,0.0,493.48593934889766,0.0,80.75074099335353,33.0,57.86019130309475,20.63441164014335,408.36274169335366,0.0,11.76546239999999,1.437568800000001,23.849616354946626,0.0
14,2,1,0.9999999999999998,0.0,556.5618309924257,0.0,0.0,0.0,332.09687561222154,0.0,83.55115250296899,29.0,77.86812840797526,10.687711603065104,377.16315320296894,0.0,11.76546239999999,0.0,41.84742175484629,0.0
15,3,1,0.9999999999999998,1.582813451960405,408.23318311404114,4.199200269744466,0.0,0.0,164.83639277318105,0.0,76.19648683796333,33.0,27.885938309291703,18.253587267383534,390.8084875379634,0.0,11.76546239999999,1.437568800000001,20.846513301406404,0.0
16,4,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.000000000000057,0.0,8.899432548148138,115.77968700578344,0.0,11.755462399999999,0.0,0.0,0.0
17,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,9.628748557706082,144.217529335373,0.0,11.75546239999997,0.0,0.0,0.0
18,6,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.48276588148150523,139.4233923432705,0.0,11.755462399999999,0.0,0.0,0.0
19,7,1,0.9685219455040384,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999999999999915,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
20,8,1,0.9224779915080334,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,0.0,11.74546239999998,0.0,0.0,0.0
21,9,1,0.8643168798630517,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
22,10,1,0.8306524803203957,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999999999999943,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
23,11,1,0.8388383819009435,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999999999999943,0.0,3.4286918074073967,90.0,0.0,11.755462399999999,0.0,0.0,0.0
24,12,1,0.9580788116236464,0.0,365.66251742366126,0.0,0.0,0.0,131.36455623453332,0.0,0.0,29.999999999999943,60.875954741970645,12.466400887455197,130.09632393342304,0.0,11.75546239999997,0.0,29.85587262536371,0.0
25,1,1,1.0,0.0,553.1837321891027,0.0,0.0,0.0,339.79681042649827,0.0,0.0,38.99999999999994,88.86019130309475,23.634411640143394,273.67361277095415,3.0,11.76546239999999,7.437568799999937,44.849616354946626,0.0
26,2,1,1.0,0.0,169.56183099242583,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.86812840797528,4.6877116030651145,139.16315320296917,0.0,11.76546239999999,0.0,16.847421754846295,0.0
27,3,1,1.0,0.0,92.23318311404131,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.885938309291703,8.253587267383509,103.80848753796352,0.0,11.76546239999999,0.0,6.846513301406397,0.0
28,4,1,0.9425603290462898,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,90.00000000000006,0.0,11.755462399999999,0.0,0.0,0.0
29,5,1,0.8940599799732577,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.00000000000006,0.0,11.75546239999997,0.0,0.0,0.0
30,6,1,0.8264813927024909,5.330948231949506,90.0,15.89716629196677,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.755462399999999,0.0,0.0,0.0
31,7,1,0.7491405036739922,23.329959802983282,90.0,12.45202490138385,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,90.0,0.0,11.75546239999997,0.0,0.0,0.0
32,8,1,0.7017116431695123,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
33,9,2,0.6665378533707587,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
34,10,2,0.6483294488237946,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
