NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
131,1931,1,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,2,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,3,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,4,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,5,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,6,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,7,1931,1,1,0,1,124.99,124.99,0,38,-1,0,308.5,330.31,378.74,86.9,0,399,399,330.31,330.31,330.31,378.74,378.74,378.74,124.99,308.5,0,0,378.74,0,0, 
131,1931,8,1931,1,1,0,1,124.98,124.98,0,38,-1,0,308.5,330.28,378.74,86.9,0,399,399,330.28,330.28,330.28,378.74,378.74,378.74,124.98,308.5,0,0,378.74,0,0, 
131,1931,9,1931,1,1,0,1,124.98,124.98,0,38,-1,0,308.5,330.29,378.74,86.9,0,399,399,330.29,330.29,330.29,378.74,378.74,378.74,124.98,308.5,0,0,378.74,0,0, 
131,1931,10,1931,1,1,0,1,126.99,126.99,0,38,-1,0,308.5,335.57,378.74,86.9,0,399,399,335.57,335.57,335.57,378.74,378.74,378.74,126.99,308.5,0,0,378.74,0,0, 
131,1931,11,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1931,12,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,1,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,2,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,3,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,4,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,5,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,6,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1932,7,1931,1,1,0,1,124.99,124.99,0,38,-1,0,308.5,330.31,378.74,86.9,0,399,399,330.31,330.31,330.31,378.74,378.74,378.74,124.99,308.5,0,0,378.74,0,0, 
131,1932,8,1931,1,1,0,1,124.98,124.98,0,38,-1,0,308.5,330.28,378.74,86.9,0,399,399,330.28,330.28,330.28,378.74,378.74,378.74,124.98,308.5,0,0,378.74,0,0, 
131,1932,9,1931,1,1,0,1,122.99,122.99,0,38,-1,0,308.5,325.03,378.74,86.9,0,399,399,325.03,325.03,325.03,378.74,378.74,378.74,122.99,308.5,0,0,378.74,0,0, 
131,1932,10,1931,1,1,0,1,124.99,124.99,0,38,-1,0,308.5,330.31,378.74,86.9,0,399,399,330.31,330.31,330.31,378.74,378.74,378.74,124.99,308.5,0,0,378.74,0,0, 
131,1932,11,1931,1,1,0,1,128.99,128.99,0,38,-1,0,308.5,340.84,378.74,86.9,0,399,399,340.84,340.84,340.84,378.74,378.74,378.74,128.99,308.5,0,0,378.74,0,0, 
131,1932,12,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1933,1,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1933,2,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1933,3,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1933,4,1931,1,1,0,1,127.99,127.99,0,38,-1,0,308.5,338.2,378.74,86.9,0,399,399,338.2,338.2,338.2,378.74,378.74,378.74,127.99,308.5,0,0,378.74,0,0, 
131,1933,5,1931,1,1,0,1,124.99,124.99,0,38,-1,0,308.5,330.31,378.74,86.9,0,399,399,330.31,330.31,330.31,378.74,378.74,378.74,124.99,308.5,0,0,378.74,0,0, 
131,1933,6,1931,1,1,0,1,123.98,123.98,0,38,-1,0,308.5,327.65,378.74,86.9,0,399,399,327.65,327.65,327.65,378.74,378.74,378.74,123.98,308.5,0,0,378.74,0,0, 
131,1933,7,1931,1,1,0,1,123.99,123.99,0,38,-1,0,308.5,327.67,378.74,86.9,0,399,399,327.67,327.67,327.67,378.74,378.74,378.74,123.99,308.5,0,0,378.74,0,0, 
131,1933,8,1931,1,1,0,1,122.98,122.98,0,38,-1,0,308.5,325,378.74,86.9,0,399,399,325,325,325,378.74,378.74,378.74,122.98,308.5,0,0,378.74,0,0, 
131,1933,9,1931,1,1,0,1,124.98,124.98,0,38,-1,0,308.5,330.27,378.74,86.9,0,399,399,330.27,330.27,330.27,378.74,378.74,378.74,124.98,308.5,0,0,378.74,0,0, 
131,1933,10,1931,1,1,0,1,125.98,125.98,0,38,-1,0,308.5,332.91,378.74,86.9,0,399,399,332.91,332.91,332.91,378.74,378.74,378.74,125.98,308.5,0,0,378.74,0,0, 
131,1933,11,1931,1,1,0,1,126.98,126.98,0,38,-1,0,308.5,335.53,378.74,86.9,0,399,399,335.53,335.53,335.53,378.74,378.74,378.74,126.98,308.5,0,0,378.74,0,0, 
131,1933,12,1931,1,1,0,1,131.99,131.99,0,38,-1,0,308.5,348.73,378.74,86.9,0,399,399,348.73,348.73,348.73,378.74,378.74,378.74,131.99,308.5,0,0,378.74,0,0, 
131,1934,1,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1934,2,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1934,3,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1934,4,1931,1,1,0,1,133.91,133.91,0,38,-1,0,308.5,353.8,378.74,86.9,0,399,399,353.8,353.8,353.8,378.74,378.74,378.74,133.91,308.5,0,0,378.74,0,0, 
131,1934,5,1931,1,1,0,1,124.99,124.99,0,38,-1,0,308.5,330.31,378.74,86.9,0,399,399,330.31,330.31,330.31,378.74,378.74,378.74,124.99,308.5,0,0,378.74,0,0, 
