NUMUHE,ANO,MES,SERIE,PAT,REE,REE_NW,OPER,QAFL,QTUR,QVERT,VOLF,PUVOL,EARMU,QUED,GHID,PDIS,CFUGA,REMANSO,COTAM,COTAF,GBRU,GHIDP,POTP,PDISP,PDISPR,PDISPRPAT,QTUR_PAT,QUED_PAT,QMONT,QINC,PDISP_QMIN,QPONTA_QMIN,QEVP                                                                                                                                            ,
127,1931,1,1931,1,1,0,1,86.2,86.2,0,1,-1,0,78.1,56.8,60,356,0,436.5,436.5,56.8,56.8,56.8,60,56.8,56.8,86.2,78.1,42.93,43.27,60,91.06,-0.001, 
127,1931,2,1931,1,1,0,1,221.21,87,134.21,1,-1,0,78.1,57.33,60,356,0,436.5,436.5,57.33,57.33,57.33,60,60,60,87,78.1,110.93,110.28,60,91.06,-0.001, 
127,1931,3,1931,1,1,0,1,145.23,87,58.23,1,-1,0,78.1,57.33,60,356,0,436.5,436.5,57.33,57.33,57.33,60,60,60,87,78.1,72.93,72.3,60,91.06,0, 
127,1931,4,1931,1,1,0,1,95.15,87,8.15,1,-1,0,78.1,57.33,60,356,0,436.5,436.5,57.33,57.33,57.33,60,60,60,87,78.1,47.87,47.28,60,91.06,0.001, 
127,1931,5,1931,1,1,0,1,63.12,63.12,0,1,-1,0,78.1,41.59,60,356,0,436.5,436.5,41.59,41.59,41.59,60,41.59,41.59,63.12,78.1,30.86,32.26,60,91.06,0.002, 
127,1931,6,1931,1,1,0,1,55.13,55.12,0,1,-1,0,78.1,36.32,60,356,0,436.5,436.5,36.32,36.32,36.32,60,36.32,36.32,55.12,78.1,26.86,28.27,60,91.06,0.003, 
127,1931,7,1931,1,1,0,1,43.1,43.1,0,1,-1,0,78.1,28.4,60,356,0,436.5,436.5,28.4,28.4,28.4,60,28.4,28.4,43.1,78.1,20.85,22.25,60,91.06,0.003, 
127,1931,8,1931,1,1,0,1,42.08,42.08,0,1,-1,0,78.1,27.73,60,356,0,436.5,436.5,27.73,27.73,27.73,60,27.73,27.73,42.08,78.1,20.85,21.23,60,91.06,0.002, 
127,1931,9,1931,1,1,0,1,43.15,43.14,0,1,-1,0,78.1,28.43,60,356,0,436.5,436.5,28.43,28.43,28.43,60,28.43,28.43,43.14,78.1,19.88,23.27,60,91.06,0.001, 
127,1931,10,1931,1,1,0,1,55.19,55.19,0,1,-1,0,78.1,36.37,60,356,0,436.5,436.5,36.37,36.37,36.37,60,36.37,36.37,55.19,78.1,23.9,31.29,60,91.06,0, 
127,1931,11,1931,1,1,0,1,66.22,66.22,0,1,-1,0,78.1,43.64,60,356,0,436.5,436.5,43.64,43.64,43.64,60,43.64,43.64,66.22,78.1,28.93,37.29,60,91.06,0, 
